year,hhtyp,regtyp,hlc0182,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,Urban regions,No,0.98906,2311,2311,0.98481,0.99330
2016,Single-person household,Rural regions,No,0.99019,1064,1064,0.98426,0.99611
2016,Couple without children,Urban regions,No,0.99166,2550,2550,0.98813,0.99519
2016,Couple without children,Rural regions,No,0.99886,1527,1527,0.99717,1.00055
2016,Single parent,Urban regions,No,0.98924,988,988,0.98281,0.99568
2016,Single parent,Rural regions,No,0.99387,531,531,0.98722,1.00051
2016,Couple with children,Urban regions,No,0.98718,3285,3285,0.98333,0.99102
2016,Couple with children,Rural regions,No,0.98461,1685,1685,0.97873,0.99049
2016,Multi-generational household,Urban regions,No,0.99199,64,64,0.96998,1.01400
2016,Multi-generational household,Rural regions,No,0.99175,44,44,0.96472,1.01879
2016,Other Combinations,Urban regions,No,0.93003,135,135,0.88684,0.97322
2016,Other Combinations,Rural regions,No,0.95307,58,58,0.89816,1.00797
2017,Single-person household,Urban regions,No,0.99137,2587,2587,0.98781,0.99494
2017,Single-person household,Rural regions,No,0.98735,1230,1230,0.98110,0.99360
2017,Couple without children,Urban regions,No,0.99667,2884,2884,0.99457,0.99877
2017,Couple without children,Rural regions,No,0.99512,1715,1715,0.99182,0.99842
2017,Single parent,Urban regions,No,0.98811,991,991,0.98136,0.99486
2017,Single parent,Rural regions,No,0.98623,543,543,0.97641,0.99604
2017,Couple with children,Urban regions,No,0.98436,3498,3498,0.98024,0.98847
2017,Couple with children,Rural regions,No,0.98733,1805,1805,0.98217,0.99249
2017,Multi-generational household,Urban regions,No,0.98420,69,69,0.95455,1.01384
2017,Multi-generational household,Rural regions,No,0.99238,44,44,0.96638,1.01838
2017,Other Combinations,Urban regions,No,0.95931,184,184,0.93068,0.98793
2017,Other Combinations,Rural regions,No,0.95704,75,75,0.91084,1.00324
2018,Single-person household,Urban regions,No,0.98788,2754,2754,0.98379,0.99196
2018,Single-person household,Rural regions,No,0.99081,1258,1258,0.98553,0.99608
2018,Couple without children,Urban regions,No,0.99442,2858,2858,0.99169,0.99715
2018,Couple without children,Rural regions,No,0.99388,1673,1673,0.99014,0.99762
2018,Single parent,Urban regions,No,0.97680,1002,1002,0.96747,0.98612
2018,Single parent,Rural regions,No,0.99115,504,504,0.98297,0.99933
2018,Couple with children,Urban regions,No,0.98430,3291,3291,0.98005,0.98854
2018,Couple with children,Rural regions,No,0.98581,1714,1714,0.98021,0.99141
2018,Multi-generational household,Urban regions,No,0.98819,75,75,0.96357,1.01280
2018,Multi-generational household,Rural regions,No,0.98709,41,41,0.95210,1.02207
2018,Other Combinations,Urban regions,No,0.95649,163,163,0.92507,0.98790
