,Unnamed: 0,year,hhtyp,quintil_oecd_hh,hlc0182,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,Single-person household,1st Quintile,No,1.0,980,14149,0.95052,1.05435
1,1,2016,Single-person household,2nd Quintile,No,1.0,729,14149,0.95213,1.04873
2,2,2016,Single-person household,3rd Quintile,No,1.0,631,14149,0.9424,1.05147
3,3,2016,Single-person household,4th Quintile,No,1.0,543,14149,0.94718,1.06073
4,4,2016,Single-person household,5th Quintile,No,1.0,488,14149,0.93222,1.06278
5,5,2016,Couple without children,1st Quintile,No,1.0,421,14149,0.90781,1.12089
6,6,2016,Couple without children,2nd Quintile,No,1.0,721,14149,0.93075,1.0634
7,7,2016,Couple without children,3rd Quintile,No,1.0,775,14149,0.94383,1.05993
8,8,2016,Couple without children,4th Quintile,No,1.0,914,14149,0.93806,1.06468
9,9,2016,Couple without children,5th Quintile,No,1.0,1246,14149,0.94529,1.05703
10,10,2016,Single parent,1st Quintile,No,1.0,660,14149,0.90932,1.08837
11,11,2016,Single parent,2nd Quintile,No,1.0,397,14149,0.88664,1.12579
12,12,2016,Single parent,3rd Quintile,No,1.0,234,14149,0.88262,1.15943
13,13,2016,Single parent,4th Quintile,No,1.0,152,14149,0.80032,1.18077
14,14,2016,Single parent,5th Quintile,No,1.0,76,14149,0.79659,1.24129
15,15,2016,Couple with children,1st Quintile,No,1.0,902,14149,0.91802,1.07646
16,16,2016,Couple with children,2nd Quintile,No,1.0,1155,14149,0.91934,1.08751
17,17,2016,Couple with children,3rd Quintile,No,1.0,1039,14149,0.91514,1.1095
18,18,2016,Couple with children,4th Quintile,No,1.0,1005,14149,0.93434,1.06264
19,19,2016,Couple with children,5th Quintile,No,1.0,868,14149,0.93682,1.07574
20,20,2016,Multi-generational household,1st Quintile,No,1.0,34,14149,0.59507,1.52574
21,21,2016,Multi-generational household,2nd Quintile,No,1.0,31,14149,0.45083,1.6235
22,22,2016,Other Combinations,1st Quintile,No,1.0,60,14149,0.7795,1.24545
23,23,2016,Other Combinations,2nd Quintile,No,1.0,53,14149,0.73569,1.22844
24,24,2016,Other Combinations,3rd Quintile,No,1.0,35,14149,0.7507,1.30471
25,25,2017,Single-person household,1st Quintile,No,1.0,1121,15543,0.95761,1.04566
26,26,2017,Single-person household,2nd Quintile,No,1.0,822,15543,0.94499,1.05162
27,27,2017,Single-person household,3rd Quintile,No,1.0,709,15543,0.952,1.04926
28,28,2017,Single-person household,4th Quintile,No,1.0,613,15543,0.93827,1.06876
29,29,2017,Single-person household,5th Quintile,No,1.0,549,15543,0.94225,1.06342
30,30,2017,Couple without children,1st Quintile,No,1.0,442,15543,0.8882,1.10036
31,31,2017,Couple without children,2nd Quintile,No,1.0,782,15543,0.9388,1.06486
32,32,2017,Couple without children,3rd Quintile,No,1.0,885,15543,0.93109,1.06307
33,33,2017,Couple without children,4th Quintile,No,1.0,1064,15543,0.9417,1.05409
34,34,2017,Couple without children,5th Quintile,No,1.0,1426,15543,0.94067,1.04968
35,35,2017,Single parent,1st Quintile,No,1.0,640,15543,0.91938,1.11135
36,36,2017,Single parent,2nd Quintile,No,1.0,389,15543,0.86565,1.12939
37,37,2017,Single parent,3rd Quintile,No,1.0,227,15543,0.88266,1.12028
38,38,2017,Single parent,4th Quintile,No,1.0,174,15543,0.8303,1.18748
39,39,2017,Single parent,5th Quintile,No,1.0,104,15543,0.82096,1.20119
40,40,2017,Couple with children,1st Quintile,No,1.0,862,15543,0.91878,1.08256
41,41,2017,Couple with children,2nd Quintile,No,1.0,1175,15543,0.91449,1.08135
42,42,2017,Couple with children,3rd Quintile,No,1.0,1167,15543,0.92829,1.07634
43,43,2017,Couple with children,4th Quintile,No,1.0,1114,15543,0.91946,1.07291
44,44,2017,Couple with children,5th Quintile,No,1.0,984,15543,0.94357,1.06639
45,45,2017,Multi-generational household,1st Quintile,No,1.0,35,15543,0.62645,1.34102
46,46,2017,Other Combinations,1st Quintile,No,1.0,74,15543,0.78364,1.22383
47,47,2017,Other Combinations,2nd Quintile,No,1.0,47,15543,0.78958,1.28364
48,48,2017,Other Combinations,3rd Quintile,No,1.0,46,15543,0.7568,1.2999
49,49,2017,Other Combinations,4th Quintile,No,1.0,53,15543,0.68782,1.2921
50,50,2017,Other Combinations,5th Quintile,No,1.0,39,15543,0.80742,1.25092
51,51,2018,Single-person household,1st Quintile,No,1.0,1221,15318,0.94577,1.04997
52,52,2018,Single-person household,2nd Quintile,No,1.0,890,15318,0.93607,1.05951
53,53,2018,Single-person household,3rd Quintile,No,1.0,713,15318,0.93546,1.05801
54,54,2018,Single-person household,4th Quintile,No,1.0,622,15318,0.94177,1.05796
55,55,2018,Single-person household,5th Quintile,No,1.0,563,15318,0.93048,1.07787
56,56,2018,Couple without children,1st Quintile,No,1.0,506,15318,0.90768,1.0964
57,57,2018,Couple without children,2nd Quintile,No,1.0,823,15318,0.93305,1.06612
58,58,2018,Couple without children,3rd Quintile,No,1.0,831,15318,0.93018,1.07779
59,59,2018,Couple without children,4th Quintile,No,1.0,969,15318,0.93733,1.05557
60,60,2018,Couple without children,5th Quintile,No,1.0,1401,15318,0.94749,1.05616
61,61,2018,Single parent,1st Quintile,No,1.0,619,15318,0.91614,1.10134
62,62,2018,Single parent,2nd Quintile,No,1.0,408,15318,0.86266,1.12254
63,63,2018,Single parent,3rd Quintile,No,1.0,225,15318,0.84594,1.17094
64,64,2018,Single parent,4th Quintile,No,1.0,167,15318,0.87793,1.16285
65,65,2018,Single parent,5th Quintile,No,1.0,86,15318,0.81455,1.20108
66,66,2018,Couple with children,1st Quintile,No,1.0,806,15318,0.91197,1.08751
67,67,2018,Couple with children,2nd Quintile,No,1.0,1174,15318,0.93176,1.08679
68,68,2018,Couple with children,3rd Quintile,No,1.0,1079,15318,0.92906,1.05953
69,69,2018,Couple with children,4th Quintile,No,1.0,1041,15318,0.92979,1.07077
70,70,2018,Couple with children,5th Quintile,No,1.0,905,15318,0.92577,1.09401
