,Unnamed: 0,year,quintil_oecd_hh,sampreg,hlc0182,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,1st Quintile,West,No,1.0,2247,14237,0.95883,1.04746
1,1,2016,1st Quintile,East,No,1.0,810,14237,0.91912,1.08133
2,2,2016,2nd Quintile,West,No,1.0,2279,14237,0.95811,1.04393
3,3,2016,2nd Quintile,East,No,1.0,807,14237,0.93254,1.06996
4,4,2016,3rd Quintile,West,No,1.0,2074,14237,0.96009,1.05065
5,5,2016,3rd Quintile,East,No,1.0,669,14237,0.91631,1.08031
6,6,2016,4th Quintile,West,No,1.0,2206,14237,0.95942,1.03705
7,7,2016,4th Quintile,East,No,1.0,443,14237,0.89575,1.10274
8,8,2016,5th Quintile,West,No,1.0,2375,14237,0.95209,1.03888
9,9,2016,5th Quintile,East,No,1.0,327,14237,0.887,1.12589
10,10,2017,1st Quintile,West,No,1.0,2315,15621,0.95904,1.04268
11,11,2017,1st Quintile,East,No,1.0,859,15621,0.92624,1.08817
12,12,2017,2nd Quintile,West,No,1.0,2350,15621,0.95324,1.03666
13,13,2017,2nd Quintile,East,No,1.0,891,15621,0.92567,1.07392
14,14,2017,3rd Quintile,West,No,1.0,2333,15621,0.96399,1.03516
15,15,2017,3rd Quintile,East,No,1.0,729,15621,0.92639,1.08515
16,16,2017,4th Quintile,West,No,1.0,2496,15621,0.96285,1.03978
17,17,2017,4th Quintile,East,No,1.0,541,15621,0.91479,1.10139
18,18,2017,5th Quintile,West,No,1.0,2721,15621,0.96694,1.03697
19,19,2017,5th Quintile,East,No,1.0,386,15621,0.9216,1.10345
20,20,2018,1st Quintile,West,No,1.0,2334,15393,0.9618,1.04375
21,21,2018,1st Quintile,East,No,1.0,925,15393,0.9181,1.07993
22,22,2018,2nd Quintile,West,No,1.0,2409,15393,0.94912,1.03975
23,23,2018,2nd Quintile,East,No,1.0,962,15393,0.94252,1.06268
24,24,2018,3rd Quintile,West,No,1.0,2208,15393,0.95894,1.04572
25,25,2018,3rd Quintile,East,No,1.0,696,15393,0.916,1.08572
26,26,2018,4th Quintile,West,No,1.0,2376,15393,0.95545,1.03358
27,27,2018,4th Quintile,East,No,1.0,481,15393,0.91811,1.10819
28,28,2018,5th Quintile,West,No,1.0,2640,15393,0.95543,1.04647
29,29,2018,5th Quintile,East,No,1.0,362,15393,0.89701,1.09905
30,30,2019,1st Quintile,West,No,1.0,2097,16015,0.94946,1.04267
31,31,2019,1st Quintile,East,No,1.0,799,16015,0.91414,1.07913
32,32,2019,2nd Quintile,West,No,1.0,2144,16015,0.95911,1.05595
33,33,2019,2nd Quintile,East,No,1.0,830,16015,0.91868,1.07869
34,34,2019,3rd Quintile,West,No,1.0,2177,16015,0.95428,1.04331
35,35,2019,3rd Quintile,East,No,1.0,727,16015,0.91562,1.07689
36,36,2019,4th Quintile,West,No,1.0,2406,16015,0.95846,1.04216
37,37,2019,4th Quintile,East,No,1.0,539,16015,0.90663,1.10825
38,38,2019,5th Quintile,West,No,1.0,3613,16015,0.95149,1.04661
39,39,2019,5th Quintile,East,No,1.0,683,16015,0.88933,1.11246
40,40,2020,1st Quintile,West,No,1.0,2627,16186,0.94389,1.04205
41,41,2020,1st Quintile,East,No,1.0,811,16186,0.91883,1.09119
42,42,2020,2nd Quintile,West,No,1.0,2436,16186,0.95145,1.0538
43,43,2020,2nd Quintile,East,No,1.0,851,16186,0.92502,1.08203
44,44,2020,3rd Quintile,West,No,1.0,2249,16186,0.95553,1.04782
45,45,2020,3rd Quintile,East,No,1.0,680,16186,0.9256,1.07539
46,46,2020,4th Quintile,West,No,1.0,2318,16186,0.95689,1.03953
47,47,2020,4th Quintile,East,No,1.0,503,16186,0.88091,1.1029
48,48,2020,5th Quintile,West,No,1.0,3130,16186,0.95835,1.04831
49,49,2020,5th Quintile,East,No,1.0,581,16186,0.86485,1.12635
50,50,2021,1st Quintile,West,No,1.0,1526,11014,0.93538,1.05379
51,51,2021,1st Quintile,East,No,1.0,538,11014,0.90475,1.10138
52,52,2021,2nd Quintile,West,No,1.0,1595,11014,0.93297,1.05438
53,53,2021,2nd Quintile,East,No,1.0,594,11014,0.89494,1.10411
54,54,2021,3rd Quintile,West,No,1.0,1555,11014,0.94282,1.05558
55,55,2021,3rd Quintile,East,No,1.0,459,11014,0.89463,1.09273
56,56,2021,4th Quintile,West,No,1.0,1698,11014,0.94045,1.0565
57,57,2021,4th Quintile,East,No,1.0,383,11014,0.88656,1.12809
58,58,2021,5th Quintile,West,No,1.0,2253,11014,0.94812,1.0558
59,59,2021,5th Quintile,East,No,1.0,413,11014,0.87213,1.15424
