,Unnamed: 0,year,hhtyp,hlc0182,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,Single-person household,No,1.0,3375,14242,0.97405,1.02348
1,1,2016,Couple without children,No,1.0,4077,14242,0.96632,1.0307
2,2,2016,Single parent,No,1.0,1519,14242,0.9382,1.05777
3,3,2016,Couple with children,No,1.0,4970,14242,0.9583,1.04183
4,4,2016,Multi-generational household,No,1.0,108,14242,0.76113,1.26497
5,5,2016,Other Combinations,No,1.0,193,14242,0.86736,1.13651
6,6,2017,Single-person household,No,1.0,3817,15625,0.98063,1.02727
7,7,2017,Couple without children,No,1.0,4599,15625,0.97581,1.03116
8,8,2017,Single parent,No,1.0,1534,15625,0.95124,1.0611
9,9,2017,Couple with children,No,1.0,5303,15625,0.96924,1.02957
10,10,2017,Multi-generational household,No,1.0,113,15625,0.78676,1.24546
11,11,2017,Other Combinations,No,1.0,259,15625,0.89061,1.10357
12,12,2018,Single-person household,No,1.0,4012,15398,0.97597,1.02381
13,13,2018,Couple without children,No,1.0,4531,15398,0.97095,1.03045
14,14,2018,Single parent,No,1.0,1506,15398,0.9398,1.0604
15,15,2018,Couple with children,No,1.0,5005,15398,0.96811,1.03045
16,16,2018,Multi-generational household,No,1.0,116,15398,0.79935,1.20141
17,17,2018,Other Combinations,No,1.0,228,15398,0.88086,1.1114
18,18,2019,Single-person household,No,1.0,4125,16080,0.96945,1.02489
19,19,2019,Couple without children,No,1.0,5071,16080,0.96222,1.03176
20,20,2019,Single parent,No,1.0,1418,16080,0.93495,1.06941
21,21,2019,Couple with children,No,1.0,5138,16080,0.96526,1.03804
22,22,2019,Multi-generational household,No,1.0,105,16080,0.76327,1.24246
23,23,2019,Other Combinations,No,1.0,223,16080,0.87671,1.13535
24,24,2020,Single-person household,No,1.0,4586,16215,0.96996,1.02648
25,25,2020,Couple without children,No,1.0,4996,16215,0.96859,1.03287
26,26,2020,Single parent,No,1.0,1335,16215,0.93638,1.08004
27,27,2020,Couple with children,No,1.0,4883,16215,0.96305,1.03308
28,28,2020,Multi-generational household,No,1.0,118,16215,0.76281,1.18736
29,29,2020,Other Combinations,No,1.0,297,16215,0.86443,1.15364
30,30,2021,Single-person household,No,1.0,3192,10928,0.96067,1.03661
31,31,2021,Couple without children,No,1.0,3379,10928,0.96524,1.04774
32,32,2021,Single parent,No,1.0,891,10928,0.90486,1.07879
33,33,2021,Couple with children,No,1.0,3140,10928,0.94703,1.05082
34,34,2021,Multi-generational household,No,1.0,76,10928,0.68296,1.44939
35,35,2021,Other Combinations,No,1.0,250,10928,0.85001,1.17779
