"hlc0182","year","bula_h","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"ja","2016","Schleswig-Holstein","1 Einkommensschwächstes Quintil","","","",""
"ja","2016","Schleswig-Holstein","2","","","",""
"ja","2016","Schleswig-Holstein","3","","","",""
"ja","2016","Schleswig-Holstein","4","","","",""
"ja","2016","Schleswig-Holstein","5 Einkommensstärkstes Quintil","","","",""
"ja","2016","Hamburg","1 Einkommensschwächstes Quintil","","","",""
"ja","2016","Hamburg","2","","","",""
"ja","2016","Hamburg","3","","","",""
"ja","2016","Hamburg","4","","","",""
"ja","2016","Hamburg","5 Einkommensstärkstes Quintil","","","",""
"ja","2016","Niedersachsen","1 Einkommensschwächstes Quintil","","","",""
"ja","2016","Niedersachsen","2","","","",""
"ja","2016","Niedersachsen","3","","","",""
"ja","2016","Niedersachsen","4","8","0.0211438145286269","0.0113742162668314","0.0309134127904225"
"ja","2016","Niedersachsen","5 Einkommensstärkstes Quintil","","","",""
"ja","2016","Bremen","1 Einkommensschwächstes Quintil","","","",""
"ja","2016","Bremen","2","","","",""
"ja","2016","Bremen","3","","","",""
"ja","2016","Bremen","4","","","",""
"ja","2016","Bremen","5 Einkommensstärkstes Quintil","","","",""
"ja","2016","Nordrhein-Westfalen","1 Einkommensschwächstes Quintil","","","",""
"ja","2016","Nordrhein-Westfalen","2","3","","",""
"ja","2016","Nordrhein-Westfalen","3","","","",""
"ja","2016","Nordrhein-Westfalen","4","4","0.0021188587252622","5.72409236679508e-05","0.00418047652685645"
"ja","2016","Nordrhein-Westfalen","5 Einkommensstärkstes Quintil","","","",""
"ja","2016","Hessen","1 Einkommensschwächstes Quintil","","","",""
"ja","2016","Hessen","2","","","",""
"ja","2016","Hessen","3","","","",""
"ja","2016","Hessen","4","2","","",""
"ja","2016","Hessen","5 Einkommensstärkstes Quintil","","","",""
"ja","2016","Rheinland-Pfalz,Saarland","1 Einkommensschwächstes Quintil","","","",""
"ja","2016","Rheinland-Pfalz,Saarland","2","","","",""
"ja","2016","Rheinland-Pfalz,Saarland","3","","","",""
"ja","2016","Rheinland-Pfalz,Saarland","4","4","0.00705309081519851","3.36175914837028e-05","0.0140725640389133"
"ja","2016","Rheinland-Pfalz,Saarland","5 Einkommensstärkstes Quintil","","","",""
"ja","2016","Baden-Wuerttemberg","1 Einkommensschwächstes Quintil","","","",""
"ja","2016","Baden-Wuerttemberg","2","","","",""
"ja","2016","Baden-Wuerttemberg","3","","","",""
"ja","2016","Baden-Wuerttemberg","4","","","",""
"ja","2016","Baden-Wuerttemberg","5 Einkommensstärkstes Quintil","","","",""
"ja","2016","Bayern","1 Einkommensschwächstes Quintil","","","",""
"ja","2016","Bayern","2","","","",""
"ja","2016","Bayern","3","","","",""
"ja","2016","Bayern","4","3","","",""
"ja","2016","Bayern","5 Einkommensstärkstes Quintil","","","",""
"ja","2016","Saarland","1 Einkommensschwächstes Quintil","","","",""
"ja","2016","Saarland","2","","","",""
"ja","2016","Saarland","3","","","",""
"ja","2016","Saarland","4","","","",""
"ja","2016","Saarland","5 Einkommensstärkstes Quintil","","","",""
"ja","2016","Berlin","1 Einkommensschwächstes Quintil","","","",""
"ja","2016","Berlin","2","","","",""
"ja","2016","Berlin","3","3","","",""
"ja","2016","Berlin","4","2","","",""
"ja","2016","Berlin","5 Einkommensstärkstes Quintil","","","",""
"ja","2016","Brandenburg","1 Einkommensschwächstes Quintil","","","",""
"ja","2016","Brandenburg","2","","","",""
"ja","2016","Brandenburg","3","","","",""
"ja","2016","Brandenburg","4","2","","",""
"ja","2016","Brandenburg","5 Einkommensstärkstes Quintil","","","",""
"ja","2016","Mecklenburg-Vorpommern","1 Einkommensschwächstes Quintil","","","",""
"ja","2016","Mecklenburg-Vorpommern","2","","","",""
"ja","2016","Mecklenburg-Vorpommern","3","","","",""
"ja","2016","Mecklenburg-Vorpommern","4","","","",""
"ja","2016","Mecklenburg-Vorpommern","5 Einkommensstärkstes Quintil","","","",""
"ja","2016","Sachsen","1 Einkommensschwächstes Quintil","","","",""
"ja","2016","Sachsen","2","","","",""
"ja","2016","Sachsen","3","1","","",""
"ja","2016","Sachsen","4","1","","",""
"ja","2016","Sachsen","5 Einkommensstärkstes Quintil","","","",""
"ja","2016","Sachsen-Anhalt","1 Einkommensschwächstes Quintil","","","",""
"ja","2016","Sachsen-Anhalt","2","1","","",""
"ja","2016","Sachsen-Anhalt","3","","","",""
"ja","2016","Sachsen-Anhalt","4","","","",""
"ja","2016","Sachsen-Anhalt","5 Einkommensstärkstes Quintil","","","",""
"ja","2016","Thueringen","1 Einkommensschwächstes Quintil","","","",""
"ja","2016","Thueringen","2","","","",""
"ja","2016","Thueringen","3","","","",""
"ja","2016","Thueringen","4","3","","",""
"ja","2016","Thueringen","5 Einkommensstärkstes Quintil","","","",""
"nein","2016","Schleswig-Holstein","1 Einkommensschwächstes Quintil","","","",""
"nein","2016","Schleswig-Holstein","2","222","","",""
"nein","2016","Schleswig-Holstein","3","220","","",""
"nein","2016","Schleswig-Holstein","4","357","1","1","1"
"nein","2016","Schleswig-Holstein","5 Einkommensstärkstes Quintil","","","",""
"nein","2016","Hamburg","1 Einkommensschwächstes Quintil","","","",""
"nein","2016","Hamburg","2","65","1","1","1"
"nein","2016","Hamburg","3","134","","",""
"nein","2016","Hamburg","4","168","","",""
"nein","2016","Hamburg","5 Einkommensstärkstes Quintil","","","",""
"nein","2016","Niedersachsen","1 Einkommensschwächstes Quintil","","","",""
"nein","2016","Niedersachsen","2","644","1","1","1"
"nein","2016","Niedersachsen","3","661","1","1","1"
"nein","2016","Niedersachsen","4","825","0.978856185471373","0.969086587209578","0.988625783733169"
"nein","2016","Niedersachsen","5 Einkommensstärkstes Quintil","","","",""
"nein","2016","Bremen","1 Einkommensschwächstes Quintil","","","",""
"nein","2016","Bremen","2","49","1","1","1"
"nein","2016","Bremen","3","44","1","1","1"
"nein","2016","Bremen","4","41","1","1","1"
"nein","2016","Bremen","5 Einkommensstärkstes Quintil","","","",""
"nein","2016","Nordrhein-Westfalen","1 Einkommensschwächstes Quintil","","","",""
"nein","2016","Nordrhein-Westfalen","2","1420","","",""
"nein","2016","Nordrhein-Westfalen","3","1298","","",""
"nein","2016","Nordrhein-Westfalen","4","1907","","",""
"nein","2016","Nordrhein-Westfalen","5 Einkommensstärkstes Quintil","","","",""
"nein","2016","Hessen","1 Einkommensschwächstes Quintil","","","",""
"nein","2016","Hessen","2","366","1","1","1"
"nein","2016","Hessen","3","462","1","1","1"
"nein","2016","Hessen","4","597","0.998795153202705","0.996017111206865","1.00157319519854"
"nein","2016","Hessen","5 Einkommensstärkstes Quintil","","","",""
"nein","2016","Rheinland-Pfalz,Saarland","1 Einkommensschwächstes Quintil","","","",""
"nein","2016","Rheinland-Pfalz,Saarland","2","417","1","1","1"
