year,hhtyp,sampreg,hlc0182,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,West,No,0.98964,2528,2528,0.98570,0.99359
2016,Single-person household,East,No,0.98836,847,847,0.98113,0.99559
2016,Couple without children,West,No,0.99405,3071,3071,0.99132,0.99677
2016,Couple without children,East,No,0.99470,1006,1006,0.99021,0.99919
2016,Single parent,West,No,0.99181,1185,1185,0.98668,0.99694
2016,Single parent,East,No,0.98644,334,334,0.97401,0.99886
2016,Couple with children,West,No,0.98806,4153,4153,0.98475,0.99136
2016,Couple with children,East,No,0.97677,817,817,0.96644,0.98711
2016,Multi-generational household,West,No,0.99269,84,84,0.97436,1.01102
2016,Other Combinations,West,No,0.93238,165,165,0.89395,0.97081
2017,Single-person household,West,No,0.99000,2851,2851,0.98635,0.99365
2017,Single-person household,East,No,0.99098,966,966,0.98501,0.99694
2017,Couple without children,West,No,0.99618,3468,3468,0.99413,0.99823
2017,Couple without children,East,No,0.99603,1131,1131,0.99237,0.99970
2017,Single parent,West,No,0.98899,1193,1193,0.98307,0.99491
2017,Single parent,East,No,0.98037,341,341,0.96562,0.99511
2017,Couple with children,West,No,0.98506,4395,4395,0.98148,0.98865
2017,Couple with children,East,No,0.98639,908,908,0.97886,0.99393
2017,Multi-generational household,West,No,0.98544,88,88,0.96027,1.01061
2017,Other Combinations,West,No,0.95911,224,224,0.93312,0.98510
2017,Other Combinations,East,No,0.95461,35,35,0.88465,1.02458
2018,Single-person household,West,No,0.98765,2990,2990,0.98370,0.99161
2018,Single-person household,East,No,0.99332,1022,1022,0.98833,0.99832
2018,Couple without children,West,No,0.99375,3402,3402,0.99110,0.99640
2018,Couple without children,East,No,0.99649,1129,1129,0.99304,0.99994
2018,Single parent,West,No,0.98012,1169,1169,0.97211,0.98812
2018,Single parent,East,No,0.98729,337,337,0.97531,0.99927
2018,Couple with children,West,No,0.98479,4122,4122,0.98106,0.98853
2018,Couple with children,East,No,0.98456,883,883,0.97642,0.99269
2018,Multi-generational household,West,No,0.98552,90,90,0.96069,1.01034
2018,Other Combinations,West,No,0.95849,199,199,0.93071,0.98627
2019,Single-person household,West,No,0.98749,3083,3083,0.98356,0.99141
2019,Single-person household,East,No,0.99203,1002,1002,0.98652,0.99754
2019,Couple without children,West,No,0.99412,3802,3802,0.99169,0.99655
2019,Couple without children,East,No,0.99672,1257,1257,0.99356,0.99988
2019,Single parent,West,No,0.98718,1089,1089,0.98049,0.99386
2019,Single parent,East,No,0.98568,324,324,0.97273,0.99864
2019,Couple with children,West,No,0.98295,4195,4195,0.97903,0.98687
2019,Couple with children,East,No,0.98137,939,939,0.97271,0.99002
2019,Multi-generational household,West,No,0.97961,80,80,0.94845,1.01078
2019,Other Combinations,West,No,0.95863,189,189,0.93017,0.98710
2019,Other Combinations,East,No,0.94299,33,33,0.86265,1.02333
2020,Single-person household,West,No,0.98224,3552,3552,0.97789,0.98658
2020,Single-person household,East,No,0.98644,1034,1034,0.97938,0.99349
2020,Couple without children,West,No,0.98646,3825,3825,0.98280,0.99012
2020,Couple without children,East,No,0.99140,1171,1171,0.98611,0.99669
2020,Single parent,West,No,0.98148,1033,1033,0.97325,0.98971
2020,Single parent,East,No,0.98181,302,302,0.96672,0.99691
2020,Couple with children,West,No,0.97574,4029,4029,0.97098,0.98049
2020,Couple with children,East,No,0.97900,854,854,0.96937,0.98862
2020,Multi-generational household,West,No,0.98689,92,92,0.96353,1.01026
2020,Other Combinations,West,No,0.94637,256,256,0.91872,0.97402
2020,Other Combinations,East,No,0.91784,41,41,0.83274,1.00294
2021,Single-person household,West,No,0.98462,2475,2475,0.97977,0.98947
2021,Single-person household,East,No,0.98691,709,709,0.97854,0.99528
2021,Couple without children,West,No,0.98700,2575,2575,0.98262,0.99137
2021,Couple without children,East,No,0.99551,819,819,0.99092,1.00009
2021,Single parent,West,No,0.98214,655,655,0.97199,0.99229
2021,Single parent,East,No,0.98889,238,238,0.97554,1.00223
2021,Couple with children,West,No,0.97639,2613,2613,0.97057,0.98222
2021,Couple with children,East,No,0.97927,552,552,0.96738,0.99117
2021,Multi-generational household,West,No,0.98368,58,58,0.95078,1.01657
2021,Other Combinations,West,No,0.96657,220,220,0.94277,0.99038
2021,Other Combinations,East,No,0.97985,43,43,0.93736,1.02235
2022,Single-person household,West,No,0.98358,4282,4282,0.97977,0.98738
2022,Single-person household,East,No,0.98217,1276,1276,0.97491,0.98943
2022,Couple without children,West,No,0.98826,4443,4443,0.98509,0.99143
2022,Couple without children,East,No,0.99695,1257,1257,0.99390,1.00000
2022,Single parent,West,No,0.98739,836,836,0.97983,0.99496
2022,Single parent,East,No,0.98280,301,301,0.96808,0.99751
2022,Couple with children,West,No,0.97373,4111,4111,0.96884,0.97862
2022,Couple with children,East,No,0.96795,1016,1016,0.95711,0.97878
2022,Multi-generational household,West,No,0.97517,63,63,0.93644,1.01390
2022,Other Combinations,West,No,0.97891,886,886,0.96944,0.98838
2022,Other Combinations,East,No,0.98030,220,220,0.96189,0.99871
