year,sampreg,hlc0182,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2016,West,No,1.00000,11186,14242,0,0.98202,0,1.01934
2016,East,No,1.00000,3056,14242,0,0.96510,0,1.04388
2017,West,No,1.00000,12219,15625,0,0.97923,0,1.01612
2017,East,No,1.00000,3406,15625,0,0.96689,0,1.03482
2018,West,Yes,0.00288,32,15430,0,0.00188,0,0.00386
2018,West,No,0.99712,11972,15430,0,0.97558,0,1.01478
2018,East,No,1.00000,3426,15430,0,0.96297,0,1.03337
2019,West,Yes,0.00207,34,16052,0,0.00131,0,0.00298
2019,West,No,0.99793,12438,16052,0,0.97763,0,1.01790
2019,East,No,1.00000,3580,16052,0,0.96331,0,1.03662
2020,West,Yes,0.00447,49,16264,0,0.00293,0,0.00624
2020,West,No,0.99553,12787,16264,0,0.97601,0,1.01822
2020,East,No,1.00000,3428,16264,0,0.96104,0,1.04207
2021,West,Yes,0.00422,40,11073,0,0.00281,0,0.00607
2021,West,No,0.99578,8642,11073,0,0.97093,0,1.02235
2021,East,No,1.00000,2391,11073,0,0.94472,0,1.04373
