"hlc0182","year","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"ja","2016","Ländlicher Raum","10","","",""
"ja","2016","Städtischer Raum","26","","",""
"nein","2016","Ländlicher Raum","4931","0.998198252568581","0.997015766528069","0.999380738609094"
"nein","2016","Städtischer Raum","9311","0.996948898524535","0.995830209991274","0.998067587057796"
"ja","2017","Ländlicher Raum","14","","",""
"ja","2017","Städtischer Raum","17","","",""
"nein","2017","Ländlicher Raum","5448","0.997741198570317","0.996482214535666","0.999000182604969"
"nein","2017","Städtischer Raum","10177","0.99880001840361","0.998127967235965","0.999472069571256"
"ja","2018","Ländlicher Raum","15","","",""
"ja","2018","Städtischer Raum","19","","",""
"nein","2018","Ländlicher Raum","5285","0.997451791377541","0.99609449839412","0.998809084360962"
"nein","2018","Städtischer Raum","10113","0.997560480468612","0.996599925399827","0.998521035537398"
"ja","2019","Ländlicher Raum","16","","",""
"ja","2019","Städtischer Raum","24","","",""
"nein","2019","Ländlicher Raum","5387","0.997823552239159","0.996580951503461","0.999066152974857"
"nein","2019","Städtischer Raum","10285","0.998073759034408","0.99722735748962","0.998920160579197"
"ja","2020","Ländlicher Raum","20","","",""
"ja","2020","Städtischer Raum","42","0.00458633172962974","0.00332327019588551","0.00584939326337398"
"nein","2020","Ländlicher Raum","5356","0.996439417288802","0.994847192247415","0.998031642330189"
"nein","2020","Städtischer Raum","10951","0.99541366827037","0.994150606736626","0.996676729804114"
