year,hhtyp,rentown,hlc0182,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,Owner,No,0.99624,928,928,0.99230,1.00018
2016,Single-person household,Tenant,No,0.99771,2446,2446,0.99581,0.99960
2016,Couple without children,Owner,No,0.99809,2212,2212,0.99627,0.99991
2016,Couple without children,Tenant,No,0.99752,1865,1865,0.99526,0.99978
2016,Single parent,Owner,No,0.99918,381,381,0.99631,1.00206
2016,Single parent,Tenant,No,0.99696,1138,1138,0.99376,1.00016
2016,Couple with children,Owner,No,0.99479,2646,2646,0.99204,0.99753
2016,Couple with children,Tenant,No,0.99986,2324,2324,0.99938,1.00034
2016,Other Combinations,Owner,No,0.98544,50,50,0.95190,1.01898
2017,Single-person household,Owner,No,0.99900,1017,1017,0.99706,1.00094
2017,Single-person household,Tenant,No,0.99795,2800,2800,0.99627,0.99962
2017,Couple without children,Owner,No,0.99913,2525,2525,0.99797,1.00028
2017,Couple without children,Tenant,No,0.99763,2074,2074,0.99554,0.99972
2017,Single parent,Owner,No,0.99005,407,407,0.98039,0.99970
2017,Single parent,Tenant,No,0.99957,1127,1127,0.99836,1.00078
2017,Couple with children,Owner,No,0.99883,2947,2947,0.99759,1.00006
2017,Couple with children,Tenant,No,0.99973,2356,2356,0.99907,1.00039
2018,Single-person household,Owner,No,0.99393,1002,1002,0.98912,0.99874
2018,Single-person household,Tenant,No,0.99851,3010,3010,0.99713,0.99989
2018,Couple without children,Owner,No,0.99922,2457,2457,0.99811,1.00032
2018,Couple without children,Tenant,No,0.99637,2074,2074,0.99378,0.99896
2018,Single parent,Owner,No,0.99441,381,381,0.98691,1.00191
2018,Single parent,Tenant,No,0.99495,1125,1125,0.99081,0.99910
2018,Couple with children,Owner,No,0.99816,2748,2748,0.99656,0.99976
2018,Couple with children,Tenant,No,0.99919,2257,2257,0.99801,1.00036
2018,Multi-generational household,Owner,No,0.99742,54,54,0.98376,1.01108
2019,Single-person household,Owner,No,0.99610,1179,1179,0.99253,0.99966
2019,Single-person household,Tenant,No,0.99849,2946,2946,0.99709,0.99989
2019,Couple without children,Owner,No,0.99666,2969,2969,0.99459,0.99874
2019,Couple without children,Tenant,No,0.99836,2102,2102,0.99663,1.00009
2019,Single parent,Tenant,No,0.99985,1027,1027,0.99909,1.00060
2019,Couple with children,Owner,No,0.99857,3151,3151,0.99726,0.99989
2019,Couple with children,Tenant,No,0.99855,1987,1987,0.99687,1.00022
2020,Single-person household,Owner,No,0.99223,1093,1093,0.98702,0.99744
2020,Single-person household,Tenant,No,0.99541,3493,3493,0.99316,0.99765
2020,Couple without children,Owner,No,0.99738,2625,2625,0.99543,0.99934
2020,Couple without children,Tenant,No,0.99455,2371,2371,0.99158,0.99751
2020,Single parent,Owner,No,0.99481,366,366,0.98744,1.00218
2020,Single parent,Tenant,No,0.99903,969,969,0.99707,1.00099
2020,Couple with children,Owner,No,0.99689,2683,2683,0.99478,0.99899
2020,Couple with children,Tenant,No,0.99681,2200,2200,0.99445,0.99917
2020,Other Combinations,Owner,No,0.98476,93,93,0.95973,1.00979
2021,Single-person household,Owner,No,0.99710,858,858,0.99349,1.00070
2021,Single-person household,Tenant,No,0.99750,2325,2325,0.99547,0.99953
2021,Couple without children,Owner,No,0.99178,1903,1903,0.98772,0.99584
2021,Couple without children,Tenant,No,0.99441,1490,1490,0.99063,0.99820
2021,Single parent,Tenant,No,0.99910,645,645,0.99678,1.00142
2021,Couple with children,Owner,No,0.99704,1876,1876,0.99458,0.99950
2021,Other Combinations,Tenant,No,0.99763,157,157,0.99001,1.00526
2022,No answer / don't know,Owner,No,0.98001,143,143,0.95699,1.00303
2022,No answer / don't know,Tenant,No,0.99992,281,281,0.99887,1.00097
2022,Single-person household,Owner,No,0.99965,1213,1213,0.99861,1.00070
2022,Single-person household,Tenant,No,0.99551,4340,4340,0.99352,0.99750
2022,Couple without children,Owner,No,0.99721,2761,2761,0.99525,0.99918
2022,Couple without children,Tenant,No,0.99580,2936,2936,0.99347,0.99814
2022,Single parent,Tenant,No,0.99919,823,823,0.99724,1.00113
2022,Couple with children,Owner,No,0.99642,2906,2906,0.99425,0.99859
2022,Couple with children,Tenant,No,0.99820,2218,2218,0.99643,0.99996
2022,Multi-generational household,Owner,No,0.99586,42,42,0.97621,1.01551
2022,Other Combinations,Owner,No,0.99869,407,407,0.99517,1.00221
2022,Other Combinations,Tenant,No,0.99996,699,699,0.99946,1.00045
