year,regtyp,rentown,hlc0182,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2016,Urban regions,Owner,No,1.00000,3742,14241,1.00000,1.00000
2016,Urban regions,Tenant,No,1.00000,5578,14241,1.00000,1.00000
2016,Rural regions,Owner,No,1.00000,2527,14241,1.00000,1.00000
2016,Rural regions,Tenant,No,1.00000,2394,14241,1.00000,1.00000
2017,Urban regions,Owner,No,1.00000,4239,15625,1.00000,1.00000
2017,Urban regions,Tenant,No,1.00000,5955,15625,1.00000,1.00000
2017,Rural regions,Owner,No,1.00000,2805,15625,1.00000,1.00000
2017,Rural regions,Tenant,No,1.00000,2626,15625,1.00000,1.00000
2018,Urban regions,Owner,No,1.00000,4050,15398,1.00000,1.00000
2018,Urban regions,Tenant,No,1.00000,6077,15398,1.00000,1.00000
2018,Rural regions,Owner,No,1.00000,2677,15398,1.00000,1.00000
2018,Rural regions,Tenant,No,1.00000,2594,15398,1.00000,1.00000
2019,Urban regions,Owner,No,1.00000,4703,15616,1.00000,1.00000
2019,Urban regions,Tenant,No,1.00000,5563,15616,1.00000,1.00000
2019,Rural regions,Owner,No,1.00000,2986,15616,1.00000,1.00000
2019,Rural regions,Tenant,No,1.00000,2364,15616,1.00000,1.00000
2020,Urban regions,Owner,No,1.00000,4245,16215,1.00000,1.00000
2020,Urban regions,Tenant,No,1.00000,6678,16215,1.00000,1.00000
2020,Rural regions,Owner,No,1.00000,2669,16215,1.00000,1.00000
2020,Rural regions,Tenant,No,1.00000,2623,16215,1.00000,1.00000
2021,Urban regions,Owner,No,1.00000,3099,11028,1.00000,1.00000
2021,Urban regions,Tenant,No,1.00000,4279,11028,1.00000,1.00000
2021,Rural regions,Owner,No,1.00000,1949,11028,1.00000,1.00000
2021,Rural regions,Tenant,No,1.00000,1701,11028,1.00000,1.00000
