year,quintil_oecd_hh,regtyp,hlc0182,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,Urban regions,No,0.99926,1979,1979,0.99807,1.00046
2016,1st Quintile,Rural regions,No,0.99915,1108,1108,0.99744,1.00087
2016,2nd Quintile,Urban regions,No,0.99811,1841,1841,0.99613,1.00010
2016,2nd Quintile,Rural regions,No,0.99802,1188,1188,0.99549,1.00055
2016,3rd Quintile,Urban regions,No,0.99895,1721,1721,0.99742,1.00048
2016,3rd Quintile,Rural regions,No,0.99805,1012,1012,0.99534,1.00077
2016,4th Quintile,Urban regions,No,0.99847,1751,1751,0.99664,1.00030
2016,4th Quintile,Rural regions,No,0.99917,899,899,0.99728,1.00105
2016,5th Quintile,Urban regions,No,0.99086,2036,2036,0.98672,0.99499
2016,5th Quintile,Rural regions,No,0.99608,702,702,0.99146,1.00071
2017,1st Quintile,Urban regions,No,0.99923,2018,2018,0.99801,1.00044
2017,1st Quintile,Rural regions,No,0.99764,1174,1174,0.99487,1.00042
2017,2nd Quintile,Urban regions,No,0.99827,1969,1969,0.99644,1.00011
2017,2nd Quintile,Rural regions,No,0.99683,1259,1259,0.99373,0.99994
2017,3rd Quintile,Urban regions,No,0.99819,1896,1896,0.99628,1.00011
2017,3rd Quintile,Rural regions,No,0.99665,1182,1182,0.99336,0.99995
2017,4th Quintile,Urban regions,No,0.99930,2009,2009,0.99815,1.00046
2017,4th Quintile,Rural regions,No,0.99940,1027,1027,0.99790,1.00090
2017,5th Quintile,Urban regions,No,0.99907,2317,2317,0.99784,1.00031
2017,5th Quintile,Rural regions,No,0.99860,770,770,0.99595,1.00124
2018,1st Quintile,Urban regions,No,0.99946,2128,2128,0.99848,1.00045
2018,1st Quintile,Rural regions,No,0.99858,1178,1178,0.99644,1.00073
2018,2nd Quintile,Urban regions,No,0.99924,2027,2027,0.99803,1.00044
2018,2nd Quintile,Rural regions,No,0.99756,1261,1261,0.99484,1.00029
2018,3rd Quintile,Urban regions,No,0.99462,1843,1843,0.99128,0.99796
2018,3rd Quintile,Rural regions,No,0.99787,1085,1085,0.99513,1.00062
2018,4th Quintile,Urban regions,No,0.99862,1911,1911,0.99696,1.00029
2018,4th Quintile,Rural regions,No,0.99506,959,959,0.99061,0.99950
2018,5th Quintile,Urban regions,No,0.99606,2231,2231,0.99346,0.99866
2018,5th Quintile,Rural regions,No,0.99876,770,770,0.99626,1.00125
2019,1st Quintile,Urban regions,No,0.99736,1806,1806,0.99499,0.99973
2019,1st Quintile,Rural regions,No,0.99883,1020,1020,0.99672,1.00093
2019,2nd Quintile,No answer / don't know,No,0.99620,97,97,0.98389,1.00851
2019,2nd Quintile,Urban regions,No,0.99858,1772,1772,0.99683,1.00033
2019,2nd Quintile,Rural regions,No,0.99777,1155,1155,0.99506,1.00049
