"hlc0182","year","hhtyp","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"ja","2016","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"ja","2016","1-Pers.- Haushalt","2","1","","",""
"ja","2016","1-Pers.- Haushalt","3","2","","",""
"ja","2016","1-Pers.- Haushalt","4","2","","",""
"ja","2016","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"ja","2016","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
"ja","2016","(Ehe-)Paar ohne Kind(er)","2","","","",""
"ja","2016","(Ehe-)Paar ohne Kind(er)","3","2","","",""
"ja","2016","(Ehe-)Paar ohne Kind(er)","4","6","0.00187162361508007","7.53058747940563e-05","0.00366794135536608"
"ja","2016","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","",""
"ja","2016","Alleinerziehende","1 Einkommensschwächstes Quintil","","","",""
"ja","2016","Alleinerziehende","2","","","",""
"ja","2016","Alleinerziehende","3","","","",""
"ja","2016","Alleinerziehende","4","10","","",""
"ja","2016","Alleinerziehende","5 Einkommensstärkstes Quintil","","","",""
"ja","2016","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","",""
"ja","2016","Paar mit Kind(ern)","2","3","","",""
"ja","2016","Paar mit Kind(ern)","3","","","",""
"ja","2016","Paar mit Kind(ern)","4","11","","",""
"ja","2016","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","",""
"ja","2016","Sonstige","1 Einkommensschwächstes Quintil","","","",""
"ja","2016","Sonstige","2","","","",""
"ja","2016","Sonstige","3","","","",""
"ja","2016","Sonstige","4","","","",""
"ja","2016","Sonstige","5 Einkommensstärkstes Quintil","","","",""
"nein","2016","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"nein","2016","1-Pers.- Haushalt","2","483","0.999061354779544","0.996333179767551","1.00178952979154"
"nein","2016","1-Pers.- Haushalt","3","598","0.997083535510769","0.992768676746962","1.00139839427458"
"nein","2016","1-Pers.- Haushalt","4","912","0.998674100295601","0.996315022713818","1.00103317787738"
"nein","2016","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"nein","2016","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
"nein","2016","(Ehe-)Paar ohne Kind(er)","2","738","1","1","1"
"nein","2016","(Ehe-)Paar ohne Kind(er)","3","1388","","",""
"nein","2016","(Ehe-)Paar ohne Kind(er)","4","2218","","",""
"nein","2016","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","",""
"nein","2016","Alleinerziehende","1 Einkommensschwächstes Quintil","","","",""
"nein","2016","Alleinerziehende","2","1164","","",""
"nein","2016","Alleinerziehende","3","732","1","1","1"
"nein","2016","Alleinerziehende","4","655","0.985694627078967","0.976669401722746","0.994719852435188"
"nein","2016","Alleinerziehende","5 Einkommensstärkstes Quintil","","","",""
"nein","2016","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","",""
"nein","2016","Paar mit Kind(ern)","2","3568","0.999851288647468","0.999451350405664","1.00025122688927"
"nein","2016","Paar mit Kind(ern)","3","3866","1","1","1"
"nein","2016","Paar mit Kind(ern)","4","5258","0.995057006817747","0.993163342575439","0.996950671060055"
"nein","2016","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","",""
"nein","2016","Sonstige","1 Einkommensschwächstes Quintil","","","",""
"nein","2016","Sonstige","2","217","","",""
"nein","2016","Sonstige","3","205","","",""
"nein","2016","Sonstige","4","187","","",""
"nein","2016","Sonstige","5 Einkommensstärkstes Quintil","","","",""
"ja","2017","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"ja","2017","1-Pers.- Haushalt","2","","","",""
"ja","2017","1-Pers.- Haushalt","3","3","","",""
"ja","2017","1-Pers.- Haushalt","4","3","","",""
"ja","2017","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"ja","2017","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
"ja","2017","(Ehe-)Paar ohne Kind(er)","2","","","",""
"ja","2017","(Ehe-)Paar ohne Kind(er)","3","","","",""
"ja","2017","(Ehe-)Paar ohne Kind(er)","4","4","0.00239055824062841","0.000423636041995229","0.00435748043926159"
"ja","2017","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","",""
"ja","2017","Alleinerziehende","1 Einkommensschwächstes Quintil","","","",""
"ja","2017","Alleinerziehende","2","3","","",""
"ja","2017","Alleinerziehende","3","","","",""
"ja","2017","Alleinerziehende","4","4","0.00770327657221142","0.00124035400679453","0.0141661991376283"
"ja","2017","Alleinerziehende","5 Einkommensstärkstes Quintil","","","",""
"ja","2017","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","",""
"ja","2017","Paar mit Kind(ern)","2","","","",""
"ja","2017","Paar mit Kind(ern)","3","4","0.000614071411973227","-0.000129749490833041","0.00135789231477949"
"ja","2017","Paar mit Kind(ern)","4","10","","",""
"ja","2017","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","",""
"ja","2017","Sonstige","1 Einkommensschwächstes Quintil","","","",""
"ja","2017","Sonstige","2","","","",""
"ja","2017","Sonstige","3","","","",""
"ja","2017","Sonstige","4","","","",""
