year,migback,ple0018,proportion,n,lower_confidence,upper_confidence
2009,No migration background,2.0,0.6558441558441559,18254,0.6489520022211178,0.662736309467194
2009,No migration background,1.0,0.2128982128982129,18254,0.20695968904216386,0.21883673675426193
2009,Direct migration background,2.0,0.07253857253857254,18254,0.06877578688883748,0.0763013581883076
2009,Indirect migration background,2.0,0.03735153735153735,18254,0.03460069849749067,0.04010237620558403
2009,Direct migration background,1.0,0.019536019536019536,18254,0.017528263637562776,0.021543775434476296
2009,Indirect migration background,1.0,0.0018315018315018315,18254,0.0012112291462600528,0.00245177451674361
2011,No migration background,2.0,0.6400578452639191,28898,0.6345237306841767,0.6455919598436615
2011,No migration background,1.0,0.22472885032537962,28898,0.21991626542196385,0.2295414352287954
2011,Direct migration background,2.0,0.07490961677512653,28898,0.07187444658062864,0.07794478696962442
2011,Indirect migration background,2.0,0.03591226801638949,28898,0.03376689964802515,0.03805763638475383
2011,Direct migration background,1.0,0.022222222222222223,28898,0.02052266417398828,0.023921780270456165
2011,Indirect migration background,1.0,0.0021691973969631237,28898,0.0016327833174759566,0.002705611476450291
2013,No migration background,2.0,0.609350153715679,31177,0.6039343090300017,0.6147659984013564
2013,No migration background,1.0,0.26184670836425317,31177,0.2569665293881329,0.2667268873403734
2013,Direct migration background,2.0,0.06959609880207782,31177,0.06677143269292096,0.07242076491123467
2013,Indirect migration background,2.0,0.03387045478638821,31177,0.03186243907923568,0.035878470493540746
2013,Direct migration background,1.0,0.02210325453196226,31177,0.020471279452622292,0.02373522961130223
2013,Indirect migration background,1.0,0.0032333297996395634,31177,0.002603155530821405,0.003863504068457722
2015,No migration background,2.0,0.5571485623003195,27342,0.5512607295027278,0.5630363950979113
2015,No migration background,1.0,0.20415335463258785,27342,0.19937548949278946,0.20893121977238624
2015,Direct migration background,2.0,0.14756389776357828,27342,0.14335990549877548,0.1517678900283811
2015,Indirect migration background,2.0,0.05794728434504792,27342,0.05517782446083903,0.06071674422925682
2015,Direct migration background,1.0,0.02875399361022364,27342,0.026773129694121593,0.03073485752632569
2015,Indirect migration background,1.0,0.004432907348242811,27342,0.0036454618119049938,0.0052203528845806285
2017,No migration background,2.0,0.5524878526498174,31140,0.5469650369809591,0.5580106683186756
2017,No migration background,1.0,0.20678744962145468,31140,0.20228909546801835,0.211285803774891
2017,Direct migration background,2.0,0.14930882519115599,31140,0.14535037239799323,0.15326727798431874
2017,Indirect migration background,2.0,0.05668763418584504,31140,0.054119198488844764,0.05925606988284532
2017,Direct migration background,1.0,0.029756299672304042,31140,0.027869061792485293,0.03164353755212279
2017,Indirect migration background,1.0,0.004971938679422954,31140,0.0041907115554769905,0.005753165803368918
2019,No migration background,2.0,0.5626433430515063,29565,0.5569887469068625,0.5682979391961501
2019,No migration background,1.0,0.22192419825072887,29565,0.2171874487945078,0.22666094770694994
2019,Direct migration background,2.0,0.12478134110787172,29565,0.12101430105271527,0.12854838116302816
2019,Indirect migration background,2.0,0.054616132167152574,29565,0.05202594174177946,0.057206322592525685
2019,Direct migration background,1.0,0.029271137026239066,29565,0.027349656897592098,0.031192617154886033
2019,Indirect migration background,1.0,0.006763848396501458,29565,0.005829539850336246,0.00769815694266667
2021,No migration background,2.0,0.4849196409935295,19931,0.47798116788988665,0.4918581140971724
2021,Direct migration background,2.0,0.22917971195992487,19931,0.22334450613085585,0.2350149177889939
2021,No migration background,1.0,0.19912335629304947,19931,0.19357920027981096,0.204667512306288
2021,Indirect migration background,2.0,0.043571279482362765,19931,0.04073716109355567,0.04640539787116986
2021,Direct migration background,1.0,0.037987893967856394,19931,0.03533387266796465,0.04064191526774814
2021,Indirect migration background,1.0,0.005218117303276978,19931,0.004217858506971475,0.006218376099582481
