,Unnamed: 0,year,migback,pgisced97,ple0018,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,No migration background,Pre-primary Level,No,1.0,250,17518,0.85195,1.14132
1,1,2009,No migration background,Primary Level,No,1.0,55,17518,0.81242,1.25736
2,2,2009,No migration background,Lower Secondary Level,Yes,0.31025,374,17518,0.29071,0.33102
3,3,2009,No migration background,Lower Secondary Level,No,0.68975,906,17518,0.65326,0.73309
4,4,2009,No migration background,Upper Secondary Level,Yes,0.26937,2121,17518,0.25858,0.27988
5,5,2009,No migration background,Upper Secondary Level,No,0.73063,6041,17518,0.71228,0.74788
6,6,2009,No migration background,Post-secondary Non-tertiary Level,Yes,0.13799,118,17518,0.11599,0.15875
7,7,2009,No migration background,Post-secondary Non-tertiary Level,No,0.86201,674,17518,0.79608,0.92552
8,8,2009,No migration background,First Stage of Tertiary Education,Yes,0.26263,322,17518,0.23705,0.28772
9,9,2009,No migration background,First Stage of Tertiary Education,No,0.73737,884,17518,0.69907,0.7872
10,10,2009,No migration background,Second Stage of Tertiary Education,Yes,0.22191,885,17518,0.20593,0.23691
11,11,2009,No migration background,Second Stage of Tertiary Education,No,0.77809,2771,17518,0.74597,0.80934
12,12,2009,Direct migration background,Primary Level,No,1.0,61,17518,0.80616,1.25256
13,13,2009,Direct migration background,Lower Secondary Level,Yes,0.3193,102,17518,0.27624,0.35478
14,14,2009,Direct migration background,Lower Secondary Level,No,0.6807,260,17518,0.60153,0.74997
15,15,2009,Direct migration background,Upper Secondary Level,Yes,0.18944,115,17518,0.16043,0.21911
16,16,2009,Direct migration background,Upper Secondary Level,No,0.81056,498,17518,0.75268,0.87062
17,17,2009,Direct migration background,Post-secondary Non-tertiary Level,No,1.0,139,17518,0.84056,1.16529
18,18,2009,Direct migration background,First Stage of Tertiary Education,No,1.0,73,17518,0.77272,1.17733
19,19,2009,Direct migration background,Second Stage of Tertiary Education,Yes,0.15274,51,17518,0.11883,0.19136
20,20,2009,Direct migration background,Second Stage of Tertiary Education,No,0.84726,241,17518,0.75188,0.94675
21,21,2009,Indirect migration background,Pre-primary Level,No,1.0,50,17518,0.79403,1.25433
22,22,2009,Indirect migration background,Lower Secondary Level,No,1.0,142,17518,0.8492,1.17714
23,23,2009,Indirect migration background,Upper Secondary Level,No,1.0,270,17518,0.87231,1.1351
24,24,2009,Indirect migration background,Post-secondary Non-tertiary Level,No,1.0,34,17518,0.70988,1.39057
25,25,2009,Indirect migration background,Second Stage of Tertiary Education,No,1.0,81,17518,0.74935,1.35593
26,26,2011,No migration background,Pre-primary Level,No,1.0,242,20247,0.88589,1.12859
27,27,2011,No migration background,Primary Level,No,1.0,88,20247,0.81784,1.21914
28,28,2011,No migration background,Lower Secondary Level,Yes,0.32195,490,20247,0.30176,0.34134
29,29,2011,No migration background,Lower Secondary Level,No,0.67805,1125,20247,0.63684,0.71319
30,30,2011,No migration background,Upper Secondary Level,Yes,0.28413,2574,20247,0.27606,0.29362
31,31,2011,No migration background,Upper Secondary Level,No,0.71587,6808,20247,0.69893,0.73054
32,32,2011,No migration background,Post-secondary Non-tertiary Level,Yes,0.16302,144,20247,0.14293,0.18795
33,33,2011,No migration background,Post-secondary Non-tertiary Level,No,0.83698,801,20247,0.77593,0.89785
34,34,2011,No migration background,First Stage of Tertiary Education,Yes,0.30781,384,20247,0.2782,0.33913
35,35,2011,No migration background,First Stage of Tertiary Education,No,0.69219,933,20247,0.64818,0.73727
36,36,2011,No migration background,Second Stage of Tertiary Education,Yes,0.24524,1036,20247,0.23194,0.26052
37,37,2011,No migration background,Second Stage of Tertiary Education,No,0.75476,3074,20247,0.72837,0.78387
38,38,2011,Direct migration background,Primary Level,No,1.0,70,20247,0.78208,1.23984
39,39,2011,Direct migration background,Lower Secondary Level,Yes,0.29889,107,20247,0.25434,0.34063
40,40,2011,Direct migration background,Lower Secondary Level,No,0.70111,311,20247,0.62965,0.77961
41,41,2011,Direct migration background,Upper Secondary Level,Yes,0.25066,182,20247,0.22056,0.28178
42,42,2011,Direct migration background,Upper Secondary Level,No,0.74934,588,20247,0.68359,0.80635
43,43,2011,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.21695,43,20247,0.15976,0.2803
44,44,2011,Direct migration background,Post-secondary Non-tertiary Level,No,0.78305,167,20247,0.65784,0.90072
45,45,2011,Direct migration background,First Stage of Tertiary Education,No,1.0,68,20247,0.75265,1.26088
46,46,2011,Direct migration background,Second Stage of Tertiary Education,Yes,0.1604,67,20247,0.13005,0.19689
47,47,2011,Direct migration background,Second Stage of Tertiary Education,No,0.8396,303,20247,0.76342,0.92541
48,48,2011,Indirect migration background,Pre-primary Level,No,1.0,56,20247,0.79448,1.28211
49,49,2011,Indirect migration background,Lower Secondary Level,No,1.0,126,20247,0.79068,1.19073
50,50,2011,Indirect migration background,Upper Secondary Level,No,1.0,315,20247,0.88742,1.12591
51,51,2011,Indirect migration background,Post-secondary Non-tertiary Level,No,1.0,42,20247,0.72722,1.26976
52,52,2011,Indirect migration background,Second Stage of Tertiary Education,No,1.0,103,20247,0.79333,1.28783
53,53,2013,No migration background,Pre-primary Level,No,1.0,190,18457,0.84868,1.1751
54,54,2013,No migration background,Primary Level,No,1.0,87,18457,0.85037,1.14952
55,55,2013,No migration background,Lower Secondary Level,Yes,0.36201,470,18457,0.34139,0.38298
56,56,2013,No migration background,Lower Secondary Level,No,0.63799,920,18457,0.60475,0.67681
57,57,2013,No migration background,Upper Secondary Level,Yes,0.32845,2721,18457,0.31942,0.33694
58,58,2013,No migration background,Upper Secondary Level,No,0.67155,5733,18457,0.65854,0.68555
59,59,2013,No migration background,Post-secondary Non-tertiary Level,Yes,0.21192,180,18457,0.18683,0.2362
60,60,2013,No migration background,Post-secondary Non-tertiary Level,No,0.78808,690,18457,0.72363,0.84459
61,61,2013,No migration background,First Stage of Tertiary Education,Yes,0.34157,400,18457,0.30727,0.36826
62,62,2013,No migration background,First Stage of Tertiary Education,No,0.65843,822,18457,0.6198,0.70501
63,63,2013,No migration background,Second Stage of Tertiary Education,Yes,0.28107,1125,18457,0.26681,0.29727
64,64,2013,No migration background,Second Stage of Tertiary Education,No,0.71893,2867,18457,0.69555,0.74655
65,65,2013,Direct migration background,Primary Level,No,1.0,51,18457,0.73611,1.30219
66,66,2013,Direct migration background,Lower Secondary Level,Yes,0.30953,92,18457,0.25679,0.35402
67,67,2013,Direct migration background,Lower Secondary Level,No,0.69047,251,18457,0.61197,0.78792
68,68,2013,Direct migration background,Upper Secondary Level,Yes,0.26654,163,18457,0.22986,0.30899
69,69,2013,Direct migration background,Upper Secondary Level,No,0.73346,489,18457,0.65017,0.81791
70,70,2013,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.21707,42,18457,0.15336,0.26898
71,71,2013,Direct migration background,Post-secondary Non-tertiary Level,No,0.78293,148,18457,0.6462,0.91732
72,72,2013,Direct migration background,First Stage of Tertiary Education,No,1.0,55,18457,0.72765,1.33563
73,73,2013,Direct migration background,Second Stage of Tertiary Education,Yes,0.20322,81,18457,0.16447,0.24468
74,74,2013,Direct migration background,Second Stage of Tertiary Education,No,0.79678,283,18457,0.69346,0.91548
75,75,2013,Indirect migration background,Pre-primary Level,No,1.0,53,18457,0.68488,1.33505
76,76,2013,Indirect migration background,Lower Secondary Level,No,1.0,109,18457,0.79104,1.23729
77,77,2013,Indirect migration background,Upper Secondary Level,Yes,0.18523,35,18457,0.1359,0.23586
78,78,2013,Indirect migration background,Upper Secondary Level,No,0.81477,265,18457,0.70766,0.91058
79,79,2013,Indirect migration background,Post-secondary Non-tertiary Level,No,1.0,33,18457,0.75075,1.30686
80,80,2013,Indirect migration background,Second Stage of Tertiary Education,No,1.0,102,18457,0.84207,1.24931
81,81,2015,No migration background,Pre-primary Level,No,1.0,214,24345,0.83597,1.16894
82,82,2015,No migration background,Primary Level,Yes,0.23038,31,24345,0.16573,0.30992
83,83,2015,No migration background,Primary Level,No,0.76962,126,24345,0.60951,0.93722
84,84,2015,No migration background,Lower Secondary Level,Yes,0.33948,466,24345,0.31409,0.36622
85,85,2015,No migration background,Lower Secondary Level,No,0.66052,1125,24345,0.62309,0.70186
86,86,2015,No migration background,Upper Secondary Level,Yes,0.32605,2799,24345,0.31476,0.33701
87,87,2015,No migration background,Upper Secondary Level,No,0.67395,6681,24345,0.65502,0.69008
88,88,2015,No migration background,Post-secondary Non-tertiary Level,Yes,0.18099,202,24345,0.15627,0.21213
89,89,2015,No migration background,Post-secondary Non-tertiary Level,No,0.81901,1020,24345,0.75926,0.90319
90,90,2015,No migration background,First Stage of Tertiary Education,Yes,0.34899,431,24345,0.31982,0.38349
91,91,2015,No migration background,First Stage of Tertiary Education,No,0.65101,933,24345,0.60122,0.71199
92,92,2015,No migration background,Second Stage of Tertiary Education,Yes,0.26811,1155,24345,0.25278,0.28584
93,93,2015,No migration background,Second Stage of Tertiary Education,No,0.73189,3480,24345,0.70044,0.76159
94,94,2015,Direct migration background,Pre-primary Level,No,1.0,35,24345,0.69956,1.29807
95,95,2015,Direct migration background,Primary Level,Yes,0.27475,48,24345,0.18696,0.39096
96,96,2015,Direct migration background,Primary Level,No,0.72525,170,24345,0.59468,0.83809
97,97,2015,Direct migration background,Lower Secondary Level,Yes,0.21949,143,24345,0.17438,0.27445
98,98,2015,Direct migration background,Lower Secondary Level,No,0.78051,635,24345,0.71056,0.85562
99,99,2015,Direct migration background,Upper Secondary Level,Yes,0.18653,243,24345,0.16007,0.21994
100,100,2015,Direct migration background,Upper Secondary Level,No,0.81347,1294,24345,0.75565,0.87402
101,101,2015,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.23464,106,24345,0.18794,0.28837
102,102,2015,Direct migration background,Post-secondary Non-tertiary Level,No,0.76536,521,24345,0.6738,0.8589
103,103,2015,Direct migration background,First Stage of Tertiary Education,No,1.0,81,24345,0.77402,1.24238
104,104,2015,Direct migration background,Second Stage of Tertiary Education,Yes,0.17361,144,24345,0.14389,0.21475
105,105,2015,Direct migration background,Second Stage of Tertiary Education,No,0.82639,855,24345,0.73717,0.89942
106,106,2015,Indirect migration background,Pre-primary Level,No,1.0,97,24345,0.79913,1.2307
107,107,2015,Indirect migration background,Primary Level,No,1.0,31,24345,0.56324,1.54973
108,108,2015,Indirect migration background,Lower Secondary Level,No,1.0,285,24345,0.82572,1.149
109,109,2015,Indirect migration background,Upper Secondary Level,Yes,0.08191,55,24345,0.05763,0.10804
110,110,2015,Indirect migration background,Upper Secondary Level,No,0.91809,575,24345,0.83714,1.00787
111,111,2015,Indirect migration background,Post-secondary Non-tertiary Level,No,1.0,97,24345,0.7984,1.2526
112,112,2015,Indirect migration background,First Stage of Tertiary Education,No,1.0,46,24345,0.7306,1.31862
113,113,2015,Indirect migration background,Second Stage of Tertiary Education,No,1.0,221,24345,0.84823,1.23871
114,114,2017,No migration background,Pre-primary Level,No,1.0,284,25841,0.83397,1.16458
115,115,2017,No migration background,Primary Level,Yes,0.30029,39,25841,0.23181,0.38942
116,116,2017,No migration background,Primary Level,No,0.69971,127,25841,0.58836,0.8291
117,117,2017,No migration background,Lower Secondary Level,Yes,0.34663,503,25841,0.32116,0.37246
118,118,2017,No migration background,Lower Secondary Level,No,0.65337,1186,25841,0.62071,0.6965
119,119,2017,No migration background,Upper Secondary Level,Yes,0.33353,2957,25841,0.32349,0.3445
120,120,2017,No migration background,Upper Secondary Level,No,0.66647,6824,25841,0.64849,0.68521
121,121,2017,No migration background,Post-secondary Non-tertiary Level,Yes,0.20855,255,25841,0.18467,0.23203
122,122,2017,No migration background,Post-secondary Non-tertiary Level,No,0.79145,1180,25841,0.73796,0.84845
123,123,2017,No migration background,First Stage of Tertiary Education,Yes,0.33194,440,25841,0.2978,0.36276
124,124,2017,No migration background,First Stage of Tertiary Education,No,0.66806,940,25841,0.61884,0.7168
125,125,2017,No migration background,Second Stage of Tertiary Education,Yes,0.25292,1273,25841,0.23661,0.27033
