year,quintil_oecd,regtyp,ple0018,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,Urban regions,Yes,0.24792,425,1799,0.22796,0.26788
2009,1st Quintile,Urban regions,No,0.75208,1374,1799,0.73212,0.77204
2009,1st Quintile,Rural regions,Yes,0.23135,263,1069,0.20605,0.25664
2009,1st Quintile,Rural regions,No,0.76865,806,1069,0.74336,0.79395
2009,2nd Quintile,Urban regions,Yes,0.26694,507,1898,0.24703,0.28685
2009,2nd Quintile,Urban regions,No,0.73306,1391,1898,0.71315,0.75297
2009,2nd Quintile,Rural regions,Yes,0.27676,368,1264,0.25209,0.30144
2009,2nd Quintile,Rural regions,No,0.72324,896,1264,0.69856,0.74791
2009,3rd Quintile,Urban regions,Yes,0.21377,412,2024,0.19590,0.23163
2009,3rd Quintile,Urban regions,No,0.78623,1612,2024,0.76837,0.80410
2009,3rd Quintile,Rural regions,Yes,0.25196,369,1383,0.22907,0.27485
2009,3rd Quintile,Rural regions,No,0.74804,1014,1383,0.72515,0.77093
2009,4th Quintile,Urban regions,Yes,0.21013,526,2454,0.19401,0.22625
2009,4th Quintile,Urban regions,No,0.78987,1928,2454,0.77375,0.80599
2009,4th Quintile,Rural regions,Yes,0.27833,333,1316,0.25410,0.30255
2009,4th Quintile,Rural regions,No,0.72167,983,1316,0.69745,0.74590
2009,5th Quintile,Urban regions,Yes,0.18841,708,3542,0.17553,0.20129
2009,5th Quintile,Urban regions,No,0.81159,2834,3542,0.79871,0.82447
2009,5th Quintile,Rural regions,Yes,0.25141,310,1264,0.22749,0.27534
2009,5th Quintile,Rural regions,No,0.74859,954,1264,0.72466,0.77251
2011,1st Quintile,Urban regions,Yes,0.29636,369,1512,0.27333,0.31938
2011,1st Quintile,Urban regions,No,0.70364,1143,1512,0.68062,0.72667
2011,1st Quintile,Rural regions,Yes,0.29880,275,981,0.27014,0.32745
2011,1st Quintile,Rural regions,No,0.70120,706,981,0.67255,0.72986
2011,2nd Quintile,Urban regions,Yes,0.28938,434,1629,0.26735,0.31141
2011,2nd Quintile,Urban regions,No,0.71062,1195,1629,0.68859,0.73265
2011,2nd Quintile,Rural regions,Yes,0.32318,340,1098,0.29551,0.35086
2011,2nd Quintile,Rural regions,No,0.67682,758,1098,0.64914,0.70449
2011,3rd Quintile,Urban regions,Yes,0.26299,454,1865,0.24300,0.28297
2011,3rd Quintile,Urban regions,No,0.73701,1411,1865,0.71703,0.75700
2011,3rd Quintile,Rural regions,Yes,0.30270,357,1199,0.27668,0.32871
2011,3rd Quintile,Rural regions,No,0.69730,842,1199,0.67129,0.72332
2011,4th Quintile,Urban regions,Yes,0.23863,512,2226,0.22092,0.25634
2011,4th Quintile,Urban regions,No,0.76137,1714,2226,0.74366,0.77908
2011,4th Quintile,Rural regions,Yes,0.29766,282,1063,0.27016,0.32516
2011,4th Quintile,Rural regions,No,0.70234,781,1063,0.67484,0.72984
2011,5th Quintile,Urban regions,Yes,0.21021,676,3037,0.19572,0.22471
2011,5th Quintile,Urban regions,No,0.78979,2361,3037,0.77529,0.80428
2011,5th Quintile,Rural regions,Yes,0.27929,276,1052,0.25217,0.30642
2011,5th Quintile,Rural regions,No,0.72071,776,1052,0.69358,0.74783
2013,1st Quintile,Urban regions,Yes,0.32179,474,1829,0.30038,0.34321
2013,1st Quintile,Urban regions,No,0.67821,1355,1829,0.65679,0.69962
2013,1st Quintile,Rural regions,Yes,0.34043,420,1271,0.31437,0.36649
2013,1st Quintile,Rural regions,No,0.65957,851,1271,0.63351,0.68563
2013,2nd Quintile,Urban regions,Yes,0.31724,599,2041,0.29705,0.33744
2013,2nd Quintile,Urban regions,No,0.68276,1442,2041,0.66256,0.70295
2013,2nd Quintile,Rural regions,Yes,0.34831,471,1400,0.32334,0.37327
