year,sampreg,ple0018,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,West,Yes,0.22551,2961,13477,0.21846,0.23257
2009,West,No,0.77449,10516,13477,0.76743,0.78154
2009,East,Yes,0.27383,1260,4541,0.26086,0.28680
2009,East,No,0.72617,3281,4541,0.71320,0.73914
2011,West,Yes,0.24559,3697,15840,0.23889,0.25230
2011,West,No,0.75441,12143,15840,0.74770,0.76111
2011,East,Yes,0.30577,1471,4905,0.29287,0.31866
2011,East,No,0.69423,3434,4905,0.68134,0.70713
2013,West,Yes,0.28471,3843,14414,0.27735,0.29208
2013,West,No,0.71529,10571,14414,0.70792,0.72265
2013,East,Yes,0.35964,1575,4452,0.34554,0.37374
2013,East,No,0.64036,2877,4452,0.62626,0.65446
2015,West,Yes,0.25942,4284,19787,0.25332,0.26553
2015,West,No,0.74058,15503,19787,0.73447,0.74668
2015,East,Yes,0.34413,1659,5253,0.33128,0.35698
2015,East,No,0.65587,3594,5253,0.64302,0.66872
2017,West,Yes,0.26130,4677,20959,0.25535,0.26725
2017,West,No,0.73870,16282,20959,0.73275,0.74465
2017,East,Yes,0.32835,1735,5590,0.31604,0.34067
2017,East,No,0.67165,3855,5590,0.65933,0.68396
2019,Does not apply,No,0.85026,63,63,0.76145,0.93908
2019,West,Yes,0.26722,4872,20104,0.26110,0.27334
2019,West,No,0.73278,15232,20104,0.72666,0.73890
2019,East,Yes,0.33694,1751,5546,0.32450,0.34939
2019,East,No,0.66306,3795,5546,0.65061,0.67550
2021,West,Yes,0.27386,3476,15317,0.26679,0.28092
2021,West,No,0.72614,11841,15317,0.71908,0.73321
2021,East,Yes,0.32219,1168,3847,0.30742,0.33696
2021,East,No,0.67781,2679,3847,0.66304,0.69258
