"ple0018","year","bildungsniveau","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2009","(noch) kein Abschluss","Schleswig-Holstein","4","0.208674197153186","0.0259553570372084","0.391393037269163"
"Ja","2009","(noch) kein Abschluss","Hamburg","","","",""
"Ja","2009","(noch) kein Abschluss","Niedersachsen","7","0.24242596708223","0.112819833696465","0.372032100467995"
"Ja","2009","(noch) kein Abschluss","Bremen","","","",""
"Ja","2009","(noch) kein Abschluss","Nordrhein-Westfalen","14","","",""
"Ja","2009","(noch) kein Abschluss","Hessen","3","","",""
"Ja","2009","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","2","","",""
"Ja","2009","(noch) kein Abschluss","Baden-Wuerttemberg","12","","",""
"Ja","2009","(noch) kein Abschluss","Bayern","6","0.157888601352708","0.0724686671109735","0.243308535594442"
"Ja","2009","(noch) kein Abschluss","Saarland","","","",""
"Ja","2009","(noch) kein Abschluss","Berlin","","","",""
"Ja","2009","(noch) kein Abschluss","Brandenburg","","","",""
"Ja","2009","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Ja","2009","(noch) kein Abschluss","Sachsen","2","","",""
"Ja","2009","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Ja","2009","(noch) kein Abschluss","Thueringen","1","","",""
"Ja","2009","Hauptschule","Schleswig-Holstein","63","0.306315941799621","0.240771337285126","0.371860546314116"
"Ja","2009","Hauptschule","Hamburg","30","0.520334258580758","0.390639858613681","0.650028658547834"
"Ja","2009","Hauptschule","Niedersachsen","218","","",""
"Ja","2009","Hauptschule","Bremen","9","0.328862852075768","0.166088434409576","0.491637269741959"
"Ja","2009","Hauptschule","Nordrhein-Westfalen","437","0.313795742297167","0.289348477673468","0.338243006920865"
"Ja","2009","Hauptschule","Hessen","130","","",""
"Ja","2009","Hauptschule","Rheinland-Pfalz,Saarland","137","","",""
"Ja","2009","Hauptschule","Baden-Wuerttemberg","192","","",""
