"ple0018","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Ja","2009","17-34","109","0.0319877705188337","0.0265147061569369","0.0374608348807305"
"Ja","2009","35-65","2158","0.218798737084963","0.210648211848525","0.226949262321402"
"Ja","2009","66 +","1954","0.474729956096544","0.459560866342508","0.48989904585058"
"Nein","2009","17-34","3862","0.968012229481166","0.96253916511927","0.973485293843063"
"Nein","2009","35-65","7726","0.781201262915037","0.773050737678598","0.789351788151475"
"Nein","2009","66 +","2209","0.525270043903456","0.51010095414942","0.540439133657492"
"Ja","2010","17-34","","","",""
"Ja","2010","35-65","","","",""
"Ja","2010","66 +","","","",""
"Nein","2010","17-34","","","",""
"Nein","2010","35-65","","","",""
"Nein","2010","66 +","","","",""
"Ja","2011","17-34","130","0.0291761897360633","0.0241299701893533","0.0342224092827733"
"Ja","2011","35-65","2626","0.241094509936819","0.233225528206768","0.24896349166687"
"Ja","2011","66 +","2412","0.478846997803266","0.465164930906522","0.49252906470001"
"Nein","2011","17-34","4143","0.970823810263937","0.965777590717227","0.975870029810647"
"Nein","2011","35-65","8725","0.758905490063181","0.75103650833313","0.766774471793232"
"Nein","2011","66 +","2709","0.521153002196734","0.50747093529999","0.534835069093478"
"Ja","2012","17-34","","","",""
"Ja","2012","35-65","","","",""
"Ja","2012","66 +","","","",""
"Nein","2012","17-34","","","",""
"Nein","2012","35-65","","","",""
"Nein","2012","66 +","","","",""
"Ja","2013","17-34","156","0.0453452800903072","0.0386230497740531","0.0520675104065613"
"Ja","2013","35-65","2730","0.2797334343132","0.271042882582536","0.288423986043863"
"Ja","2013","66 +","2532","0.512253705488828","0.498312122384257","0.526195288593399"
"Nein","2013","17-34","3524","0.954654719909693","0.947932489593439","0.961376950225947"
"Nein","2013","35-65","7518","0.7202665656868","0.711576013956137","0.728957117417464"
"Nein","2013","66 +","2406","0.487746294511172","0.473804711406601","0.501687877615743"
"Ja","2014","17-34","","","",""
"Ja","2014","35-65","","","",""
"Ja","2014","66 +","","","",""
"Nein","2014","17-34","","","",""
"Nein","2014","35-65","","","",""
"Nein","2014","66 +","","","",""
"Ja","2015","17-34","233","0.0401884393524235","0.0351036092590229","0.045273269445824"
"Ja","2015","35-65","3169","0.259503600368247","0.252350021830137","0.266657178906357"
"Ja","2015","66 +","2541","0.514647403276241","0.500630765990952","0.52866404056153"
"Nein","2015","17-34","5498","0.959811560647576","0.954726730554176","0.964896390740977"
"Nein","2015","35-65","11256","0.740496399631753","0.733342821093643","0.747649978169863"
"Nein","2015","66 +","2343","0.485352596723759","0.47133595943847","0.499369234009049"
"Ja","2016","17-34","","","",""
"Ja","2016","35-65","","","",""
"Ja","2016","66 +","","","",""
"Nein","2016","17-34","","","",""
"Nein","2016","35-65","","","",""
"Nein","2016","66 +","","","",""
"Ja","2017","17-34","224","0.0364426363185641","0.0317710712745284","0.0411142013625998"
"Ja","2017","35-65","3603","0.262288482566959","0.255342913275386","0.269234051858532"
"Ja","2017","66 +","2585","0.523093469477953","0.509193509922609","0.536993429033297"
"Nein","2017","17-34","5957","0.963557363681436","0.9588857986374","0.968228928725472"
"Nein","2017","35-65","11805","0.737711517433041","0.730765948141467","0.744657086724614"
"Nein","2017","66 +","2375","0.476906530522047","0.463006570966703","0.490806490077391"
"Ja","2018","17-34","","","",""
"Ja","2018","35-65","","","",""
"Ja","2018","66 +","","","",""
"Nein","2018","17-34","","","",""
"Nein","2018","35-65","","","",""
"Nein","2018","66 +","","","",""
"Ja","2019","17-34","216","0.0414903563065753","0.0361861549556726","0.046794557657478"
"Ja","2019","35-65","3675","0.266006287489375","0.258973869340694","0.273038705638055"
"Ja","2019","66 +","2774","0.522304790886035","0.508769996239145","0.535839585532925"
"Nein","2019","17-34","5214","0.958509643693425","0.953205442342522","0.963813845044327"
"Nein","2019","35-65","11491","0.733993712510625","0.726961294361945","0.741026130659306"
"Nein","2019","66 +","2458","0.477695209113965","0.464160414467075","0.491230003760855"
