"ple0018","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Ja","2009","kein Migrationshintergrund","maennlich","1906","0.243380461213958","0.233667380358676","0.253093542069239"
"Ja","2009","kein Migrationshintergrund","weiblich","1930","0.253095488573144","0.243657254392579","0.262533722753709"
"Ja","2009","direkter Migrationshintergrund","maennlich","160","0.211969871238632","0.182912938105768","0.241026804371496"
"Ja","2009","direkter Migrationshintergrund","weiblich","192","0.222359252584361","0.195177005713348","0.249541499455374"
"Ja","2009","indirekter Migrationshintergrund","maennlich","","","",""
"Ja","2009","indirekter Migrationshintergrund","weiblich","","","",""
"Nein","2009","kein Migrationshintergrund","maennlich","5592","0.756619538786042","0.746906457930761","0.766332619641324"
"Nein","2009","kein Migrationshintergrund","weiblich","6222","0.746904511426856","0.737466277246291","0.756342745607421"
"Nein","2009","direkter Migrationshintergrund","maennlich","600","0.788030128761368","0.758973195628504","0.817087061894232"
"Nein","2009","direkter Migrationshintergrund","weiblich","707","0.777640747415639","0.750458500544626","0.804822994286652"
"Nein","2009","indirekter Migrationshintergrund","maennlich","324","0.955265834058","0.933292779843271","0.97723888827273"
"Nein","2009","indirekter Migrationshintergrund","weiblich","352","0.949257126923446","0.92686401927221","0.971650234574682"
"Ja","2010","kein Migrationshintergrund","maennlich","","","",""
"Ja","2010","kein Migrationshintergrund","weiblich","","","",""
"Ja","2010","direkter Migrationshintergrund","maennlich","","","",""
"Ja","2010","direkter Migrationshintergrund","weiblich","","","",""
"Ja","2010","indirekter Migrationshintergrund","maennlich","","","",""
"Ja","2010","indirekter Migrationshintergrund","weiblich","","","",""
"Nein","2010","kein Migrationshintergrund","maennlich","","","",""
"Nein","2010","kein Migrationshintergrund","weiblich","","","",""
"Nein","2010","direkter Migrationshintergrund","maennlich","","","",""
"Nein","2010","direkter Migrationshintergrund","weiblich","","","",""
"Nein","2010","indirekter Migrationshintergrund","maennlich","","","",""
"Nein","2010","indirekter Migrationshintergrund","weiblich","","","",""
"Ja","2011","kein Migrationshintergrund","maennlich","2350","0.270584884889572","0.26115150249745","0.280018267281695"
"Ja","2011","kein Migrationshintergrund","weiblich","2312","0.267148730087379","0.258212522941843","0.276084937232914"
"Ja","2011","direkter Migrationshintergrund","maennlich","208","0.24506497464321","0.216838211831746","0.273291737454675"
"Ja","2011","direkter Migrationshintergrund","weiblich","253","0.233060217225494","0.208333132358512","0.257787302092476"
"Ja","2011","indirekter Migrationshintergrund","maennlich","","","",""
"Ja","2011","indirekter Migrationshintergrund","weiblich","","","",""
"Nein","2011","kein Migrationshintergrund","maennlich","6170","0.729415115110427","0.719981732718305","0.73884849750255"
"Nein","2011","kein Migrationshintergrund","weiblich","7106","0.732851269912621","0.723915062767086","0.741787477058157"
"Nein","2011","direkter Migrationshintergrund","maennlich","684","0.75493502535679","0.726708262545325","0.783161788168254"
"Nein","2011","direkter Migrationshintergrund","weiblich","870","0.766939782774506","0.742212697907524","0.791666867641488"
"Nein","2011","indirekter Migrationshintergrund","maennlich","357","0.951570166835252","0.92990039636186","0.973239937308645"
"Nein","2011","indirekter Migrationshintergrund","weiblich","390","0.940686345978255","0.917960304101026","0.963412387855484"
"Ja","2012","kein Migrationshintergrund","maennlich","","","",""
"Ja","2012","kein Migrationshintergrund","weiblich","","","",""
"Ja","2012","direkter Migrationshintergrund","maennlich","","","",""
