"ple0018","year","age_gr","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2009","17-29","1 Einkommensschwächstes Quintil","25","","",""
"Ja","2009","17-29","2","10","","",""
"Ja","2009","17-29","3","12","","",""
"Ja","2009","17-29","4","11","","",""
"Ja","2009","17-29","5 Einkommensstärkstes Quintil","11","","",""
"Ja","2009","30-45","1 Einkommensschwächstes Quintil","55","0.0916142381140904","0.0698515343245675","0.113376941903613"
"Ja","2009","30-45","2","87","0.0985232371830554","0.0792552237647313","0.117791250601379"
"Ja","2009","30-45","3","89","0.0808401413263359","0.0635426564103078","0.098137626242364"
"Ja","2009","30-45","4","93","0.0947410413104305","0.0772670199893912","0.11221506263147"
"Ja","2009","30-45","5 Einkommensstärkstes Quintil","65","0.0667291308220592","0.0516203633010044","0.0818378983431141"
"Ja","2009","46-65","1 Einkommensschwächstes Quintil","299","0.321698287204587","0.291836211275678","0.351560363133496"
"Ja","2009","46-65","2","330","0.294861374369647","0.267565507362067","0.322157241377228"
"Ja","2009","46-65","3","286","0.302435840538236","0.273867686799333","0.331003994277138"
"Ja","2009","46-65","4","400","0.272940789688513","0.250245467869843","0.295636111507183"
"Ja","2009","46-65","5 Einkommensstärkstes Quintil","494","0.283210001499122","0.262623173259622","0.303796829738623"
"Ja","2009","66","1 Einkommensschwächstes Quintil","","","",""
"Ja","2009","66","2","","","",""
"Ja","2009","66","3","","","",""
"Ja","2009","66","4","","","",""
"Ja","2009","66","5 Einkommensstärkstes Quintil","","","",""
"Nein","2009","17-29","1 Einkommensschwächstes Quintil","721","0.974285647600915","0.96292744462579","0.98564385057604"
"Nein","2009","17-29","2","581","0.971683633846965","0.958310427238022","0.985056840455908"
"Nein","2009","17-29","3","508","0.986405609626099","0.97645260847393","0.996358610778268"
"Nein","2009","17-29","4","559","0.984366709283517","0.974182804642185","0.994550613924849"
"Nein","2009","17-29","5 Einkommensstärkstes Quintil","417","0.958953169737117","0.940157200794312","0.977749138679922"
"Nein","2009","30-45","1 Einkommensschwächstes Quintil","620","0.90838576188591","0.886623058096387","0.930148465675433"
"Nein","2009","30-45","2","832","0.901476762816945","0.882208749398621","0.920744776235269"
"Nein","2009","30-45","3","865","0.919159858673664","0.901862373757636","0.936457343589692"
"Nein","2009","30-45","4","986","0.90525895868957","0.88778493736853","0.922732980010609"
"Nein","2009","30-45","5 Einkommensstärkstes Quintil","983","0.933270869177941","0.918162101656886","0.948379636698995"
"Nein","2009","46-65","1 Einkommensschwächstes Quintil","641","0.678301712795413","0.648439636866504","0.708163788724322"
"Nein","2009","46-65","2","742","0.705138625630353","0.677842758622772","0.732434492637933"
"Nein","2009","46-65","3","707","0.697564159461764","0.668996005722861","0.726132313200667"
"Nein","2009","46-65","4","1080","0.727059210311487","0.704363888492817","0.749754532130157"
"Nein","2009","46-65","5 Einkommensstärkstes Quintil","1346","0.716789998500878","0.696203170261377","0.737376826740378"
"Nein","2009","66","1 Einkommensschwächstes Quintil","","","",""
"Nein","2009","66","2","","","",""
"Nein","2009","66","3","","","",""
"Nein","2009","66","4","","","",""
"Nein","2009","66","5 Einkommensstärkstes Quintil","","","",""
"Ja","2010","17-29","1 Einkommensschwächstes Quintil","","","",""
"Ja","2010","17-29","2","","","",""
"Ja","2010","17-29","3","","","",""
"Ja","2010","17-29","4","","","",""
"Ja","2010","17-29","5 Einkommensstärkstes Quintil","","","",""
"Ja","2010","30-45","1 Einkommensschwächstes Quintil","","","",""
"Ja","2010","30-45","2","","","",""
"Ja","2010","30-45","3","","","",""
"Ja","2010","30-45","4","","","",""
"Ja","2010","30-45","5 Einkommensstärkstes Quintil","","","",""
"Ja","2010","46-65","1 Einkommensschwächstes Quintil","","","",""
"Ja","2010","46-65","2","","","",""
"Ja","2010","46-65","3","","","",""
"Ja","2010","46-65","4","","","",""
"Ja","2010","46-65","5 Einkommensstärkstes Quintil","","","",""
"Ja","2010","66","1 Einkommensschwächstes Quintil","","","",""
"Ja","2010","66","2","","","",""
"Ja","2010","66","3","","","",""
"Ja","2010","66","4","","","",""
"Ja","2010","66","5 Einkommensstärkstes Quintil","","","",""
"Nein","2010","17-29","1 Einkommensschwächstes Quintil","","","",""
"Nein","2010","17-29","2","","","",""
"Nein","2010","17-29","3","","","",""
"Nein","2010","17-29","4","","","",""
"Nein","2010","17-29","5 Einkommensstärkstes Quintil","","","",""
"Nein","2010","30-45","1 Einkommensschwächstes Quintil","","","",""
"Nein","2010","30-45","2","","","",""
"Nein","2010","30-45","3","","","",""
"Nein","2010","30-45","4","","","",""
"Nein","2010","30-45","5 Einkommensstärkstes Quintil","","","",""
"Nein","2010","46-65","1 Einkommensschwächstes Quintil","","","",""
"Nein","2010","46-65","2","","","",""
"Nein","2010","46-65","3","","","",""
"Nein","2010","46-65","4","","","",""
"Nein","2010","46-65","5 Einkommensstärkstes Quintil","","","",""
"Nein","2010","66","1 Einkommensschwächstes Quintil","","","",""
"Nein","2010","66","2","","","",""
"Nein","2010","66","3","","","",""
"Nein","2010","66","4","","","",""
"Nein","2010","66","5 Einkommensstärkstes Quintil","","","",""
"Ja","2011","17-29","1 Einkommensschwächstes Quintil","25","","",""
"Ja","2011","17-29","2","18","","",""
"Ja","2011","17-29","3","8","","",""
"Ja","2011","17-29","4","10","","",""
"Ja","2011","17-29","5 Einkommensstärkstes Quintil","9","","",""
"Ja","2011","30-45","1 Einkommensschwächstes Quintil","62","0.100598741926738","0.0787934240254553","0.12240405982802"
"Ja","2011","30-45","2","86","0.0881021770746522","0.0695117754992966","0.106692578650008"
"Ja","2011","30-45","3","77","0.106700117478755","0.085784704257821","0.12761553069969"
"Ja","2011","30-45","4","125","0.114731490558357","0.0962959459018521","0.133167035214862"
"Ja","2011","30-45","5 Einkommensstärkstes Quintil","83","0.075843838907123","0.0611495796024467","0.0905380982117992"
"Ja","2011","46-65","1 Einkommensschwächstes Quintil","382","0.344166735542042","0.31700169707657","0.371331774007515"
"Ja","2011","46-65","2","345","0.286967944693345","0.261438247832215","0.312497641554475"
"Ja","2011","46-65","3","350","0.280362897016881","0.255341888459735","0.305383905574027"
"Ja","2011","46-65","4","531","0.305803951888199","0.28465361097676","0.326954292799638"
"Ja","2011","46-65","5 Einkommensstärkstes Quintil","645","0.27267168391954","0.254597067646638","0.290746300192442"
"Ja","2011","66","1 Einkommensschwächstes Quintil","","","",""
"Ja","2011","66","2","","","",""
"Ja","2011","66","3","","","",""
"Ja","2011","66","4","","","",""
"Ja","2011","66","5 Einkommensstärkstes Quintil","","","",""
"Nein","2011","17-29","1 Einkommensschwächstes Quintil","717","0.959465001605517","0.94527521751805","0.973654785692985"
"Nein","2011","17-29","2","613","0.979973149328094","0.969042478160888","0.9909038204953"
"Nein","2011","17-29","3","513","0.986512301517499","0.976607417230112","0.996417185804887"
"Nein","2011","17-29","4","606","0.981449574028972","0.970794200622258","0.992104947435687"
"Nein","2011","17-29","5 Einkommensstärkstes Quintil","475","0.971040286330394","0.956100610772287","0.9859799618885"
"Nein","2011","30-45","1 Einkommensschwächstes Quintil","669","0.899401258073262","0.87759594017198","0.921206575974545"
"Nein","2011","30-45","2","807","0.911897822925348","0.893307421349992","0.930488224500703"
"Nein","2011","30-45","3","760","0.893299882521245","0.87238446930031","0.914215295742179"
"Nein","2011","30-45","4","1023","0.885268509441643","0.866832964785138","0.903704054098148"
"Nein","2011","30-45","5 Einkommensstärkstes Quintil","1164","0.924156161092877","0.909461901788201","0.938850420397553"
"Nein","2011","46-65","1 Einkommensschwächstes Quintil","793","0.655833264457958","0.628668225992485","0.68299830292343"
"Nein","2011","46-65","2","861","0.713032055306655","0.687502358445525","0.738561752167785"
"Nein","2011","46-65","3","888","0.719637102983119","0.694616094425973","0.744658111540265"
"Nein","2011","46-65","4","1292","0.694196048111801","0.673045707200362","0.71534638902324"
