year,quintil_oecd,sex,ple0018,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,male,Yes,0.23168,285,1199,0.20779,0.25558
2009,1st Quintile,male,No,0.76832,914,1199,0.74442,0.79221
2009,1st Quintile,female,Yes,0.25024,403,1669,0.22945,0.27102
2009,1st Quintile,female,No,0.74976,1266,1669,0.72898,0.77055
2009,2nd Quintile,male,Yes,0.23278,365,1412,0.21073,0.25483
2009,2nd Quintile,male,No,0.76722,1047,1412,0.74517,0.78927
2009,2nd Quintile,female,Yes,0.30007,510,1750,0.27860,0.32155
2009,2nd Quintile,female,No,0.69993,1240,1750,0.67845,0.72140
2009,3rd Quintile,male,Yes,0.22871,386,1659,0.20850,0.24893
2009,3rd Quintile,male,No,0.77129,1273,1659,0.75107,0.79150
2009,3rd Quintile,female,Yes,0.22665,395,1748,0.20701,0.24628
2009,3rd Quintile,female,No,0.77335,1353,1748,0.75372,0.79299
2009,4th Quintile,male,Yes,0.23847,441,1866,0.21913,0.25781
2009,4th Quintile,male,No,0.76153,1425,1866,0.74219,0.78087
2009,4th Quintile,female,Yes,0.22727,418,1904,0.20844,0.24610
2009,4th Quintile,female,No,0.77273,1486,1904,0.75390,0.79156
2009,5th Quintile,male,Yes,0.21920,605,2460,0.20285,0.23555
2009,5th Quintile,male,No,0.78080,1855,2460,0.76445,0.79715
2009,5th Quintile,female,Yes,0.18664,413,2346,0.17087,0.20241
2009,5th Quintile,female,No,0.81336,1933,2346,0.79759,0.82913
2011,1st Quintile,male,Yes,0.26705,260,1043,0.24018,0.29391
2011,1st Quintile,male,No,0.73295,783,1043,0.70609,0.75982
2011,1st Quintile,female,Yes,0.32076,384,1450,0.29672,0.34479
2011,1st Quintile,female,No,0.67924,1066,1450,0.65521,0.70328
2011,2nd Quintile,male,Yes,0.27557,335,1224,0.25053,0.30062
2011,2nd Quintile,male,No,0.72443,889,1224,0.69938,0.74947
2011,2nd Quintile,female,Yes,0.32276,439,1503,0.29911,0.34640
2011,2nd Quintile,female,No,0.67724,1064,1503,0.65360,0.70089
2011,3rd Quintile,male,Yes,0.27552,399,1464,0.25263,0.29842
2011,3rd Quintile,male,No,0.72448,1065,1464,0.70158,0.74737
2011,3rd Quintile,female,Yes,0.28006,412,1600,0.25805,0.30206
2011,3rd Quintile,female,No,0.71994,1188,1600,0.69794,0.74195
2011,4th Quintile,male,Yes,0.28320,426,1659,0.26151,0.30489
2011,4th Quintile,male,No,0.71680,1233,1659,0.69511,0.73849
2011,4th Quintile,female,Yes,0.22799,368,1630,0.20761,0.24836
2011,4th Quintile,female,No,0.77201,1262,1630,0.75164,0.79239
2011,5th Quintile,male,Yes,0.24009,562,2050,0.22160,0.25859
2011,5th Quintile,male,No,0.75991,1488,2050,0.74141,0.77840
2011,5th Quintile,female,Yes,0.21141,390,2039,0.19368,0.22914
2011,5th Quintile,female,No,0.78859,1649,2039,0.77086,0.80632
2013,1st Quintile,male,Yes,0.30573,359,1284,0.28052,0.33094
2013,1st Quintile,male,No,0.69427,925,1284,0.66906,0.71948
2013,1st Quintile,female,Yes,0.34739,535,1816,0.32549,0.36930
2013,1st Quintile,female,No,0.65261,1281,1816,0.63070,0.67451
2013,2nd Quintile,male,Yes,0.30275,449,1532,0.27973,0.32576
2013,2nd Quintile,male,No,0.69725,1083,1532,0.67424,0.72027
2013,2nd Quintile,female,Yes,0.35067,621,1909,0.32926,0.37208
2013,2nd Quintile,female,No,0.64933,1288,1909,0.62792,0.67074
2013,3rd Quintile,male,Yes,0.32997,564,1711,0.30769,0.35226
2013,3rd Quintile,male,No,0.67003,1147,1711,0.64774,0.69231
2013,3rd Quintile,female,Yes,0.29991,556,1893,0.27926,0.32056
2013,3rd Quintile,female,No,0.70009,1337,1893,0.67944,0.72074
2013,4th Quintile,male,Yes,0.30726,576,1905,0.28654,0.32799
2013,4th Quintile,male,No,0.69274,1329,1905,0.67201,0.71346
2013,4th Quintile,female,Yes,0.27099,526,2012,0.25156,0.29041
2013,4th Quintile,female,No,0.72901,1486,2012,0.70959,0.74844
2013,5th Quintile,male,Yes,0.27096,719,2400,0.25318,0.28875
