year,regtyp,ple0018,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,No,0.7798322205101866,21983,0.7743546237232073,0.785309817297166
2009,Urban regions,Yes,0.2201677794898134,21983,0.21469018270283408,0.2256453762767927
2009,Rural regions,No,0.7397411616161617,21983,0.7339407978969713,0.745541525335352
2009,Rural regions,Yes,0.2602588383838384,21983,0.2544584746646481,0.2660592021030287
2011,Urban regions,No,0.7630988023952096,41903,0.7590277421716052,0.7671698626188139
2011,Urban regions,Yes,0.23690119760479042,41903,0.23283013738118602,0.24097225782839482
2011,Rural regions,No,0.7287745429925525,41903,0.7245176245018574,0.7330314614832476
2011,Rural regions,Yes,0.27122545700744755,41903,0.2669685385167524,0.2754823754981427
2013,Urban regions,No,0.7323815057690711,44486,0.7282674408694094,0.7364955706687328
2013,Urban regions,Yes,0.26761849423092887,44486,0.2635044293312671,0.27173255913059063
2013,Rural regions,No,0.6782519431001613,44486,0.6739108621709233,0.6825930240293994
2013,Rural regions,Yes,0.3217480568998387,44486,0.3174069759706007,0.3260891378290767
2015,Urban regions,No,0.7789252365345372,38036,0.7747548517834947,0.7830956212855796
2015,Urban regions,Yes,0.22107476346546287,38036,0.21690437871442042,0.22524514821650532
2015,Rural regions,No,0.7330025933025144,38036,0.7285566396692482,0.7374485469357805
2015,Rural regions,Yes,0.2669974066974856,38036,0.2625514530642194,0.27144336033075184
2017,Urban regions,No,0.7733714352364846,45410,0.7695208059622095,0.7772220645107596
2017,Urban regions,Yes,0.22662856476351548,45410,0.22277793548924038,0.23047919403779057
2017,Rural regions,No,0.7313337587747287,45410,0.7272567215129638,0.7354107960364936
2017,Rural regions,Yes,0.2686662412252712,45410,0.2645892039635064,0.27274327848703606
2019,Urban regions,No,0.7538038496791934,42417,0.7497041135879198,0.7579035857704671
2019,Urban regions,Yes,0.2461961503208066,42417,0.24209641422953287,0.25029588641208034
2019,Rural regions,No,0.716443334090393,42417,0.7121539301094614,0.7207327380713245
2019,Rural regions,Yes,0.2835566659096071,42417,0.2792672619286755,0.2878460698905387
2021,Urban regions,No,0.7755463219452139,27598,0.7706238358199499,0.7804688080704779
2021,Urban regions,Yes,0.22445367805478608,27598,0.21953119192952203,0.22937616418005013
2021,Rural regions,No,0.7199610831846928,27598,0.7146634611278088,0.7252587052415768
2021,Rural regions,Yes,0.2800389168153073,27598,0.2747412947584233,0.2853365388721913
