year,pgisced97,sampreg,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,West,Germany,0.93926,166,166,0.90282,0.97571
1984,Primary Level,West,Germany,0.33848,81,913,0.30777,0.36919
1984,Primary Level,West,Southern Europe,0.27059,506,913,0.24176,0.29942
1984,Primary Level,West,Western Asia,0.28253,326,913,0.25331,0.31176
1984,Lower Secondary Level,West,Germany,0.90169,2391,3285,0.89151,0.91187
1984,Lower Secondary Level,West,Southern Europe,0.02386,507,3285,0.01864,0.02908
1984,Lower Secondary Level,West,Western Asia,0.02529,353,3285,0.01992,0.03066
1984,Lower Secondary Level,West,Eastern Europe,0.01240,34,3285,0.00861,0.01618
1984,Upper Secondary Level,West,Germany,0.93078,4681,5471,0.92406,0.93751
1984,Upper Secondary Level,West,Southern Europe,0.01402,442,5471,0.01091,0.01714
1984,Upper Secondary Level,West,Western Asia,0.01086,255,5471,0.00811,0.01360
1984,Upper Secondary Level,West,Eastern Europe,0.01020,53,5471,0.00754,0.01286
1984,Upper Secondary Level,West,Western Europe,0.00731,40,5471,0.00505,0.00957
1984,Post-secondary Non-tertiary Level,West,Germany,0.84677,186,276,0.80419,0.88934
1984,Post-secondary Non-tertiary Level,West,Southern Europe,0.02312,37,276,0.00536,0.04088
1984,Post-secondary Non-tertiary Level,West,Western Asia,0.06623,53,276,0.03684,0.09562
1984,First Stage of Tertiary Education,West,Germany,0.93771,608,608,0.91849,0.95694
1984,Second Stage of Tertiary Education,West,Germany,0.91172,669,715,0.89091,0.93253
1984,Second Stage of Tertiary Education,West,Southern Europe,0.00893,46,715,0.00203,0.01583
1985,Pre-primary Level,West,Germany,0.95438,165,165,0.92245,0.98632
1985,Primary Level,West,Germany,0.40012,89,761,0.36529,0.43495
1985,Primary Level,West,Southern Europe,0.25991,416,761,0.22873,0.29110
1985,Primary Level,West,Western Asia,0.23119,256,761,0.20121,0.26116
1985,Lower Secondary Level,West,Germany,0.90012,2150,2920,0.88925,0.91100
1985,Lower Secondary Level,West,Southern Europe,0.02571,441,2920,0.01997,0.03145
1985,Lower Secondary Level,West,Western Asia,0.02312,295,2920,0.01767,0.02857
1985,Lower Secondary Level,West,Eastern Europe,0.01413,34,2920,0.00985,0.01842
1985,Upper Secondary Level,West,Germany,0.92899,4276,4970,0.92184,0.93613
1985,Upper Secondary Level,West,Southern Europe,0.01407,384,4970,0.01080,0.01735
1985,Upper Secondary Level,West,Western Asia,0.00986,219,4970,0.00711,0.01261
1985,Upper Secondary Level,West,Eastern Europe,0.01056,52,4970,0.00772,0.01340
1985,Upper Secondary Level,West,Western Europe,0.00809,39,4970,0.00560,0.01058
1985,Post-secondary Non-tertiary Level,West,Germany,0.86369,174,247,0.82081,0.90656
1985,Post-secondary Non-tertiary Level,West,Southern Europe,0.02223,32,247,0.00380,0.04065
1985,Post-secondary Non-tertiary Level,West,Western Asia,0.05167,41,247,0.02401,0.07934
1985,First Stage of Tertiary Education,West,Germany,0.93895,572,572,0.91931,0.95859
1985,Second Stage of Tertiary Education,West,Germany,0.91292,645,687,0.89182,0.93402
1985,Second Stage of Tertiary Education,West,Southern Europe,0.01128,42,687,0.00338,0.01918
1986,Pre-primary Level,West,Germany,0.93574,157,157,0.89726,0.97422
1986,Primary Level,West,Germany,0.41495,92,712,0.37873,0.45116
1986,Primary Level,West,Southern Europe,0.24458,371,712,0.21299,0.27618
1986,Primary Level,West,Western Asia,0.23010,249,712,0.19916,0.26103
1986,Lower Secondary Level,West,Germany,0.88740,1991,2759,0.87561,0.89920
1986,Lower Secondary Level,West,Southern Europe,0.02856,441,2759,0.02234,0.03477
1986,Lower Secondary Level,West,Western Asia,0.02519,293,2759,0.01934,0.03104
1986,Lower Secondary Level,West,Eastern Europe,0.01645,34,2759,0.01170,0.02120
1986,Upper Secondary Level,West,Germany,0.92631,4121,4786,0.91891,0.93372
1986,Upper Secondary Level,West,Southern Europe,0.01406,362,4786,0.01073,0.01740
1986,Upper Secondary Level,West,Western Asia,0.00998,215,4786,0.00716,0.01279
1986,Upper Secondary Level,West,Eastern Europe,0.01150,52,4786,0.00848,0.01453
1986,Upper Secondary Level,West,Western Europe,0.00774,36,4786,0.00525,0.01022
1986,Post-secondary Non-tertiary Level,West,Germany,0.87298,172,252,0.83178,0.91418
1986,Post-secondary Non-tertiary Level,West,Southern Europe,0.02358,34,252,0.00481,0.04235
1986,Post-secondary Non-tertiary Level,West,Western Asia,0.05905,46,252,0.02989,0.08821
1986,First Stage of Tertiary Education,West,Germany,0.93218,532,532,0.91079,0.95357
1986,Second Stage of Tertiary Education,West,Germany,0.90945,639,682,0.88790,0.93100
1986,Second Stage of Tertiary Education,West,Southern Europe,0.01270,43,682,0.00429,0.02112
1987,Pre-primary Level,West,Germany,0.93850,159,159,0.90104,0.97596
1987,Primary Level,West,Germany,0.36684,83,686,0.33075,0.40294
1987,Primary Level,West,Southern Europe,0.27395,364,686,0.24055,0.30734
1987,Primary Level,West,Western Asia,0.24814,239,686,0.21579,0.28049
1987,Lower Secondary Level,West,Germany,0.87532,1899,2691,0.86284,0.88781
1987,Lower Secondary Level,West,Southern Europe,0.03254,444,2691,0.02583,0.03924
1987,Lower Secondary Level,West,Western Asia,0.02984,313,2691,0.02341,0.03627
1987,Lower Secondary Level,West,Eastern Europe,0.01850,35,2691,0.01341,0.02360
1987,Upper Secondary Level,West,Germany,0.92544,4108,4767,0.91798,0.93290
1987,Upper Secondary Level,West,Southern Europe,0.01421,355,4767,0.01085,0.01757
1987,Upper Secondary Level,West,Western Asia,0.01043,218,4767,0.00754,0.01331
1987,Upper Secondary Level,West,Eastern Europe,0.01185,54,4767,0.00877,0.01492
1987,Upper Secondary Level,West,Western Europe,0.00709,32,4767,0.00471,0.00947
1987,Post-secondary Non-tertiary Level,West,Germany,0.86225,174,219,0.81650,0.90800
1987,Post-secondary Non-tertiary Level,West,Western Asia,0.05941,45,219,0.02803,0.09078
1987,First Stage of Tertiary Education,West,Germany,0.92983,511,511,0.90766,0.95200
1987,Second Stage of Tertiary Education,West,Germany,0.91259,642,681,0.89136,0.93382
1987,Second Stage of Tertiary Education,West,Southern Europe,0.01267,39,681,0.00426,0.02107
1988,Pre-primary Level,West,Germany,0.92354,143,143,0.87983,0.96725
1988,Primary Level,West,Germany,0.38037,78,640,0.34273,0.41802
1988,Primary Level,West,Southern Europe,0.26125,330,640,0.22719,0.29532
1988,Primary Level,West,Western Asia,0.26322,232,640,0.22907,0.29736
1988,Lower Secondary Level,West,Germany,0.87875,1809,2583,0.86616,0.89134
1988,Lower Secondary Level,West,Southern Europe,0.02983,421,2583,0.02326,0.03639
1988,Lower Secondary Level,West,Western Asia,0.02947,317,2583,0.02295,0.03600
1988,Lower Secondary Level,West,Eastern Europe,0.01892,36,2583,0.01367,0.02418
1988,Upper Secondary Level,West,Germany,0.92432,3912,4552,0.91663,0.93200
1988,Upper Secondary Level,West,Southern Europe,0.01396,347,4552,0.01056,0.01737
1988,Upper Secondary Level,West,Western Asia,0.00962,207,4552,0.00678,0.01245
1988,Upper Secondary Level,West,Eastern Europe,0.01326,54,4552,0.00994,0.01658
1988,Upper Secondary Level,West,Western Europe,0.00703,32,4552,0.00461,0.00946
1988,Post-secondary Non-tertiary Level,West,Germany,0.88176,174,218,0.83880,0.92472
1988,Post-secondary Non-tertiary Level,West,Western Asia,0.05143,44,218,0.02204,0.08082
1988,First Stage of Tertiary Education,West,Germany,0.92362,486,486,0.89998,0.94726
1988,Second Stage of Tertiary Education,West,Germany,0.92300,617,617,0.90195,0.94406
1989,Pre-primary Level,West,Germany,0.92798,150,150,0.88646,0.96949
1989,Primary Level,West,Germany,0.37123,78,611,0.33288,0.40957
1989,Primary Level,West,Southern Europe,0.27936,309,611,0.24375,0.31496
1989,Primary Level,West,Western Asia,0.26509,224,611,0.23007,0.30012
1989,Lower Secondary Level,West,Germany,0.86627,1696,2445,0.85278,0.87977
1989,Lower Secondary Level,West,Southern Europe,0.03265,389,2445,0.02560,0.03969
1989,Lower Secondary Level,West,Western Asia,0.03420,324,2445,0.02700,0.04141
1989,Lower Secondary Level,West,Eastern Europe,0.02001,36,2445,0.01445,0.02556
1989,Upper Secondary Level,West,Germany,0.91989,3793,4412,0.91187,0.92790
1989,Upper Secondary Level,West,Southern Europe,0.01537,345,4412,0.01174,0.01901
1989,Upper Secondary Level,West,Western Asia,0.01105,217,4412,0.00796,0.01413
1989,Upper Secondary Level,West,Eastern Europe,0.01403,57,4412,0.01056,0.01750
1989,Post-secondary Non-tertiary Level,West,Germany,0.88242,196,237,0.84133,0.92352
1989,Post-secondary Non-tertiary Level,West,Western Asia,0.04783,41,237,0.02060,0.07505
1989,First Stage of Tertiary Education,West,Germany,0.92126,465,465,0.89675,0.94576
1989,Second Stage of Tertiary Education,West,Germany,0.91263,610,610,0.89020,0.93506
1990,Pre-primary Level,West,Germany,0.93363,135,135,0.89148,0.97578
1990,Pre-primary Level,East,Germany,0.94203,31,31,0.85841,1.02565
1990,Primary Level,West,Germany,0.38412,85,588,0.34478,0.42347
1990,Primary Level,West,Southern Europe,0.26539,294,588,0.22967,0.30110
