year,sampreg,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Germany,0.74886,8798,11605,0.74097,0.75675
1984,West,Southern Europe,0.01815,1583,11605,0.01572,0.02058
1984,West,Western Asia,0.01819,1035,11605,0.01576,0.02063
1984,West,Eastern Europe,0.00967,121,11605,0.00789,0.01145
1984,West,Western Europe,0.00518,68,11605,0.00387,0.00648
1985,West,Germany,0.75992,8120,10530,0.75176,0.76808
1985,West,Southern Europe,0.01874,1357,10530,0.01615,0.02133
1985,West,Western Asia,0.01638,868,10530,0.01395,0.01880
1985,West,Eastern Europe,0.01037,120,10530,0.00844,0.01231
1985,West,Western Europe,0.00555,65,10530,0.00413,0.00697
1986,West,Germany,0.75442,7758,10097,0.74602,0.76281
1986,West,Southern Europe,0.01924,1295,10097,0.01656,0.02192
1986,West,Western Asia,0.01711,862,10097,0.01458,0.01964
1986,West,Eastern Europe,0.01155,121,10097,0.00947,0.01364
1986,West,Western Europe,0.00541,61,10097,0.00398,0.00684
1987,West,Germany,0.74865,7640,9970,0.74014,0.75717
1987,West,Southern Europe,0.02043,1276,9970,0.01765,0.02321
1987,West,Western Asia,0.01855,875,9970,0.01590,0.02119
1987,West,Eastern Europe,0.01219,126,9970,0.01003,0.01434
1987,West,Western Europe,0.00490,53,9970,0.00353,0.00627
1988,West,Germany,0.75095,7303,9526,0.74227,0.75964
1988,West,Southern Europe,0.01882,1194,9526,0.01610,0.02155
1988,West,Western Asia,0.01767,853,9526,0.01502,0.02031
1988,West,Eastern Europe,0.01294,125,9526,0.01067,0.01521
1988,West,Western Europe,0.00479,51,9526,0.00341,0.00618
1989,West,Germany,0.74655,7076,9249,0.73768,0.75542
1989,West,Southern Europe,0.02064,1141,9249,0.01774,0.02354
1989,West,Western Asia,0.01950,855,9249,0.01669,0.02232
1989,West,Eastern Europe,0.01379,129,9249,0.01142,0.01617
1989,West,Western Europe,0.00498,48,9249,0.00355,0.00642
1990,West,Germany,0.73798,6931,9040,0.72892,0.74705
1990,West,Southern Europe,0.02218,1107,9040,0.01915,0.02522
1990,West,Western Asia,0.02092,824,9040,0.01797,0.02387
1990,West,Eastern Europe,0.01400,128,9040,0.01158,0.01642
1990,West,Western Europe,0.00546,50,9040,0.00394,0.00698
1990,East,Germany,0.75431,4285,4347,0.74151,0.76711
1990,East,Eastern Europe,0.01153,62,4347,0.00835,0.01470
1991,West,Germany,0.72789,6965,9034,0.71871,0.73707
1991,West,Southern Europe,0.02333,1064,9034,0.02021,0.02644
1991,West,Western Asia,0.02288,820,9034,0.01980,0.02597
1991,West,Eastern Europe,0.01450,135,9034,0.01204,0.01697
1991,West,Western Europe,0.00570,50,9034,0.00415,0.00725
1991,East,Germany,0.77481,3999,4062,0.76197,0.78766
1991,East,Eastern Europe,0.01460,63,4062,0.01091,0.01829
1992,West,Germany,0.72196,6934,8955,0.71268,0.73124
1992,West,Southern Europe,0.02612,1025,8955,0.02281,0.02942
1992,West,Western Asia,0.02443,808,8955,0.02123,0.02763
1992,West,Eastern Europe,0.01442,136,8955,0.01195,0.01689
1992,West,Western Europe,0.00701,52,8955,0.00528,0.00873
1992,East,Germany,0.77805,3831,3896,0.76500,0.79110
1992,East,Eastern Europe,0.01598,65,3896,0.01204,0.01992
1993,West,Germany,0.71576,6932,8903,0.70639,0.72513
1993,West,Southern Europe,0.02849,1008,8903,0.02504,0.03195
1993,West,Western Asia,0.02563,775,8903,0.02234,0.02891
1993,West,Eastern Europe,0.01479,137,8903,0.01228,0.01729
1993,West,Western Europe,0.00770,51,8903,0.00589,0.00952
1993,East,Germany,0.77789,3694,3755,0.76459,0.79119
1993,East,Eastern Europe,0.01536,61,3755,0.01143,0.01930
1994,West,Germany,0.71075,6883,8750,0.70125,0.72025
1994,West,Southern Europe,0.03018,963,8750,0.02660,0.03377
1994,West,Western Asia,0.02589,718,8750,0.02256,0.02921
1994,West,Eastern Europe,0.01460,134,8750,0.01208,0.01711
1994,West,Western Europe,0.00814,52,8750,0.00626,0.01003
1994,East,Germany,0.77787,3633,3696,0.76447,0.79127
1994,East,Eastern Europe,0.01742,63,3696,0.01320,0.02164
1995,West,Germany,0.68728,6955,9213,0.67782,0.69675
1995,West,Southern Europe,0.02834,952,9213,0.02495,0.03173
1995,West,Central Asia,0.00357,82,9213,0.00235,0.00478
1995,West,Western Asia,0.02324,709,9213,0.02017,0.02632
1995,West,Eastern Europe,0.03165,454,9213,0.02807,0.03522
1995,West,Western Europe,0.00824,61,9213,0.00639,0.01008
1995,East,Germany,0.78339,3550,3612,0.76996,0.79683
1995,East,Eastern Europe,0.01746,62,3612,0.01319,0.02174
1996,West,Germany,0.68926,6906,9043,0.67972,0.69880
1996,West,Southern Europe,0.02952,895,9043,0.02604,0.03301
1996,West,Central Asia,0.00393,88,9043,0.00264,0.00522
1996,West,Western Asia,0.02307,665,9043,0.01997,0.02616
1996,West,Eastern Europe,0.03094,429,9043,0.02737,0.03451
1996,West,Western Europe,0.00843,60,9043,0.00655,0.01032
1996,East,Germany,0.78727,3544,3604,0.77390,0.80063
1996,East,Eastern Europe,0.01703,60,3604,0.01280,0.02125
1997,West,Germany,0.68965,6853,8918,0.68004,0.69925
1997,West,Southern Europe,0.03073,854,8918,0.02715,0.03432
