year,regtyp,sampreg,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,West,Germany,0.75322,6130,8267,0.74392,0.76251
1985,Urban regions,West,Southern Europe,0.02154,1193,8267,0.01841,0.02467
1985,Urban regions,West,Western Asia,0.02016,792,8267,0.01713,0.02319
1985,Urban regions,West,Eastern Europe,0.01067,95,8267,0.00846,0.01289
1985,Urban regions,West,Western Europe,0.00660,57,8267,0.00486,0.00835
1985,Rural regions,West,Germany,0.78035,1990,2230,0.76316,0.79754
1985,Rural regions,West,Southern Europe,0.01023,164,2230,0.00605,0.01441
1985,Rural regions,West,Western Asia,0.00486,76,2230,0.00197,0.00775
1986,Urban regions,West,Germany,0.74938,5889,7951,0.73985,0.75890
1986,Urban regions,West,Southern Europe,0.02189,1131,7951,0.01867,0.02510
1986,Urban regions,West,Western Asia,0.02083,785,7951,0.01769,0.02397
1986,Urban regions,West,Eastern Europe,0.01177,95,7951,0.00940,0.01414
1986,Urban regions,West,Western Europe,0.00616,51,7951,0.00444,0.00788
1986,Rural regions,West,Germany,0.76998,1869,2110,0.75202,0.78794
1986,Rural regions,West,Southern Europe,0.01105,164,2110,0.00659,0.01551
1986,Rural regions,West,Western Asia,0.00562,77,2110,0.00243,0.00882
1987,Urban regions,West,Germany,0.74419,5803,7849,0.73454,0.75384
1987,Urban regions,West,Southern Europe,0.02319,1112,7849,0.01986,0.02652
1987,Urban regions,West,Western Asia,0.02234,786,7849,0.01907,0.02561
1987,Urban regions,West,Eastern Europe,0.01257,101,7849,0.01011,0.01504
1987,Urban regions,West,Western Europe,0.00598,47,7849,0.00428,0.00769
1987,Rural regions,West,Germany,0.76252,1837,2090,0.74427,0.78077
1987,Rural regions,West,Southern Europe,0.01186,164,2090,0.00722,0.01650
1987,Rural regions,West,Western Asia,0.00676,89,2090,0.00324,0.01027
1988,Urban regions,West,Germany,0.74667,5577,7538,0.73685,0.75649
1988,Urban regions,West,Southern Europe,0.02138,1036,7538,0.01812,0.02465
1988,Urban regions,West,Western Asia,0.02142,780,7538,0.01815,0.02469
1988,Urban regions,West,Eastern Europe,0.01342,100,7538,0.01082,0.01602
1988,Urban regions,West,Western Europe,0.00579,45,7538,0.00408,0.00750
1988,Rural regions,West,Germany,0.76450,1726,1957,0.74569,0.78330
1988,Rural regions,West,Southern Europe,0.01073,158,1957,0.00616,0.01530
1988,Rural regions,West,Western Asia,0.00580,73,1957,0.00244,0.00917
1989,Urban regions,West,Germany,0.74245,5434,7363,0.73246,0.75244
1989,Urban regions,West,Southern Europe,0.02322,994,7363,0.01978,0.02666
1989,Urban regions,West,Western Asia,0.02351,786,7363,0.02005,0.02697
1989,Urban regions,West,Eastern Europe,0.01427,106,7363,0.01156,0.01698
1989,Urban regions,West,Western Europe,0.00598,43,7363,0.00422,0.00774
1989,Rural regions,West,Germany,0.75991,1642,1858,0.74049,0.77934
1989,Rural regions,West,Southern Europe,0.01224,147,1858,0.00724,0.01724
1989,Rural regions,West,Western Asia,0.00646,69,1858,0.00282,0.01011
1990,Urban regions,West,Germany,0.72966,5293,7154,0.71937,0.73995
1990,Urban regions,West,Southern Europe,0.02512,964,7154,0.02149,0.02875
1990,Urban regions,West,Western Asia,0.02501,751,7154,0.02139,0.02863
1990,Urban regions,West,Eastern Europe,0.01406,102,7154,0.01133,0.01678
1990,Urban regions,West,Western Europe,0.00641,44,7154,0.00456,0.00825
1990,Urban regions,East,Germany,0.75543,1420,1420,0.73306,0.77779
1990,Rural regions,West,Germany,0.76557,1638,1854,0.74629,0.78486
