year,migback,regtyp,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,Urban regions,Germany,0.86168,6007,6007,0.85295,0.87041
1985,No migration background,Rural regions,Germany,0.83299,1972,1972,0.81653,0.84946
1985,Direct migration background,Urban regions,Southern Europe,0.21909,1193,2137,0.20155,0.23663
1985,Direct migration background,Urban regions,Western Asia,0.20509,792,2137,0.18797,0.22221
1985,Direct migration background,Urban regions,Eastern Europe,0.10858,95,2137,0.09538,0.12177
1985,Direct migration background,Urban regions,Western Europe,0.06717,57,2137,0.05655,0.07778
1985,Direct migration background,Rural regions,Southern Europe,0.20294,164,240,0.15195,0.25393
1985,Direct migration background,Rural regions,Western Asia,0.09639,76,240,0.05898,0.13381
1985,Indirect migration background,Urban regions,Germany,0.13801,123,123,0.07681,0.19922
1986,No migration background,Urban regions,Germany,0.86240,5756,5756,0.85350,0.87130
1986,No migration background,Rural regions,Germany,0.82901,1849,1849,0.81185,0.84618
1986,Direct migration background,Urban regions,Southern Europe,0.21572,1131,2062,0.19796,0.23347
1986,Direct migration background,Urban regions,Western Asia,0.20529,785,2062,0.18785,0.22273
1986,Direct migration background,Urban regions,Eastern Europe,0.11596,95,2062,0.10214,0.12978
1986,Direct migration background,Urban regions,Western Europe,0.06068,51,2062,0.05037,0.07098
1986,Direct migration background,Rural regions,Southern Europe,0.19553,164,241,0.14535,0.24570
1986,Direct migration background,Rural regions,Western Asia,0.09951,77,241,0.06164,0.13738
1986,Indirect migration background,Urban regions,Germany,0.14382,133,133,0.08395,0.20368
1987,No migration background,Urban regions,Germany,0.86165,5652,5652,0.85265,0.87066
1987,No migration background,Rural regions,Germany,0.82406,1815,1815,0.80654,0.84159
1987,Direct migration background,Urban regions,Southern Europe,0.22169,1112,2046,0.20369,0.23969
1987,Direct migration background,Urban regions,Western Asia,0.21358,786,2046,0.19582,0.23135
1987,Direct migration background,Urban regions,Eastern Europe,0.12019,101,2046,0.10610,0.13429
1987,Direct migration background,Urban regions,Western Europe,0.05721,47,2046,0.04715,0.06728
1987,Direct migration background,Rural regions,Southern Europe,0.20970,164,253,0.15944,0.25997
1987,Direct migration background,Rural regions,Western Asia,0.11946,89,253,0.07942,0.15951
1987,Indirect migration background,Urban regions,Germany,0.14387,151,151,0.08770,0.20003
1988,No migration background,Urban regions,Germany,0.86130,5388,5388,0.85207,0.87053
1988,No migration background,Rural regions,Germany,0.82488,1695,1695,0.80679,0.84298
1988,Direct migration background,Urban regions,Southern Europe,0.21106,1036,1961,0.19300,0.22913
1988,Direct migration background,Urban regions,Western Asia,0.21140,780,1961,0.19333,0.22948
1988,Direct migration background,Urban regions,Eastern Europe,0.13244,100,1961,0.11743,0.14745
1988,Direct migration background,Urban regions,Western Europe,0.05715,45,1961,0.04688,0.06743
1988,Direct migration background,Rural regions,Southern Europe,0.19437,158,231,0.14323,0.24551
1988,Direct migration background,Rural regions,Western Asia,0.10513,73,231,0.06549,0.14477
1988,Indirect migration background,Urban regions,Germany,0.16733,189,189,0.11397,0.22069
1988,Indirect migration background,Rural regions,Germany,0.18430,31,31,0.04555,0.32304
1989,No migration background,Urban regions,Germany,0.86265,5211,5211,0.85330,0.87200
1989,No migration background,Rural regions,Germany,0.82616,1608,1608,0.80763,0.84469
1989,Direct migration background,Urban regions,Southern Europe,0.21903,994,1929,0.20057,0.23749
1989,Direct migration background,Urban regions,Western Asia,0.22173,786,1929,0.20319,0.24027
1989,Direct migration background,Urban regions,Eastern Europe,0.13462,106,1929,0.11939,0.14986
1989,Direct migration background,Urban regions,Western Europe,0.05642,43,1929,0.04612,0.06672
1989,Direct migration background,Rural regions,Southern Europe,0.20066,147,216,0.14712,0.25419
1989,Direct migration background,Rural regions,Western Asia,0.10593,69,216,0.06479,0.14707
1989,Indirect migration background,Urban regions,Germany,0.18810,223,223,0.13669,0.23951
1989,Indirect migration background,Rural regions,Germany,0.20151,34,34,0.06465,0.33837
1990,No migration background,Urban regions,Germany,0.84625,6459,6459,0.83745,0.85505
1990,No migration background,Rural regions,Germany,0.81387,4376,4376,0.80234,0.82541
1990,Direct migration background,Urban regions,Southern Europe,0.22039,964,1882,0.20166,0.23913
1990,Direct migration background,Urban regions,Western Asia,0.21945,751,1882,0.20075,0.23816
1990,Direct migration background,Urban regions,Eastern Europe,0.13399,123,1882,0.11859,0.14938
1990,Direct migration background,Urban regions,Western Europe,0.05620,44,1882,0.04579,0.06661
1990,Direct migration background,Rural regions,Southern Europe,0.14356,143,283,0.10263,0.18448
1990,Direct migration background,Rural regions,Western Asia,0.08456,73,283,0.05208,0.11703
1990,Direct migration background,Rural regions,Eastern Europe,0.26290,67,283,0.21152,0.31428
1990,Indirect migration background,Urban regions,Germany,0.19526,254,254,0.14641,0.24410
