year,bula_h,migback,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Hamburg,Direct migration background,Western Asia,0.34387,37,37,0.18870,0.49904
1984,Lower Saxony,Direct migration background,Southern Europe,0.15126,86,149,0.09354,0.20899
1984,Lower Saxony,Direct migration background,Western Asia,0.21089,63,149,0.14517,0.27662
1984,North Rhine-Westphalia,Direct migration background,Southern Europe,0.22367,430,779,0.19439,0.25295
1984,North Rhine-Westphalia,Direct migration background,Western Asia,0.28137,349,779,0.24978,0.31297
1984,Hesse,Direct migration background,Southern Europe,0.27311,232,385,0.22854,0.31767
1984,Hesse,Direct migration background,Western Asia,0.24022,153,385,0.19749,0.28296
1984,"Rhineland-Palatinate, Saarland",Direct migration background,Southern Europe,0.40045,95,95,0.30140,0.49951
1984,Baden-Wuerttemberg,Direct migration background,Southern Europe,0.24552,458,669,0.21288,0.27816
1984,Baden-Wuerttemberg,Direct migration background,Western Asia,0.17780,211,669,0.14881,0.20680
1984,Bavaria,Direct migration background,Southern Europe,0.22128,219,362,0.17846,0.26411
1984,Bavaria,Direct migration background,Western Asia,0.15975,109,362,0.12195,0.19754
1984,Bavaria,Direct migration background,Eastern Europe,0.22043,34,362,0.17767,0.26319
1984,Berlin,Direct migration background,Western Asia,0.40153,72,72,0.28750,0.51555
1985,Lower Saxony,Direct migration background,Southern Europe,0.13866,58,108,0.07318,0.20415
1985,Lower Saxony,Direct migration background,Western Asia,0.19211,50,108,0.11746,0.26675
1985,North Rhine-Westphalia,Direct migration background,Southern Europe,0.22150,360,647,0.18948,0.25353
1985,North Rhine-Westphalia,Direct migration background,Western Asia,0.25152,287,647,0.21806,0.28498
1985,Hesse,Direct migration background,Southern Europe,0.26264,201,340,0.21579,0.30949
1985,Hesse,Direct migration background,Western Asia,0.23674,139,340,0.19149,0.28200
1985,"Rhineland-Palatinate, Saarland",Direct migration background,Southern Europe,0.43022,89,89,0.32677,0.53366
1985,Baden-Wuerttemberg,Direct migration background,Southern Europe,0.25798,405,593,0.22273,0.29322
1985,Baden-Wuerttemberg,Direct migration background,Western Asia,0.15470,188,593,0.12557,0.18383
1985,Bavaria,Direct migration background,Southern Europe,0.22445,185,304,0.17747,0.27143
1985,Bavaria,Direct migration background,Western Asia,0.13799,85,304,0.09915,0.17682
1985,Bavaria,Direct migration background,Eastern Europe,0.23327,34,304,0.18565,0.28089
1985,Berlin,Direct migration background,Western Asia,0.35527,60,60,0.23314,0.47739
1986,Lower Saxony,Direct migration background,Southern Europe,0.12373,66,116,0.06355,0.18391
1986,Lower Saxony,Direct migration background,Western Asia,0.16980,50,116,0.10118,0.23843
1986,North Rhine-Westphalia,Direct migration background,Southern Europe,0.21425,340,629,0.18216,0.24634
1986,North Rhine-Westphalia,Direct migration background,Western Asia,0.25679,289,629,0.22263,0.29096
1986,Hesse,Direct migration background,Southern Europe,0.25203,181,298,0.20265,0.30141
1986,Hesse,Direct migration background,Western Asia,0.20650,117,298,0.16046,0.25253
1986,"Rhineland-Palatinate, Saarland",Direct migration background,Southern Europe,0.41437,85,85,0.30903,0.51972
1986,Baden-Wuerttemberg,Direct migration background,Southern Europe,0.25485,385,582,0.21942,0.29029
1986,Baden-Wuerttemberg,Direct migration background,Western Asia,0.16365,197,582,0.13357,0.19373
1986,Bavaria,Direct migration background,Southern Europe,0.21877,178,301,0.17199,0.26555
1986,Bavaria,Direct migration background,Western Asia,0.14161,89,301,0.10215,0.18106
1986,Bavaria,Direct migration background,Eastern Europe,0.25172,34,301,0.20261,0.30084
1986,Berlin,Direct migration background,Western Asia,0.33218,59,59,0.21096,0.45340
1987,Lower Saxony,Direct migration background,Southern Europe,0.13192,61,114,0.06952,0.19431
1987,Lower Saxony,Direct migration background,Western Asia,0.19642,53,114,0.12317,0.26967
1987,North Rhine-Westphalia,Direct migration background,Southern Europe,0.21205,328,613,0.17966,0.24443
1987,North Rhine-Westphalia,Direct migration background,Western Asia,0.26232,285,613,0.22747,0.29717
1987,Hesse,Direct migration background,Southern Europe,0.24216,176,309,0.19432,0.29000
1987,Hesse,Direct migration background,Western Asia,0.21342,133,309,0.16766,0.25918
1987,"Rhineland-Palatinate, Saarland",Direct migration background,Southern Europe,0.43301,87,87,0.32828,0.53773
1987,Baden-Wuerttemberg,Direct migration background,Southern Europe,0.26703,387,582,0.23105,0.30300
1987,Baden-Wuerttemberg,Direct migration background,Western Asia,0.16712,195,582,0.13678,0.19746
1987,Bavaria,Direct migration background,Southern Europe,0.22544,173,293,0.17751,0.27337
1987,Bavaria,Direct migration background,Western Asia,0.16181,87,293,0.11957,0.20405
1987,Bavaria,Direct migration background,Eastern Europe,0.24362,33,293,0.19438,0.29286
1987,Berlin,Direct migration background,Western Asia,0.35189,63,63,0.23302,0.47077
1988,Lower Saxony,Direct migration background,Southern Europe,0.11663,60,116,0.05797,0.17530
1988,Lower Saxony,Direct migration background,Western Asia,0.19095,56,116,0.11912,0.26279
1988,North Rhine-Westphalia,Direct migration background,Southern Europe,0.19431,282,554,0.16133,0.22729
1988,North Rhine-Westphalia,Direct migration background,Western Asia,0.25620,272,554,0.21981,0.29258
1988,Hesse,Direct migration background,Southern Europe,0.22698,169,299,0.17942,0.27454
1988,Hesse,Direct migration background,Western Asia,0.20005,130,299,0.15463,0.24548
1988,"Rhineland-Palatinate, Saarland",Direct migration background,Southern Europe,0.41937,84,84,0.31321,0.52553
1988,Baden-Wuerttemberg,Direct migration background,Southern Europe,0.25220,365,553,0.21597,0.28842
1988,Baden-Wuerttemberg,Direct migration background,Western Asia,0.15886,188,553,0.12837,0.18936
1988,Bavaria,Direct migration background,Southern Europe,0.21491,172,296,0.16803,0.26178
1988,Bavaria,Direct migration background,Western Asia,0.16245,91,296,0.12035,0.20454
1988,Bavaria,Direct migration background,Eastern Europe,0.25133,33,296,0.20183,0.30084
