year,age_gr,migback,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Direct migration background,Southern Europe,0.23554,404,843,0.20688,0.26420
1984,17-29 y.,Direct migration background,Western Asia,0.34463,439,843,0.31253,0.37673
1984,30-45 y.,Direct migration background,Southern Europe,0.26970,684,1146,0.24399,0.29540
1984,30-45 y.,Direct migration background,Western Asia,0.26417,382,1146,0.23864,0.28971
1984,30-45 y.,Direct migration background,Eastern Europe,0.10848,49,1146,0.09046,0.12649
1984,30-45 y.,Direct migration background,Western Europe,0.08080,31,1146,0.06501,0.09658
1984,46-65 y.,Direct migration background,Southern Europe,0.21514,489,750,0.18571,0.24456
1984,46-65 y.,Direct migration background,Western Asia,0.13585,209,750,0.11131,0.16039
1984,46-65 y.,Direct migration background,Eastern Europe,0.19114,52,750,0.16298,0.21930
1985,17-29 y.,Direct migration background,Southern Europe,0.24973,329,695,0.21752,0.28193
1985,17-29 y.,Direct migration background,Western Asia,0.32545,366,695,0.29059,0.36031
1985,30-45 y.,Direct migration background,Southern Europe,0.27149,567,969,0.24347,0.29951
1985,30-45 y.,Direct migration background,Western Asia,0.24283,325,969,0.21581,0.26984
1985,30-45 y.,Direct migration background,Eastern Europe,0.10746,46,969,0.08795,0.12697
1985,30-45 y.,Direct migration background,Western Europe,0.09147,31,969,0.07331,0.10963
1985,46-65 y.,Direct migration background,Southern Europe,0.22674,455,682,0.19529,0.25819
1985,46-65 y.,Direct migration background,Western Asia,0.11577,173,682,0.09174,0.13980
1985,46-65 y.,Direct migration background,Eastern Europe,0.20141,54,682,0.17129,0.23154
1986,17-29 y.,Direct migration background,Southern Europe,0.23713,311,674,0.20500,0.26927
1986,17-29 y.,Direct migration background,Western Asia,0.34145,363,674,0.30562,0.37727
1986,30-45 y.,Direct migration background,Southern Europe,0.26649,529,871,0.23711,0.29587
1986,30-45 y.,Direct migration background,Western Asia,0.23583,298,871,0.20762,0.26404
1986,30-45 y.,Direct migration background,Eastern Europe,0.10866,44,871,0.08798,0.12934
1986,46-65 y.,Direct migration background,Southern Europe,0.23061,446,698,0.19933,0.26188
1986,46-65 y.,Direct migration background,Western Asia,0.12471,197,698,0.10018,0.14923
1986,46-65 y.,Direct migration background,Eastern Europe,0.20505,55,698,0.17508,0.23502
1987,17-29 y.,Direct migration background,Southern Europe,0.23102,300,677,0.19924,0.26279
1987,17-29 y.,Direct migration background,Western Asia,0.36434,377,677,0.32806,0.40062
1987,30-45 y.,Direct migration background,Southern Europe,0.27799,510,830,0.24749,0.30849
1987,30-45 y.,Direct migration background,Western Asia,0.23999,279,830,0.21092,0.26906
1987,30-45 y.,Direct migration background,Eastern Europe,0.09950,41,830,0.07913,0.11988
1987,46-65 y.,Direct migration background,Southern Europe,0.23845,455,730,0.20752,0.26938
1987,46-65 y.,Direct migration background,Western Asia,0.13833,216,730,0.11327,0.16339
1987,46-65 y.,Direct migration background,Eastern Europe,0.20790,59,730,0.17844,0.23735
1988,17-29 y.,Direct migration background,Southern Europe,0.20717,272,656,0.17613,0.23821
1988,17-29 y.,Direct migration background,Western Asia,0.36672,384,656,0.32982,0.40363
1988,30-45 y.,Direct migration background,Southern Europe,0.28246,463,741,0.25002,0.31489
1988,30-45 y.,Direct migration background,Western Asia,0.22735,241,741,0.19715,0.25755
1988,30-45 y.,Direct migration background,Eastern Europe,0.10335,37,741,0.08142,0.12528
1988,46-65 y.,Direct migration background,Southern Europe,0.21977,446,729,0.18969,0.24985
1988,46-65 y.,Direct migration background,Western Asia,0.14345,223,729,0.11798,0.16891
1988,46-65 y.,Direct migration background,Eastern Europe,0.22121,60,729,0.19106,0.25136
1989,17-29 y.,Direct migration background,Southern Europe,0.19751,242,630,0.16639,0.22862
1989,17-29 y.,Direct migration background,Western Asia,0.39107,388,630,0.35293,0.42921
1989,30-45 y.,Direct migration background,Southern Europe,0.30199,447,678,0.26740,0.33657
1989,30-45 y.,Direct migration background,Western Asia,0.22973,231,678,0.19804,0.26141
1989,46-65 y.,Direct migration background,Southern Europe,0.23242,440,736,0.20188,0.26295
1989,46-65 y.,Direct migration background,Western Asia,0.15367,234,736,0.12760,0.17974
1989,46-65 y.,Direct migration background,Eastern Europe,0.21878,62,736,0.18890,0.24867
1990,17-29 y.,Direct migration background,Southern Europe,0.18187,223,583,0.15053,0.21321
1990,17-29 y.,Direct migration background,Western Asia,0.38222,360,583,0.34274,0.42170
1990,30-45 y.,Direct migration background,Southern Europe,0.29819,434,699,0.26425,0.33213
1990,30-45 y.,Direct migration background,Western Asia,0.22536,222,699,0.19436,0.25635
1990,30-45 y.,Direct migration background,Eastern Europe,0.09668,43,699,0.07476,0.11861
1990,46-65 y.,Direct migration background,Southern Europe,0.21642,435,780,0.18750,0.24534
1990,46-65 y.,Direct migration background,Western Asia,0.14448,237,780,0.11979,0.16917
1990,46-65 y.,Direct migration background,Eastern Europe,0.23828,108,780,0.20836,0.26820
1991,17-29 y.,Direct migration background,Southern Europe,0.18366,201,558,0.15150,0.21581
1991,17-29 y.,Direct migration background,Western Asia,0.41586,357,558,0.37493,0.45679
1991,30-45 y.,Direct migration background,Southern Europe,0.28752,412,662,0.25302,0.32203
1991,30-45 y.,Direct migration background,Western Asia,0.21871,205,662,0.18719,0.25022
1991,30-45 y.,Direct migration background,Eastern Europe,0.10435,45,662,0.08104,0.12766
1991,46-65 y.,Direct migration background,Southern Europe,0.22638,430,792,0.19721,0.25554
1991,46-65 y.,Direct migration background,Western Asia,0.16477,253,792,0.13892,0.19062
1991,46-65 y.,Direct migration background,Eastern Europe,0.23017,109,792,0.20084,0.25951
1992,17-29 y.,Direct migration background,Southern Europe,0.19878,189,526,0.16465,0.23292
1992,17-29 y.,Direct migration background,Western Asia,0.41423,337,526,0.37209,0.45637
1992,30-45 y.,Direct migration background,Southern Europe,0.28904,376,627,0.25353,0.32455
1992,30-45 y.,Direct migration background,Western Asia,0.22077,207,627,0.18828,0.25327
1992,30-45 y.,Direct migration background,Eastern Europe,0.10506,44,627,0.08104,0.12908
1992,46-65 y.,Direct migration background,Southern Europe,0.25494,433,800,0.22472,0.28516
1992,46-65 y.,Direct migration background,Western Asia,0.18037,259,800,0.15371,0.20703
1992,46-65 y.,Direct migration background,Eastern Europe,0.21421,108,800,0.18577,0.24266
1993,17-29 y.,Direct migration background,Southern Europe,0.22691,183,491,0.18982,0.26399
1993,17-29 y.,Direct migration background,Western Asia,0.41837,308,491,0.37469,0.46205
1993,30-45 y.,Direct migration background,Southern Europe,0.29401,354,602,0.25759,0.33044
1993,30-45 y.,Direct migration background,Western Asia,0.21850,205,602,0.18546,0.25154
1993,30-45 y.,Direct migration background,Eastern Europe,0.10420,43,602,0.07978,0.12863
1993,46-65 y.,Direct migration background,Southern Europe,0.26517,439,798,0.23452,0.29582
1993,46-65 y.,Direct migration background,Western Asia,0.18395,255,798,0.15705,0.21084
1993,46-65 y.,Direct migration background,Eastern Europe,0.20040,104,798,0.17261,0.22819
1993,66 and older,Direct migration background,Southern Europe,0.04563,32,63,-0.00632,0.09757
1993,66 and older,Direct migration background,Eastern Europe,0.25427,31,63,0.14588,0.36266
1994,17-29 y.,Direct migration background,Southern Europe,0.24519,167,435,0.20472,0.28567
1994,17-29 y.,Direct migration background,Western Asia,0.40981,268,435,0.36354,0.45608
1994,30-45 y.,Direct migration background,Southern Europe,0.28564,329,567,0.24843,0.32286
1994,30-45 y.,Direct migration background,Western Asia,0.22165,202,567,0.18743,0.25587
1994,30-45 y.,Direct migration background,Eastern Europe,0.08888,36,567,0.06543,0.11232
1994,46-65 y.,Direct migration background,Southern Europe,0.28425,432,776,0.25249,0.31601
1994,46-65 y.,Direct migration background,Western Asia,0.18707,240,776,0.15962,0.21453
1994,46-65 y.,Direct migration background,Eastern Europe,0.19892,104,776,0.17081,0.22702
1994,66 and older,Direct migration background,Southern Europe,0.05425,35,72,0.00156,0.10694
1994,66 and older,Direct migration background,Eastern Europe,0.25948,37,72,0.15751,0.36144
1995,17-29 y.,Direct migration background,Southern Europe,0.18202,151,494,0.14796,0.21608
1995,17-29 y.,Direct migration background,Western Asia,0.29946,248,494,0.25903,0.33989
1995,17-29 y.,Direct migration background,Eastern Europe,0.19782,95,494,0.16266,0.23298
1995,30-45 y.,Direct migration background,Southern Europe,0.21870,320,763,0.18935,0.24805
1995,30-45 y.,Direct migration background,Central Asia,0.03580,41,763,0.02260,0.04899
1995,30-45 y.,Direct migration background,Western Asia,0.16643,222,763,0.13998,0.19287
1995,30-45 y.,Direct migration background,Eastern Europe,0.22247,180,763,0.19294,0.25200
1995,46-65 y.,Direct migration background,Southern Europe,0.24062,438,847,0.21182,0.26943
1995,46-65 y.,Direct migration background,Western Asia,0.14422,230,847,0.12055,0.16789
1995,46-65 y.,Direct migration background,Eastern Europe,0.27874,179,847,0.24853,0.30896
1995,66 and older,Direct migration background,Southern Europe,0.05707,43,105,0.01249,0.10166
1995,66 and older,Direct migration background,Eastern Europe,0.30683,62,105,0.21820,0.39547
1996,17-29 y.,Direct migration background,Southern Europe,0.18840,135,465,0.15282,0.22398
1996,17-29 y.,Direct migration background,Central Asia,0.05134,31,465,0.03126,0.07142
1996,17-29 y.,Direct migration background,Western Asia,0.28488,204,465,0.24381,0.32595
1996,17-29 y.,Direct migration background,Eastern Europe,0.19044,95,465,0.15471,0.22617
1996,30-45 y.,Direct migration background,Southern Europe,0.23163,287,719,0.20077,0.26249
1996,30-45 y.,Direct migration background,Central Asia,0.03719,37,719,0.02335,0.05103
1996,30-45 y.,Direct migration background,Western Asia,0.17608,232,719,0.14822,0.20395
1996,30-45 y.,Direct migration background,Eastern Europe,0.22558,163,719,0.19501,0.25616
1996,46-65 y.,Direct migration background,Southern Europe,0.25613,425,804,0.22594,0.28632
1996,46-65 y.,Direct migration background,Western Asia,0.14984,218,804,0.12515,0.17453
1996,46-65 y.,Direct migration background,Eastern Europe,0.25772,161,804,0.22747,0.28797
1996,66 and older,Direct migration background,Southern Europe,0.06751,48,118,0.02204,0.11297
1996,66 and older,Direct migration background,Eastern Europe,0.32752,70,118,0.24248,0.41256
1997,17-29 y.,Direct migration background,Southern Europe,0.19147,119,418,0.15371,0.22924
1997,17-29 y.,Direct migration background,Central Asia,0.06269,34,418,0.03942,0.08596
1997,17-29 y.,Direct migration background,Western Asia,0.26856,167,418,0.22602,0.31110
1997,17-29 y.,Direct migration background,Eastern Europe,0.23027,98,418,0.18986,0.27068
1997,30-45 y.,Direct migration background,Southern Europe,0.23794,268,700,0.20637,0.26951
1997,30-45 y.,Direct migration background,Central Asia,0.04335,40,700,0.02825,0.05844
1997,30-45 y.,Direct migration background,Western Asia,0.18707,239,700,0.15816,0.21598
1997,30-45 y.,Direct migration background,Eastern Europe,0.23125,153,700,0.19999,0.26251
1997,46-65 y.,Direct migration background,Southern Europe,0.26594,410,778,0.23487,0.29701
1997,46-65 y.,Direct migration background,Western Asia,0.15318,207,778,0.12786,0.17851
1997,46-65 y.,Direct migration background,Eastern Europe,0.26456,161,778,0.23354,0.29557
1997,66 and older,Direct migration background,Southern Europe,0.08945,57,136,0.04130,0.13759
1997,66 and older,Direct migration background,Eastern Europe,0.37853,79,136,0.29671,0.46035
1998,17-29 y.,Direct migration background,Southern Europe,0.16615,94,378,0.12858,0.20373
1998,17-29 y.,Direct migration background,Central Asia,0.09702,41,378,0.06714,0.12689
1998,17-29 y.,Direct migration background,Western Asia,0.27107,143,378,0.22620,0.31594
1998,17-29 y.,Direct migration background,Eastern Europe,0.24553,100,378,0.20208,0.28898
1998,30-45 y.,Direct migration background,Southern Europe,0.24700,251,680,0.21456,0.27944
1998,30-45 y.,Direct migration background,Central Asia,0.06128,45,680,0.04324,0.07933
1998,30-45 y.,Direct migration background,Western Asia,0.21129,234,680,0.18058,0.24199
1998,30-45 y.,Direct migration background,Eastern Europe,0.22475,150,680,0.19335,0.25614
1998,46-65 y.,Direct migration background,Southern Europe,0.28718,392,759,0.25497,0.31939
1998,46-65 y.,Direct migration background,Western Asia,0.16003,192,759,0.13393,0.18613
1998,46-65 y.,Direct migration background,Eastern Europe,0.24436,175,759,0.21377,0.27495
1998,66 and older,Direct migration background,Southern Europe,0.09719,53,146,0.04898,0.14541
1998,66 and older,Direct migration background,Eastern Europe,0.41261,93,146,0.33248,0.49274
1999,17-29 y.,Direct migration background,Southern Europe,0.16750,75,327,0.12696,0.20804
1999,17-29 y.,Direct migration background,Central Asia,0.11779,42,327,0.08279,0.15278
1999,17-29 y.,Direct migration background,Western Asia,0.25348,112,327,0.20626,0.30070
1999,17-29 y.,Direct migration background,Eastern Europe,0.27938,98,327,0.23068,0.32809
1999,30-45 y.,Direct migration background,Southern Europe,0.22607,215,646,0.19379,0.25835
1999,30-45 y.,Direct migration background,Central Asia,0.05848,40,646,0.04037,0.07659
1999,30-45 y.,Direct migration background,Western Asia,0.24641,254,646,0.21316,0.27967
1999,30-45 y.,Direct migration background,Eastern Europe,0.21657,137,646,0.18478,0.24836
1999,46-65 y.,Direct migration background,Southern Europe,0.29542,363,708,0.26179,0.32905
1999,46-65 y.,Direct migration background,Western Asia,0.16804,177,708,0.14048,0.19560
1999,46-65 y.,Direct migration background,Eastern Europe,0.26035,168,708,0.22800,0.29270
1999,66 and older,Direct migration background,Southern Europe,0.10383,55,159,0.05627,0.15140
1999,66 and older,Direct migration background,Eastern Europe,0.48146,104,159,0.40355,0.55937
