year,age_gr,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Germany,0.90325,2441,3284,0.89314,0.91337
1984,17-29 y.,Southern Europe,0.02279,404,3284,0.01768,0.02789
1984,17-29 y.,Western Asia,0.03334,439,3284,0.02720,0.03948
1984,30-45 y.,Germany,0.86578,2517,3663,0.85474,0.87682
1984,30-45 y.,Southern Europe,0.03620,684,3663,0.03015,0.04225
1984,30-45 y.,Western Asia,0.03546,382,3663,0.02947,0.04145
1984,30-45 y.,Eastern Europe,0.01456,49,3663,0.01068,0.01844
1984,30-45 y.,Western Europe,0.01084,31,3663,0.00749,0.01420
1984,46-65 y.,Germany,0.90207,2608,3358,0.89202,0.91213
1984,46-65 y.,Southern Europe,0.02107,489,3358,0.01621,0.02593
1984,46-65 y.,Western Asia,0.01330,209,3358,0.00943,0.01718
1984,46-65 y.,Eastern Europe,0.01872,52,3358,0.01413,0.02330
1984,66 and older,Germany,0.97875,1232,1232,0.97069,0.98680
1985,17-29 y.,Germany,0.91163,2315,3010,0.90149,0.92177
1985,17-29 y.,Southern Europe,0.02207,329,3010,0.01682,0.02732
1985,17-29 y.,Western Asia,0.02876,366,3010,0.02279,0.03473
1985,30-45 y.,Germany,0.86482,2294,3263,0.85309,0.87656
1985,30-45 y.,Southern Europe,0.03670,567,3263,0.03025,0.04315
1985,30-45 y.,Western Asia,0.03282,325,3263,0.02671,0.03894
1985,30-45 y.,Eastern Europe,0.01453,46,3263,0.01042,0.01863
1985,30-45 y.,Western Europe,0.01236,31,3263,0.00857,0.01616
1985,46-65 y.,Germany,0.89908,2441,3123,0.88851,0.90964
1985,46-65 y.,Southern Europe,0.02288,455,3123,0.01764,0.02813
1985,46-65 y.,Western Asia,0.01168,173,3123,0.00791,0.01545
1985,46-65 y.,Eastern Europe,0.02033,54,3123,0.01538,0.02528
1985,66 and older,Germany,0.97204,1070,1070,0.96216,0.98192
1986,17-29 y.,Germany,0.91131,2256,2930,0.90101,0.92161
1986,17-29 y.,Southern Europe,0.02103,311,2930,0.01584,0.02623
1986,17-29 y.,Western Asia,0.03028,363,2930,0.02408,0.03649
1986,30-45 y.,Germany,0.85954,2167,3038,0.84718,0.87190
1986,30-45 y.,Southern Europe,0.03743,529,3038,0.03068,0.04418
1986,30-45 y.,Western Asia,0.03312,298,3038,0.02676,0.03949
1986,30-45 y.,Eastern Europe,0.01526,44,3038,0.01090,0.01962
1986,46-65 y.,Germany,0.89364,2354,3052,0.88270,0.90458
1986,46-65 y.,Southern Europe,0.02453,446,3052,0.01904,0.03002
1986,46-65 y.,Western Asia,0.01326,197,3052,0.00920,0.01732
1986,46-65 y.,Eastern Europe,0.02181,55,3052,0.01663,0.02699
1986,66 and older,Germany,0.95921,981,981,0.94682,0.97159
1987,17-29 y.,Germany,0.90761,2214,2891,0.89705,0.91817
1987,17-29 y.,Southern Europe,0.02134,300,2891,0.01607,0.02661
1987,17-29 y.,Western Asia,0.03366,377,2891,0.02709,0.04024
1987,30-45 y.,Germany,0.85731,2116,2946,0.84468,0.86995
1987,30-45 y.,Southern Europe,0.03967,510,2946,0.03262,0.04671
1987,30-45 y.,Western Asia,0.03424,279,2946,0.02768,0.04081
1987,30-45 y.,Eastern Europe,0.01420,41,2946,0.00992,0.01847
1987,46-65 y.,Germany,0.88396,2298,3028,0.87255,0.89537
1987,46-65 y.,Southern Europe,0.02767,455,3028,0.02183,0.03351
1987,46-65 y.,Western Asia,0.01605,216,3028,0.01157,0.02053
1987,46-65 y.,Eastern Europe,0.02412,59,3028,0.01866,0.02959
1987,66 and older,Germany,0.95793,1012,1012,0.94556,0.97031
1988,17-29 y.,Germany,0.90878,2104,2760,0.89803,0.91952
1988,17-29 y.,Southern Europe,0.01890,272,2760,0.01382,0.02398
1988,17-29 y.,Western Asia,0.03345,384,2760,0.02674,0.04016
1988,30-45 y.,Germany,0.86969,2019,2760,0.85713,0.88225
1988,30-45 y.,Southern Europe,0.03681,463,2760,0.02978,0.04383
1988,30-45 y.,Western Asia,0.02963,241,2760,0.02330,0.03595
1988,30-45 y.,Eastern Europe,0.01347,37,2760,0.00917,0.01777
1988,46-65 y.,Germany,0.88385,2207,2936,0.87226,0.89544
1988,46-65 y.,Southern Europe,0.02553,446,2936,0.01982,0.03123
1988,46-65 y.,Western Asia,0.01666,223,2936,0.01203,0.02129
1988,46-65 y.,Eastern Europe,0.02569,60,2936,0.01997,0.03142
1988,66 and older,Germany,0.95374,973,973,0.94053,0.96694
1989,17-29 y.,Germany,0.90267,2090,2720,0.89153,0.91381
1989,17-29 y.,Southern Europe,0.01922,242,2720,0.01406,0.02438
1989,17-29 y.,Western Asia,0.03806,388,2720,0.03087,0.04525
1989,30-45 y.,Germany,0.86759,1966,2644,0.85467,0.88051
1989,30-45 y.,Southern Europe,0.03999,447,2644,0.03252,0.04746
1989,30-45 y.,Western Asia,0.03042,231,2644,0.02387,0.03697
1989,46-65 y.,Germany,0.87400,2078,2814,0.86173,0.88626
1989,46-65 y.,Southern Europe,0.02929,440,2814,0.02305,0.03552
1989,46-65 y.,Western Asia,0.01936,234,2814,0.01427,0.02446
1989,46-65 y.,Eastern Europe,0.02757,62,2814,0.02152,0.03362
1989,66 and older,Germany,0.94518,942,942,0.93063,0.95972
1990,17-29 y.,Germany,0.91623,3157,3740,0.90735,0.92511
1990,17-29 y.,Southern Europe,0.01524,223,3740,0.01131,0.01916
1990,17-29 y.,Western Asia,0.03202,360,3740,0.02638,0.03766
1990,30-45 y.,Germany,0.88919,3431,4130,0.87962,0.89877
1990,30-45 y.,Southern Europe,0.03304,434,4130,0.02759,0.03849
1990,30-45 y.,Western Asia,0.02497,222,4130,0.02021,0.02973
1990,30-45 y.,Eastern Europe,0.01071,43,4130,0.00757,0.01385
1990,46-65 y.,Germany,0.87685,3271,4051,0.86673,0.88697
1990,46-65 y.,Southern Europe,0.02665,435,4051,0.02169,0.03161
1990,46-65 y.,Western Asia,0.01779,237,4051,0.01372,0.02187
1990,46-65 y.,Eastern Europe,0.02934,108,4051,0.02415,0.03454
1990,66 and older,Germany,0.94265,1357,1357,0.93028,0.95503
1991,17-29 y.,Germany,0.91362,3031,3589,0.90442,0.92281
1991,17-29 y.,Southern Europe,0.01586,201,3589,0.01178,0.01995
1991,17-29 y.,Western Asia,0.03592,357,3589,0.02983,0.04201
1991,30-45 y.,Germany,0.88849,3479,4141,0.87890,0.89808
1991,30-45 y.,Southern Europe,0.03206,412,4141,0.02670,0.03743
1991,30-45 y.,Western Asia,0.02439,205,4141,0.01969,0.02909
1991,30-45 y.,Eastern Europe,0.01164,45,4141,0.00837,0.01490
1991,46-65 y.,Germany,0.86727,3131,3923,0.85665,0.87789
1991,46-65 y.,Southern Europe,0.03005,430,3923,0.02470,0.03539
1991,46-65 y.,Western Asia,0.02187,253,3923,0.01729,0.02645
1991,46-65 y.,Eastern Europe,0.03055,109,3923,0.02517,0.03594
1991,66 and older,Germany,0.93245,1323,1323,0.91892,0.94598
1992,17-29 y.,Germany,0.90910,2946,3472,0.89954,0.91867
1992,17-29 y.,Southern Europe,0.01807,189,3472,0.01364,0.02250
