year,migback,quintil_oecd,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Direct migration background,1st Quintile,Southern Europe,0.23157,419,877,0.20363,0.25950
1984,Direct migration background,1st Quintile,Western Asia,0.39892,458,877,0.36649,0.43134
1984,Direct migration background,2nd Quintile,Southern Europe,0.20971,343,605,0.17724,0.24217
1984,Direct migration background,2nd Quintile,Western Asia,0.24998,262,605,0.21545,0.28451
1984,Direct migration background,3rd Quintile,Southern Europe,0.25778,302,484,0.21877,0.29678
1984,Direct migration background,3rd Quintile,Western Asia,0.16769,151,484,0.13437,0.20101
1984,Direct migration background,3rd Quintile,Eastern Europe,0.14586,31,484,0.11438,0.17734
1984,Direct migration background,4th Quintile,Southern Europe,0.25589,324,439,0.21503,0.29676
1984,Direct migration background,4th Quintile,Western Asia,0.15182,115,439,0.11822,0.18543
1984,Direct migration background,5th Quintile,Southern Europe,0.17122,192,241,0.12356,0.21888
1984,Direct migration background,5th Quintile,Western Asia,0.07255,49,241,0.03974,0.10537
1985,Direct migration background,1st Quintile,Southern Europe,0.23239,369,765,0.20244,0.26234
1985,Direct migration background,1st Quintile,Western Asia,0.35295,396,765,0.31906,0.38684
1985,Direct migration background,2nd Quintile,Southern Europe,0.23719,286,514,0.20038,0.27400
1985,Direct migration background,2nd Quintile,Western Asia,0.24601,228,514,0.20874,0.28328
1985,Direct migration background,3rd Quintile,Southern Europe,0.26229,292,430,0.22066,0.30391
1985,Direct migration background,3rd Quintile,Western Asia,0.18005,138,430,0.14369,0.21641
1985,Direct migration background,4th Quintile,Southern Europe,0.24293,256,336,0.19700,0.28885
1985,Direct migration background,4th Quintile,Western Asia,0.09109,80,336,0.06027,0.12190
1985,Direct migration background,5th Quintile,Southern Europe,0.17275,153,153,0.11266,0.23285
1986,Direct migration background,1st Quintile,Southern Europe,0.23495,338,669,0.20280,0.26710
1986,Direct migration background,1st Quintile,Western Asia,0.32152,331,669,0.28610,0.35694
1986,Direct migration background,2nd Quintile,Southern Europe,0.20294,260,531,0.16870,0.23718
1986,Direct migration background,2nd Quintile,Western Asia,0.25182,271,531,0.21486,0.28877
1986,Direct migration background,3rd Quintile,Southern Europe,0.22806,272,449,0.18921,0.26692
1986,Direct migration background,3rd Quintile,Western Asia,0.18770,146,449,0.15154,0.22386
1986,Direct migration background,3rd Quintile,Eastern Europe,0.18703,31,449,0.15092,0.22314
1986,Direct migration background,4th Quintile,Southern Europe,0.28550,281,375,0.23972,0.33127
1986,Direct migration background,4th Quintile,Western Asia,0.12162,94,375,0.08849,0.15475
1986,Direct migration background,5th Quintile,Southern Europe,0.17346,142,142,0.11096,0.23596
1987,Direct migration background,1st Quintile,Southern Europe,0.22276,318,672,0.19128,0.25424
1987,Direct migration background,1st Quintile,Western Asia,0.35165,354,672,0.31552,0.38778
1987,Direct migration background,2nd Quintile,Southern Europe,0.23189,273,530,0.19592,0.26786
1987,Direct migration background,2nd Quintile,Western Asia,0.25587,257,530,0.21869,0.29306
1987,Direct migration background,3rd Quintile,Southern Europe,0.25557,285,434,0.21448,0.29665
1987,Direct migration background,3rd Quintile,Western Asia,0.18943,149,434,0.15252,0.22634
1987,Direct migration background,4th Quintile,Southern Europe,0.26285,255,350,0.21667,0.30903
1987,Direct migration background,4th Quintile,Western Asia,0.12393,95,350,0.08936,0.15850
1987,Direct migration background,5th Quintile,Southern Europe,0.17230,144,144,0.11040,0.23419
1988,Direct migration background,1st Quintile,Southern Europe,0.19828,276,644,0.16746,0.22910
1988,Direct migration background,1st Quintile,Western Asia,0.34663,368,644,0.30985,0.38342
1988,Direct migration background,2nd Quintile,Southern Europe,0.24056,284,498,0.20298,0.27814
1988,Direct migration background,2nd Quintile,Western Asia,0.23110,214,498,0.19404,0.26816
1988,Direct migration background,3rd Quintile,Southern Europe,0.24703,255,405,0.20498,0.28909
1988,Direct migration background,3rd Quintile,Western Asia,0.19840,150,405,0.15951,0.23729
1988,Direct migration background,4th Quintile,Southern Europe,0.22341,255,381,0.18153,0.26529
1988,Direct migration background,4th Quintile,Western Asia,0.10800,95,381,0.07680,0.13921
1988,Direct migration background,4th Quintile,Eastern Europe,0.18183,31,381,0.14305,0.22061
1988,Direct migration background,5th Quintile,Southern Europe,0.17503,124,124,0.10787,0.24218
1989,Direct migration background,1st Quintile,Southern Europe,0.20777,269,661,0.17681,0.23872
1989,Direct migration background,1st Quintile,Western Asia,0.36519,392,661,0.32845,0.40192
1989,Direct migration background,2nd Quintile,Southern Europe,0.23325,281,539,0.19751,0.26898
1989,Direct migration background,2nd Quintile,Western Asia,0.27455,258,539,0.23684,0.31226
1989,Direct migration background,3rd Quintile,Southern Europe,0.21018,236,350,0.16743,0.25293
1989,Direct migration background,3rd Quintile,Western Asia,0.14078,114,350,0.10429,0.17727
1989,Direct migration background,4th Quintile,Southern Europe,0.29691,245,324,0.24708,0.34674
1989,Direct migration background,4th Quintile,Western Asia,0.11107,79,324,0.07680,0.14534
1989,Direct migration background,5th Quintile,Southern Europe,0.16990,110,110,0.09940,0.24041
1990,Direct migration background,1st Quintile,Southern Europe,0.21117,289,677,0.18040,0.24193
1990,Direct migration background,1st Quintile,Western Asia,0.37125,388,677,0.33483,0.40767
1990,Direct migration background,2nd Quintile,Southern Europe,0.22361,239,452,0.18515,0.26206
1990,Direct migration background,2nd Quintile,Western Asia,0.25829,213,452,0.21789,0.29868
