year,migback,sex,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Direct migration background,male,Southern Europe,0.26140,877,1501,0.23917,0.28364
1984,Direct migration background,male,Western Asia,0.23870,544,1501,0.21712,0.26027
1984,Direct migration background,male,Eastern Europe,0.09747,49,1501,0.08246,0.11248
1984,Direct migration background,male,Western Europe,0.06127,31,1501,0.04914,0.07341
1984,Direct migration background,female,Southern Europe,0.19055,706,1306,0.16924,0.21186
1984,Direct migration background,female,Western Asia,0.21541,491,1306,0.19311,0.23772
1984,Direct migration background,female,Eastern Europe,0.14527,72,1306,0.12615,0.16439
1984,Direct migration background,female,Western Europe,0.06824,37,1306,0.05456,0.08192
1985,Direct migration background,male,Southern Europe,0.26656,747,1260,0.24213,0.29098
1985,Direct migration background,male,Western Asia,0.21546,465,1260,0.19275,0.23817
1985,Direct migration background,male,Eastern Europe,0.10016,48,1260,0.08358,0.11674
1985,Direct migration background,female,Southern Europe,0.19577,610,1121,0.17253,0.21901
1985,Direct migration background,female,Western Asia,0.18933,403,1121,0.16639,0.21228
1985,Direct migration background,female,Eastern Europe,0.15777,72,1121,0.13642,0.17911
1985,Direct migration background,female,Western Europe,0.07277,36,1121,0.05756,0.08798
1986,Direct migration background,male,Southern Europe,0.26082,723,1239,0.23637,0.28528
1986,Direct migration background,male,Western Asia,0.21487,468,1239,0.19199,0.23775
1986,Direct migration background,male,Eastern Europe,0.10471,48,1239,0.08765,0.12176
1986,Direct migration background,female,Southern Europe,0.18873,572,1073,0.16531,0.21216
1986,Direct migration background,female,Western Asia,0.18604,394,1073,0.16274,0.20933
1986,Direct migration background,female,Eastern Europe,0.16842,73,1073,0.14602,0.19082
1986,Direct migration background,female,Western Europe,0.06694,34,1073,0.05198,0.08190
1987,Direct migration background,male,Southern Europe,0.26544,710,1230,0.24075,0.29013
1987,Direct migration background,male,Western Asia,0.22226,471,1230,0.19901,0.24550
1987,Direct migration background,male,Eastern Europe,0.10370,49,1230,0.08665,0.12074
1987,Direct migration background,female,Southern Europe,0.19431,566,1047,0.17033,0.21829
1987,Direct migration background,female,Western Asia,0.19627,404,1047,0.17220,0.22034
1987,Direct migration background,female,Eastern Europe,0.17400,77,1047,0.15102,0.19697
1988,Direct migration background,male,Southern Europe,0.25429,659,1162,0.22924,0.27934
1988,Direct migration background,male,Western Asia,0.21722,454,1162,0.19350,0.24094
1988,Direct migration background,male,Eastern Europe,0.11758,49,1162,0.09905,0.13611
1988,Direct migration background,female,Southern Europe,0.18011,535,1010,0.15640,0.20382
1988,Direct migration background,female,Western Asia,0.19144,399,1010,0.16716,0.21571
1988,Direct migration background,female,Eastern Europe,0.18350,76,1010,0.15962,0.20739
1989,Direct migration background,male,Southern Europe,0.26185,623,1123,0.23612,0.28757
1989,Direct migration background,male,Western Asia,0.22653,451,1123,0.20204,0.25102
1989,Direct migration background,male,Eastern Europe,0.11518,49,1123,0.09650,0.13386
1989,Direct migration background,female,Southern Europe,0.18671,518,1002,0.16257,0.21085
1989,Direct migration background,female,Western Asia,0.19755,404,1002,0.17288,0.22221
1989,Direct migration background,female,Eastern Europe,0.18526,80,1002,0.16120,0.20933
1990,Direct migration background,male,Southern Europe,0.24836,611,1124,0.22309,0.27363
1990,Direct migration background,male,Western Asia,0.21314,439,1124,0.18918,0.23709
1990,Direct migration background,male,Eastern Europe,0.12245,74,1124,0.10328,0.14162
1990,Direct migration background,female,Southern Europe,0.17388,496,997,0.15034,0.19742
1990,Direct migration background,female,Western Asia,0.18535,385,997,0.16121,0.20948
1990,Direct migration background,female,Eastern Europe,0.20265,116,997,0.17769,0.22762
1991,Direct migration background,male,Southern Europe,0.24664,586,1100,0.22115,0.27212
1991,Direct migration background,male,Western Asia,0.22257,439,1100,0.19797,0.24716
1991,Direct migration background,male,Eastern Europe,0.12376,75,1100,0.10429,0.14323
1991,Direct migration background,female,Southern Europe,0.17580,478,982,0.15198,0.19962
1991,Direct migration background,female,Western Asia,0.19206,381,982,0.16741,0.21671
1991,Direct migration background,female,Eastern Europe,0.20899,123,982,0.18355,0.23443
1992,Direct migration background,male,Southern Europe,0.26907,567,1073,0.24252,0.29562
1992,Direct migration background,male,Western Asia,0.22576,430,1073,0.20073,0.25079
1992,Direct migration background,male,Eastern Europe,0.12246,76,1073,0.10284,0.14209
1992,Direct migration background,female,Southern Europe,0.18549,458,995,0.16133,0.20965
1992,Direct migration background,female,Western Asia,0.19990,378,995,0.17504,0.22477
1992,Direct migration background,female,Eastern Europe,0.20109,125,995,0.17617,0.22601
1992,Direct migration background,female,Western Europe,0.07837,34,995,0.06167,0.09508
1993,Direct migration background,male,Southern Europe,0.26927,551,1040,0.24229,0.29624
1993,Direct migration background,male,Western Asia,0.22759,415,1040,0.20209,0.25308
1993,Direct migration background,male,Eastern Europe,0.11508,74,1040,0.09567,0.13448
1993,Direct migration background,female,Southern Europe,0.20337,457,972,0.17805,0.22869
1993,Direct migration background,female,Western Asia,0.19828,360,972,0.17320,0.22336
1993,Direct migration background,female,Eastern Europe,0.19813,124,972,0.17306,0.22320
1993,Direct migration background,female,Western Europe,0.07726,31,972,0.06047,0.09406
1994,Direct migration background,male,Southern Europe,0.27788,520,975,0.24975,0.30601
1994,Direct migration background,male,Western Asia,0.22117,380,975,0.19510,0.24723
1994,Direct migration background,male,Eastern Europe,0.12151,75,975,0.10099,0.14203
1994,Direct migration background,female,Southern Europe,0.21109,443,935,0.18492,0.23727
1994,Direct migration background,female,Western Asia,0.19872,338,935,0.17313,0.22431
1994,Direct migration background,female,Eastern Europe,0.18662,122,935,0.16163,0.21161
1994,Direct migration background,female,Western Europe,0.07891,32,935,0.06162,0.09620
1995,Direct migration background,male,Southern Europe,0.22094,514,1157,0.19702,0.24486
1995,Direct migration background,male,Central Asia,0.02558,42,1157,0.01647,0.03468
1995,Direct migration background,male,Western Asia,0.17233,369,1157,0.15056,0.19410
1995,Direct migration background,male,Eastern Europe,0.22301,232,1157,0.19901,0.24700
1995,Direct migration background,female,Southern Europe,0.17348,438,1141,0.15150,0.19546
1995,Direct migration background,female,Central Asia,0.02412,40,1141,0.01521,0.03302
1995,Direct migration background,female,Western Asia,0.15137,340,1141,0.13056,0.17217
1995,Direct migration background,female,Eastern Europe,0.27676,284,1141,0.25079,0.30273
1995,Direct migration background,female,Western Europe,0.07199,39,1141,0.05699,0.08699
1996,Direct migration background,male,Southern Europe,0.23204,483,1084,0.20690,0.25718
1996,Direct migration background,male,Central Asia,0.02763,44,1084,0.01786,0.03739
1996,Direct migration background,male,Western Asia,0.17378,345,1084,0.15121,0.19634
1996,Direct migration background,male,Eastern Europe,0.21496,212,1084,0.19049,0.23943
1996,Direct migration background,female,Southern Europe,0.18324,412,1090,0.16026,0.20622
1996,Direct migration background,female,Central Asia,0.02771,44,1090,0.01796,0.03746
1996,Direct migration background,female,Western Asia,0.15076,320,1090,0.12951,0.17202
1996,Direct migration background,female,Eastern Europe,0.27671,277,1090,0.25014,0.30328
1996,Direct migration background,female,Western Europe,0.06951,37,1090,0.05440,0.08461
1997,Direct migration background,male,Southern Europe,0.24212,466,1054,0.21625,0.26799
1997,Direct migration background,male,Central Asia,0.03259,49,1054,0.02187,0.04332
1997,Direct migration background,male,Western Asia,0.17186,326,1054,0.14908,0.19465
1997,Direct migration background,male,Eastern Europe,0.22479,213,1054,0.19958,0.25000
1997,Direct migration background,female,Southern Europe,0.19148,388,1049,0.16766,0.21530
1997,Direct migration background,female,Central Asia,0.03103,46,1049,0.02053,0.04152
1997,Direct migration background,female,Western Asia,0.15572,300,1049,0.13377,0.17767
1997,Direct migration background,female,Eastern Europe,0.30588,278,1049,0.27798,0.33378
1997,Direct migration background,female,Western Europe,0.06538,37,1049,0.05042,0.08035
1998,Direct migration background,male,Southern Europe,0.25615,437,1023,0.22939,0.28291
1998,Direct migration background,male,Central Asia,0.04482,56,1023,0.03214,0.05751
1998,Direct migration background,male,Western Asia,0.17986,297,1023,0.15632,0.20341
1998,Direct migration background,male,Eastern Europe,0.23566,233,1023,0.20964,0.26168
1998,Direct migration background,female,Southern Europe,0.19471,353,1015,0.17034,0.21908
1998,Direct migration background,female,Central Asia,0.04317,54,1015,0.03066,0.05568
1998,Direct migration background,female,Western Asia,0.16627,286,1015,0.14335,0.18919
1998,Direct migration background,female,Eastern Europe,0.29104,285,1015,0.26308,0.31900
1998,Direct migration background,female,Western Europe,0.06310,37,1015,0.04814,0.07807
1999,Direct migration background,male,Southern Europe,0.25285,390,956,0.22529,0.28042
1999,Direct migration background,male,Central Asia,0.04309,50,956,0.03021,0.05597
1999,Direct migration background,male,Western Asia,0.19570,289,956,0.17054,0.22086
1999,Direct migration background,male,Eastern Europe,0.25306,227,956,0.22549,0.28064
1999,Direct migration background,female,Southern Europe,0.19246,318,962,0.16753,0.21738
1999,Direct migration background,female,Central Asia,0.04805,53,962,0.03452,0.06157
1999,Direct migration background,female,Western Asia,0.17044,275,962,0.14667,0.19421
1999,Direct migration background,female,Eastern Europe,0.31885,280,962,0.28939,0.34832
1999,Direct migration background,female,Western Europe,0.07598,36,962,0.05923,0.09274
2000,Direct migration background,male,Southern Europe,0.21671,444,1410,0.19520,0.23822
2000,Direct migration background,male,Central Asia,0.06784,111,1410,0.05471,0.08097
2000,Direct migration background,male,Western Asia,0.20482,385,1410,0.18375,0.22590
2000,Direct migration background,male,Eastern Europe,0.27472,414,1410,0.25141,0.29803
2000,Direct migration background,male,Western Europe,0.05818,56,1410,0.04595,0.07040
2000,Direct migration background,female,Southern Europe,0.18338,387,1472,0.16360,0.20315
2000,Direct migration background,female,Central Asia,0.07244,121,1472,0.05919,0.08569
2000,Direct migration background,female,Western Asia,0.15860,342,1472,0.13993,0.17727
2000,Direct migration background,female,Eastern Europe,0.35739,542,1472,0.33290,0.38188
2000,Direct migration background,female,Western Europe,0.07551,80,1472,0.06201,0.08901
2001,Direct migration background,male,Southern Europe,0.20625,392,1253,0.18384,0.22867
2001,Direct migration background,male,Central Asia,0.08166,106,1253,0.06649,0.09683
2001,Direct migration background,male,Western Asia,0.21271,345,1253,0.19004,0.23538
2001,Direct migration background,male,Eastern Europe,0.27659,363,1253,0.25181,0.30136
2001,Direct migration background,male,Western Europe,0.05582,47,1253,0.04310,0.06853
