year,migback,sampreg,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Direct migration background,West,Southern Europe,0.22680,1583,2807,0.21130,0.24229
1984,Direct migration background,West,Western Asia,0.22732,1035,2807,0.21182,0.24283
1984,Direct migration background,West,Eastern Europe,0.12081,121,2807,0.10875,0.13287
1984,Direct migration background,West,Western Europe,0.06468,68,2807,0.05558,0.07378
1985,Direct migration background,West,Southern Europe,0.23193,1357,2410,0.21508,0.24879
1985,Direct migration background,West,Western Asia,0.20268,868,2410,0.18663,0.21873
1985,Direct migration background,West,Eastern Europe,0.12834,120,2410,0.11498,0.14169
1985,Direct migration background,West,Western Europe,0.06871,65,2410,0.05860,0.07881
1986,Direct migration background,West,Southern Europe,0.22585,1295,2339,0.20890,0.24280
1986,Direct migration background,West,Western Asia,0.20088,862,2339,0.18464,0.21712
1986,Direct migration background,West,Eastern Europe,0.13562,121,2339,0.12174,0.14950
1986,Direct migration background,West,Western Europe,0.06355,61,2339,0.05366,0.07343
1987,Direct migration background,West,Southern Europe,0.23094,1276,2330,0.21383,0.24806
1987,Direct migration background,West,Western Asia,0.20965,875,2330,0.19312,0.22619
1987,Direct migration background,West,Eastern Europe,0.13779,126,2330,0.12379,0.15179
1987,Direct migration background,West,Western Europe,0.05537,53,2330,0.04609,0.06466
1988,Direct migration background,West,Southern Europe,0.21801,1194,2223,0.20084,0.23517
1988,Direct migration background,West,Western Asia,0.20461,853,2223,0.18783,0.22138
1988,Direct migration background,West,Eastern Europe,0.14983,125,2223,0.13499,0.16467
1988,Direct migration background,West,Western Europe,0.05553,51,2223,0.04600,0.06505
1989,Direct migration background,West,Southern Europe,0.22449,1141,2173,0.20694,0.24204
1989,Direct migration background,West,Western Asia,0.21212,855,2173,0.19493,0.22931
1989,Direct migration background,West,Eastern Europe,0.15002,129,2173,0.13501,0.16504
1989,Direct migration background,West,Western Europe,0.05421,48,2173,0.04469,0.06374
1990,Direct migration background,West,Southern Europe,0.22790,1107,2109,0.20999,0.24580
1990,Direct migration background,West,Western Asia,0.21487,824,2109,0.19734,0.23241
1990,Direct migration background,West,Eastern Europe,0.14383,128,2109,0.12885,0.15881
1990,Direct migration background,West,Western Europe,0.05610,50,2109,0.04627,0.06592
1990,Direct migration background,East,Eastern Europe,0.39830,62,62,0.27544,0.52115
1991,Direct migration background,West,Southern Europe,0.22998,1064,2069,0.21185,0.24812
1991,Direct migration background,West,Western Asia,0.22561,820,2069,0.20759,0.24362
1991,Direct migration background,West,Eastern Europe,0.14298,135,2069,0.12790,0.15807
1991,Direct migration background,West,Western Europe,0.05619,50,2069,0.04626,0.06611
1991,Direct migration background,East,Eastern Europe,0.42980,63,63,0.30657,0.55303
1992,Direct migration background,West,Southern Europe,0.24791,1025,2021,0.22908,0.26674
1992,Direct migration background,West,Western Asia,0.23188,808,2021,0.21348,0.25029
1992,Direct migration background,West,Eastern Europe,0.13687,136,2021,0.12188,0.15186
1992,Direct migration background,West,Western Europe,0.06650,52,2021,0.05564,0.07737
1992,Direct migration background,East,Eastern Europe,0.43740,65,65,0.31586,0.55894
1993,Direct migration background,West,Southern Europe,0.25657,1008,1971,0.23729,0.27586
1993,Direct migration background,West,Western Asia,0.23076,775,1971,0.21216,0.24937
1993,Direct migration background,West,Eastern Europe,0.13316,137,1971,0.11815,0.14816
1993,Direct migration background,West,Western Europe,0.06936,51,1971,0.05814,0.08058
1993,Direct migration background,East,Eastern Europe,0.42899,61,61,0.30376,0.55423
1994,Direct migration background,West,Southern Europe,0.26704,963,1867,0.24697,0.28711
1994,Direct migration background,West,Western Asia,0.22904,718,1867,0.20997,0.24810
1994,Direct migration background,West,Eastern Europe,0.12914,134,1867,0.11392,0.14435
1994,Direct migration background,West,Western Europe,0.07206,52,1867,0.06032,0.08379
1994,Direct migration background,East,Eastern Europe,0.42506,63,63,0.30200,0.54811
1995,Direct migration background,West,Southern Europe,0.21213,952,2258,0.19527,0.22900
1995,Direct migration background,West,Central Asia,0.02670,82,2258,0.02005,0.03335
1995,Direct migration background,West,Western Asia,0.17400,709,2258,0.15836,0.18964
1995,Direct migration background,West,Eastern Europe,0.23691,454,2258,0.21936,0.25445
1995,Direct migration background,West,Western Europe,0.06167,61,2258,0.05175,0.07160
1995,Direct migration background,East,Eastern Europe,0.42046,62,62,0.29658,0.54433
1996,Direct migration background,West,Southern Europe,0.22312,895,2137,0.20546,0.24078
1996,Direct migration background,West,Central Asia,0.02971,88,2137,0.02251,0.03692
1996,Direct migration background,West,Western Asia,0.17433,665,2137,0.15824,0.19042
1996,Direct migration background,West,Eastern Europe,0.23380,429,2137,0.21585,0.25175
1996,Direct migration background,West,Western Europe,0.06371,60,2137,0.05335,0.07407
1996,Direct migration background,East,Eastern Europe,0.40644,60,60,0.28110,0.53177
1997,Direct migration background,West,Southern Europe,0.23267,854,2065,0.21444,0.25090
1997,Direct migration background,West,Central Asia,0.03411,95,2065,0.02628,0.04194
1997,Direct migration background,West,Western Asia,0.17567,626,2065,0.15925,0.19209
1997,Direct migration background,West,Eastern Europe,0.25208,430,2065,0.23335,0.27081
1997,Direct migration background,West,Western Europe,0.06277,60,2065,0.05231,0.07324
1997,Direct migration background,East,Eastern Europe,0.44370,61,61,0.31799,0.56942
1998,Direct migration background,West,Southern Europe,0.24005,790,1999,0.22132,0.25878
1998,Direct migration background,West,Central Asia,0.04681,110,1999,0.03755,0.05607
1998,Direct migration background,West,Western Asia,0.18416,583,1999,0.16716,0.20116
1998,Direct migration background,West,Eastern Europe,0.24843,457,1999,0.22948,0.26737
1998,Direct migration background,West,Western Europe,0.05708,59,1999,0.04690,0.06725
1998,Direct migration background,East,Eastern Europe,0.49395,61,61,0.36744,0.62046
1999,Direct migration background,West,Southern Europe,0.23599,708,1878,0.21678,0.25520
1999,Direct migration background,West,Central Asia,0.04824,103,1878,0.03855,0.05794
1999,Direct migration background,West,Western Asia,0.19367,563,1878,0.17579,0.21154
1999,Direct migration background,West,Eastern Europe,0.27237,448,1878,0.25223,0.29251
1999,Direct migration background,West,Western Europe,0.06677,56,1878,0.05548,0.07806
1999,Direct migration background,East,Eastern Europe,0.51257,59,59,0.38393,0.64121
2000,Direct migration background,West,Northern America,0.01330,33,2925,0.00915,0.01745
2000,Direct migration background,West,Southern Asia,0.01028,33,2925,0.00662,0.01393
2000,Direct migration background,West,Southern Europe,0.20943,831,2925,0.19468,0.22418
2000,Direct migration background,West,Central Asia,0.07004,221,2925,0.06079,0.07929
2000,Direct migration background,West,Western Asia,0.18948,724,2925,0.17528,0.20369
2000,Direct migration background,West,Eastern Europe,0.30658,875,2925,0.28987,0.32330
2000,Direct migration background,West,Northern Europe,0.02194,44,2925,0.01663,0.02725
2000,Direct migration background,West,Western Europe,0.06919,133,2925,0.05999,0.07838
