"plb0022_h","year","bildungsniveau","migback","n","percent","lower_confidence","upper_confidence"
"Voll erwerbstaetig","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Voll erwerbstaetig","1984","(noch) kein Abschluss","direkter Migrationshintergrund","594","0.533123267874035","0.50317412327894","0.56307241246913"
"Voll erwerbstaetig","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Voll erwerbstaetig","1984","Hauptschulabschluss","kein Migrationshintergrund","2244","0.382168459319742","0.369285505014163","0.395051413625321"
"Voll erwerbstaetig","1984","Hauptschulabschluss","direkter Migrationshintergrund","1098","0.551709193239246","0.528402094661367","0.575016291817126"
"Voll erwerbstaetig","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"Voll erwerbstaetig","1984","Realschulabschluss","kein Migrationshintergrund","771","0.4289271835141","0.405537658796173","0.452316708232028"
"Voll erwerbstaetig","1984","Realschulabschluss","direkter Migrationshintergrund","48","0.364163898514788","0.284455311713084","0.443872485316491"
"Voll erwerbstaetig","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"Voll erwerbstaetig","1984","(Fach-)Abitur","kein Migrationshintergrund","179","0.305153488960138","0.267966239757743","0.342340738162533"
"Voll erwerbstaetig","1984","(Fach-)Abitur","direkter Migrationshintergrund","155","0.436090340798187","0.377479932796926","0.494700748799448"
"Voll erwerbstaetig","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Voll erwerbstaetig","1984","AkademikerInnen","kein Migrationshintergrund","456","0.656164917006152","0.620145103762381","0.692184730249922"
"Voll erwerbstaetig","1984","AkademikerInnen","direkter Migrationshintergrund","80","0.57633684637578","0.488653580781348","0.664020111970212"
"Voll erwerbstaetig","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"Teilzeitbeschaeftigung","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Teilzeitbeschaeftigung","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Teilzeitbeschaeftigung","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Teilzeitbeschaeftigung","1984","Hauptschulabschluss","kein Migrationshintergrund","329","0.0544385071938438","0.0484232943318014","0.0604537200558862"
"Teilzeitbeschaeftigung","1984","Hauptschulabschluss","direkter Migrationshintergrund","64","0.0545988148745555","0.0439511869766636","0.0652464427724473"
"Teilzeitbeschaeftigung","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"Teilzeitbeschaeftigung","1984","Realschulabschluss","kein Migrationshintergrund","120","0.0609709356699012","0.0496629613188736","0.0722789100209289"
"Teilzeitbeschaeftigung","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"Teilzeitbeschaeftigung","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"Teilzeitbeschaeftigung","1984","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Teilzeitbeschaeftigung","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Teilzeitbeschaeftigung","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Teilzeitbeschaeftigung","1984","AkademikerInnen","kein Migrationshintergrund","48","0.070585001730595","0.0511617958806783","0.0900082075805117"
"Teilzeitbeschaeftigung","1984","AkademikerInnen","direkter Migrationshintergrund","","","",""
"Teilzeitbeschaeftigung","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"Ausbildung/Lehre","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Ausbildung/Lehre","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Ausbildung/Lehre","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Ausbildung/Lehre","1984","Hauptschulabschluss","kein Migrationshintergrund","130","0.021854427831006","0.0179780645155179","0.0257307911464941"
"Ausbildung/Lehre","1984","Hauptschulabschluss","direkter Migrationshintergrund","65","0.0245449727219316","0.0172933017819136","0.0317966436619496"
"Ausbildung/Lehre","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"Ausbildung/Lehre","1984","Realschulabschluss","kein Migrationshintergrund","142","0.0777403042512833","0.0650861361221128","0.0903944723804538"
"Ausbildung/Lehre","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"Ausbildung/Lehre","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"Ausbildung/Lehre","1984","(Fach-)Abitur","kein Migrationshintergrund","39","0.0692003068628677","0.0487041437087558","0.0896964700169796"
"Ausbildung/Lehre","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Ausbildung/Lehre","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Ausbildung/Lehre","1984","AkademikerInnen","kein Migrationshintergrund","","","",""
"Ausbildung/Lehre","1984","AkademikerInnen","direkter Migrationshintergrund","","","",""
"Ausbildung/Lehre","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"Geringfuegig erwerbstaetig","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Geringfuegig erwerbstaetig","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Geringfuegig erwerbstaetig","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Geringfuegig erwerbstaetig","1984","Hauptschulabschluss","kein Migrationshintergrund","168","0.028665444943282","0.024241428107911","0.0330894617786531"
"Geringfuegig erwerbstaetig","1984","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"Geringfuegig erwerbstaetig","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"Geringfuegig erwerbstaetig","1984","Realschulabschluss","kein Migrationshintergrund","52","0.0299024405296178","0.0218533855990682","0.0379514954601675"
"Geringfuegig erwerbstaetig","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"Geringfuegig erwerbstaetig","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"Geringfuegig erwerbstaetig","1984","(Fach-)Abitur","kein Migrationshintergrund","39","0.0590154164283213","0.0399842925689361","0.0780465402877065"
"Geringfuegig erwerbstaetig","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Geringfuegig erwerbstaetig","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Geringfuegig erwerbstaetig","1984","AkademikerInnen","kein Migrationshintergrund","","","",""
"Geringfuegig erwerbstaetig","1984","AkademikerInnen","direkter Migrationshintergrund","","","",""
"Geringfuegig erwerbstaetig","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","Hauptschulabschluss","kein Migrationshintergrund","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","Realschulabschluss","kein Migrationshintergrund","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","AkademikerInnen","kein Migrationshintergrund","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","AkademikerInnen","direkter Migrationshintergrund","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"Freiwilliger Wehrdienst","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Freiwilliger Wehrdienst","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Freiwilliger Wehrdienst","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Freiwilliger Wehrdienst","1984","Hauptschulabschluss","kein Migrationshintergrund","","","",""
"Freiwilliger Wehrdienst","1984","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"Freiwilliger Wehrdienst","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"Freiwilliger Wehrdienst","1984","Realschulabschluss","kein Migrationshintergrund","","","",""
"Freiwilliger Wehrdienst","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"Freiwilliger Wehrdienst","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"Freiwilliger Wehrdienst","1984","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Freiwilliger Wehrdienst","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Freiwilliger Wehrdienst","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Freiwilliger Wehrdienst","1984","AkademikerInnen","kein Migrationshintergrund","","","",""
"Freiwilliger Wehrdienst","1984","AkademikerInnen","direkter Migrationshintergrund","","","",""
"Freiwilliger Wehrdienst","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"FSJ/FOeJ/BFD","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"FSJ/FOeJ/BFD","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
