"plb0022_h","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Voll erwerbstaetig","1984","Schleswig-Holstein","kein Migrationshintergrund","144","0.40999909871462","0.357873287530791","0.462124909898448"
"Voll erwerbstaetig","1984","Schleswig-Holstein","direkter Migrationshintergrund","","","",""
"Voll erwerbstaetig","1984","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"Voll erwerbstaetig","1984","Hamburg","kein Migrationshintergrund","90","0.363933670215796","0.30035681052211","0.427510529909481"
"Voll erwerbstaetig","1984","Hamburg","direkter Migrationshintergrund","55","0.556841668373965","0.454212181234386","0.659471155513544"
"Voll erwerbstaetig","1984","Hamburg","indirekter Migrationshintergrund","","","",""
"Voll erwerbstaetig","1984","Niedersachsen","kein Migrationshintergrund","404","0.369006155656781","0.339508948349117","0.398503362964446"
"Voll erwerbstaetig","1984","Niedersachsen","direkter Migrationshintergrund","103","0.446504974759991","0.378118520941373","0.514891428578609"
"Voll erwerbstaetig","1984","Niedersachsen","indirekter Migrationshintergrund","","","",""
"Voll erwerbstaetig","1984","Bremen","kein Migrationshintergrund","","","",""
"Voll erwerbstaetig","1984","Bremen","direkter Migrationshintergrund","","","",""
"Voll erwerbstaetig","1984","Bremen","indirekter Migrationshintergrund","","","",""
"Voll erwerbstaetig","1984","Nordrhein-Westfalen","kein Migrationshintergrund","958","0.397475571793664","0.377366133421861","0.417585010165468"
"Voll erwerbstaetig","1984","Nordrhein-Westfalen","direkter Migrationshintergrund","525","0.485038894570375","0.453407795357441","0.516669993783308"
"Voll erwerbstaetig","1984","Nordrhein-Westfalen","indirekter Migrationshintergrund","","","",""
"Voll erwerbstaetig","1984","Hessen","kein Migrationshintergrund","316","0.391902766006906","0.357354513320076","0.426451018693736"
"Voll erwerbstaetig","1984","Hessen","direkter Migrationshintergrund","278","0.520767691374308","0.4757469562997","0.565788426448917"
"Voll erwerbstaetig","1984","Hessen","indirekter Migrationshintergrund","","","",""
"Voll erwerbstaetig","1984","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","271","0.37219787376626","0.336311461916053","0.408084285616468"
"Voll erwerbstaetig","1984","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","97","0.574594007586957","0.496508564600239","0.652679450573675"
"Voll erwerbstaetig","1984","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","","","",""
"Voll erwerbstaetig","1984","Baden-Wuerttemberg","kein Migrationshintergrund","603","0.422047804447874","0.395711963047719","0.448383645848028"
