"plb0022_h","year","bildungsniveau","sex","n","percent","lower_confidence","upper_confidence"
"Voll erwerbstaetig","1984","(noch) kein Abschluss","maennlich","396","0.386205270065447","0.347117073225299","0.425293466905595"
"Voll erwerbstaetig","1984","(noch) kein Abschluss","weiblich","221","0.184083988037365","0.155696803886382","0.212471172188349"
"Voll erwerbstaetig","1984","Hauptschulabschluss","maennlich","2534","0.665680979678736","0.650103206131349","0.681258753226123"
"Voll erwerbstaetig","1984","Hauptschulabschluss","weiblich","832","0.172080489226075","0.160025472761254","0.184135505690897"
"Voll erwerbstaetig","1984","Realschulabschluss","maennlich","495","0.626345721570272","0.592568259142185","0.660123183998359"
"Voll erwerbstaetig","1984","Realschulabschluss","weiblich","331","0.288600185559168","0.261823493430067","0.315376877688269"
"Voll erwerbstaetig","1984","(Fach-)Abitur","maennlich","239","0.366711490061476","0.325251664048696","0.408171316074255"
"Voll erwerbstaetig","1984","(Fach-)Abitur","weiblich","96","0.257964247166981","0.212258697727132","0.303669796606831"
"Voll erwerbstaetig","1984","AkademikerInnen","maennlich","431","0.782336823520377","0.747434823394529","0.817238823646226"
"Voll erwerbstaetig","1984","AkademikerInnen","weiblich","106","0.371866190437959","0.312662668815843","0.431069712060074"
"Teilzeitbeschaeftigung","1984","(noch) kein Abschluss","maennlich","","","",""
"Teilzeitbeschaeftigung","1984","(noch) kein Abschluss","weiblich","","","",""
"Teilzeitbeschaeftigung","1984","Hauptschulabschluss","maennlich","","","",""
"Teilzeitbeschaeftigung","1984","Hauptschulabschluss","weiblich","389","0.097289996891344","0.087825094154429","0.106754899628259"
"Teilzeitbeschaeftigung","1984","Realschulabschluss","maennlich","","","",""
"Teilzeitbeschaeftigung","1984","Realschulabschluss","weiblich","130","0.102059642100647","0.0841699644734955","0.119949319727798"
"Teilzeitbeschaeftigung","1984","(Fach-)Abitur","maennlich","","","",""
"Teilzeitbeschaeftigung","1984","(Fach-)Abitur","weiblich","","","",""
"Teilzeitbeschaeftigung","1984","AkademikerInnen","maennlich","","","",""
"Teilzeitbeschaeftigung","1984","AkademikerInnen","weiblich","39","0.15108148322017","0.107211574419927","0.194951392020414"
"Ausbildung/Lehre","1984","(noch) kein Abschluss","maennlich","","","",""
"Ausbildung/Lehre","1984","(noch) kein Abschluss","weiblich","","","",""
"Ausbildung/Lehre","1984","Hauptschulabschluss","maennlich","143","0.0319100171851146","0.0261062076502846","0.0377138267199446"
"Ausbildung/Lehre","1984","Hauptschulabschluss","weiblich","67","0.0141731691991856","0.0103979537981573","0.0179483846002138"
"Ausbildung/Lehre","1984","Realschulabschluss","maennlich","77","0.0824409055889991","0.0632377154890804","0.101644095688918"
"Ausbildung/Lehre","1984","Realschulabschluss","weiblich","87","0.0720027703728797","0.056727120637554","0.0872784201082053"
"Ausbildung/Lehre","1984","(Fach-)Abitur","maennlich","34","0.0687604391079349","0.0469901377169665","0.0905307404989034"
"Ausbildung/Lehre","1984","(Fach-)Abitur","weiblich","","","",""
"Ausbildung/Lehre","1984","AkademikerInnen","maennlich","","","",""
"Ausbildung/Lehre","1984","AkademikerInnen","weiblich","","","",""
"Geringfuegig erwerbstaetig","1984","(noch) kein Abschluss","maennlich","","","",""
"Geringfuegig erwerbstaetig","1984","(noch) kein Abschluss","weiblich","","","",""
"Geringfuegig erwerbstaetig","1984","Hauptschulabschluss","maennlich","","","",""
"Geringfuegig erwerbstaetig","1984","Hauptschulabschluss","weiblich","172","0.0440286420100143","0.0374762779622225","0.0505810060578061"
"Geringfuegig erwerbstaetig","1984","Realschulabschluss","maennlich","","","",""
"Geringfuegig erwerbstaetig","1984","Realschulabschluss","weiblich","44","0.039180146519762","0.0277143095987937","0.0506459834407303"
"Geringfuegig erwerbstaetig","1984","(Fach-)Abitur","maennlich","","","",""
"Geringfuegig erwerbstaetig","1984","(Fach-)Abitur","weiblich","","","",""
"Geringfuegig erwerbstaetig","1984","AkademikerInnen","maennlich","","","",""
"Geringfuegig erwerbstaetig","1984","AkademikerInnen","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","(noch) kein Abschluss","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","(noch) kein Abschluss","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","Hauptschulabschluss","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","Hauptschulabschluss","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","Realschulabschluss","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","Realschulabschluss","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","(Fach-)Abitur","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","(Fach-)Abitur","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","AkademikerInnen","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","AkademikerInnen","weiblich","","","",""
"Freiwilliger Wehrdienst","1984","(noch) kein Abschluss","maennlich","","","",""
"Freiwilliger Wehrdienst","1984","(noch) kein Abschluss","weiblich","","","",""
"Freiwilliger Wehrdienst","1984","Hauptschulabschluss","maennlich","","","",""
"Freiwilliger Wehrdienst","1984","Hauptschulabschluss","weiblich","","","",""
"Freiwilliger Wehrdienst","1984","Realschulabschluss","maennlich","","","",""
"Freiwilliger Wehrdienst","1984","Realschulabschluss","weiblich","","","",""
"Freiwilliger Wehrdienst","1984","(Fach-)Abitur","maennlich","","","",""
"Freiwilliger Wehrdienst","1984","(Fach-)Abitur","weiblich","","","",""
"Freiwilliger Wehrdienst","1984","AkademikerInnen","maennlich","","","",""
"Freiwilliger Wehrdienst","1984","AkademikerInnen","weiblich","","","",""
"FSJ/FOeJ/BFD","1984","(noch) kein Abschluss","maennlich","","","",""
"FSJ/FOeJ/BFD","1984","(noch) kein Abschluss","weiblich","","","",""
"FSJ/FOeJ/BFD","1984","Hauptschulabschluss","maennlich","","","",""
"FSJ/FOeJ/BFD","1984","Hauptschulabschluss","weiblich","","","",""
"FSJ/FOeJ/BFD","1984","Realschulabschluss","maennlich","","","",""
"FSJ/FOeJ/BFD","1984","Realschulabschluss","weiblich","","","",""
"FSJ/FOeJ/BFD","1984","(Fach-)Abitur","maennlich","","","",""
"FSJ/FOeJ/BFD","1984","(Fach-)Abitur","weiblich","","","",""
"FSJ/FOeJ/BFD","1984","AkademikerInnen","maennlich","","","",""
"FSJ/FOeJ/BFD","1984","AkademikerInnen","weiblich","","","",""
"Werkstatt fuer Behinderte","1984","(noch) kein Abschluss","maennlich","","","",""
"Werkstatt fuer Behinderte","1984","(noch) kein Abschluss","weiblich","","","",""
"Werkstatt fuer Behinderte","1984","Hauptschulabschluss","maennlich","","","",""
"Werkstatt fuer Behinderte","1984","Hauptschulabschluss","weiblich","","","",""
"Werkstatt fuer Behinderte","1984","Realschulabschluss","maennlich","","","",""
"Werkstatt fuer Behinderte","1984","Realschulabschluss","weiblich","","","",""
"Werkstatt fuer Behinderte","1984","(Fach-)Abitur","maennlich","","","",""
"Werkstatt fuer Behinderte","1984","(Fach-)Abitur","weiblich","","","",""
"Werkstatt fuer Behinderte","1984","AkademikerInnen","maennlich","","","",""
"Werkstatt fuer Behinderte","1984","AkademikerInnen","weiblich","","","",""
"Nicht erwerbstaetig","1984","(noch) kein Abschluss","maennlich","189","0.574617989345919","0.534925884480279","0.61431009421156"
