"plb0022_h","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Voll erwerbstaetig","1984","Schleswig-Holstein","maennlich","125","0.641357098723827","0.572981953539515","0.709732243908139"
"Voll erwerbstaetig","1984","Schleswig-Holstein","weiblich","45","0.214640123269757","0.157452071014177","0.271828175525337"
"Voll erwerbstaetig","1984","Hamburg","maennlich","95","0.520741039684948","0.441322422567789","0.600159656802107"
"Voll erwerbstaetig","1984","Hamburg","weiblich","50","0.259247203650857","0.191132131815364","0.32736227548635"
"Voll erwerbstaetig","1984","Niedersachsen","maennlich","391","0.617645148656663","0.578921771740154","0.656368525573172"
"Voll erwerbstaetig","1984","Niedersachsen","weiblich","118","0.162898554248604","0.134131599051771","0.191665509445438"
"Voll erwerbstaetig","1984","Bremen","maennlich","","","",""
"Voll erwerbstaetig","1984","Bremen","weiblich","","","",""
"Voll erwerbstaetig","1984","Nordrhein-Westfalen","maennlich","1112","0.641482394119687","0.618107982072462","0.664856806166912"
"Voll erwerbstaetig","1984","Nordrhein-Westfalen","weiblich","381","0.194804180988053","0.175734794133516","0.213873567842591"
"Voll erwerbstaetig","1984","Hessen","maennlich","432","0.613195659581336","0.575135730586517","0.651255588576155"
"Voll erwerbstaetig","1984","Hessen","weiblich","163","0.203248806133953","0.171649362890209","0.234848249377697"
"Voll erwerbstaetig","1984","Rheinland-Pfalz,Saarland","maennlich","270","0.597850042056983","0.550956440211479","0.644743643902487"
"Voll erwerbstaetig","1984","Rheinland-Pfalz,Saarland","weiblich","99","0.190461726893549","0.153604097551773","0.227319356235325"
"Voll erwerbstaetig","1984","Baden-Wuerttemberg","maennlich","843","0.679234772618606","0.652031548142932","0.706437997094279"
"Voll erwerbstaetig","1984","Baden-Wuerttemberg","weiblich","340","0.240547198809958","0.215746962735953","0.265347434883963"
"Voll erwerbstaetig","1984","Bayern","maennlich","690","0.651534786941345","0.622032019950624","0.681037553932065"
"Voll erwerbstaetig","1984","Bayern","weiblich","312","0.232881211065057","0.207993970472042","0.257768451658072"
"Voll erwerbstaetig","1984","Saarland","maennlich","","","",""
"Voll erwerbstaetig","1984","Saarland","weiblich","","","",""
"Voll erwerbstaetig","1984","Berlin","maennlich","139","0.668959112520262","0.603576516745761","0.734341708294763"
"Voll erwerbstaetig","1984","Berlin","weiblich","78","0.297190415344942","0.235814988350004","0.358565842339879"
"Voll erwerbstaetig","1984","Brandenburg","maennlich","","","",""
"Voll erwerbstaetig","1984","Brandenburg","weiblich","","","",""
"Voll erwerbstaetig","1984","Mecklenburg-Vorpommern","maennlich","","","",""
"Voll erwerbstaetig","1984","Mecklenburg-Vorpommern","weiblich","","","",""
"Voll erwerbstaetig","1984","Sachsen","maennlich","","","",""
"Voll erwerbstaetig","1984","Sachsen","weiblich","","","",""
"Voll erwerbstaetig","1984","Sachsen-Anhalt","maennlich","","","",""
"Voll erwerbstaetig","1984","Sachsen-Anhalt","weiblich","","","",""
"Voll erwerbstaetig","1984","Thueringen","maennlich","","","",""
"Voll erwerbstaetig","1984","Thueringen","weiblich","","","",""
"Teilzeitbeschaeftigung","1984","Schleswig-Holstein","maennlich","","","",""
"Teilzeitbeschaeftigung","1984","Schleswig-Holstein","weiblich","31","0.139398658149825","0.0911543811915669","0.187642935108083"
"Teilzeitbeschaeftigung","1984","Hamburg","maennlich","","","",""
"Teilzeitbeschaeftigung","1984","Hamburg","weiblich","","","",""
"Teilzeitbeschaeftigung","1984","Niedersachsen","maennlich","","","",""
"Teilzeitbeschaeftigung","1984","Niedersachsen","weiblich","67","0.100440725813805","0.0770245457043161","0.123856905923294"
"Teilzeitbeschaeftigung","1984","Bremen","maennlich","","","",""
"Teilzeitbeschaeftigung","1984","Bremen","weiblich","","","",""
"Teilzeitbeschaeftigung","1984","Nordrhein-Westfalen","maennlich","","","",""
