"plb0022_h","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Voll erwerbstaetig","1984","Westdeutschland, alte Bundeslaender","maennlich","4126","0.634745142275633","0.622568796615767","0.646921487935498"
"Voll erwerbstaetig","1984","Westdeutschland, alte Bundeslaender","weiblich","1598","0.21012292267901","0.200013138661528","0.220232706696492"
"Voll erwerbstaetig","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Voll erwerbstaetig","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Teilzeitbeschaeftigung","1984","Westdeutschland, alte Bundeslaender","maennlich","41","0.00780515810724555","0.00557975541063996","0.0100305608038511"
"Teilzeitbeschaeftigung","1984","Westdeutschland, alte Bundeslaender","weiblich","620","0.0966113107361127","0.0892800828861441","0.103942538586081"
"Teilzeitbeschaeftigung","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Teilzeitbeschaeftigung","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Ausbildung/Lehre","1984","Westdeutschland, alte Bundeslaender","maennlich","263","0.0399159189356179","0.0349654427527104","0.0448663951185254"
"Ausbildung/Lehre","1984","Westdeutschland, alte Bundeslaender","weiblich","176","0.0271485917717487","0.0231156466226691","0.0311815369208283"
"Ausbildung/Lehre","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Ausbildung/Lehre","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Geringfuegig erwerbstaetig","1984","Westdeutschland, alte Bundeslaender","maennlich","61","0.0117727225487791","0.00904508821656539","0.0145003568809928"
"Geringfuegig erwerbstaetig","1984","Westdeutschland, alte Bundeslaender","weiblich","280","0.045306006195988","0.04014498799109","0.0504670244008861"
"Geringfuegig erwerbstaetig","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Geringfuegig erwerbstaetig","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Freiwilliger Wehrdienst","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Freiwilliger Wehrdienst","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Freiwilliger Wehrdienst","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Freiwilliger Wehrdienst","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"FSJ/FOeJ/BFD","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"FSJ/FOeJ/BFD","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"FSJ/FOeJ/BFD","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"FSJ/FOeJ/BFD","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Werkstatt fuer Behinderte","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Werkstatt fuer Behinderte","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Werkstatt fuer Behinderte","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
