"plb0022_h","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Voll erwerbstaetig","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","3677","0.398484011151222","0.388192780517276","0.408775241785169"
"Voll erwerbstaetig","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","2012","0.520969544388159","0.504234287932026","0.537704800844291"
"Voll erwerbstaetig","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","35","0.290517230630131","0.21186700365797","0.369167457602291"
"Voll erwerbstaetig","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","528","0.0546755917458341","0.0498967191232399","0.0594544643684283"
"Teilzeitbeschaeftigung","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","127","0.0554332090962092","0.0477676120120277","0.0630988061803907"
"Teilzeitbeschaeftigung","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","317","0.0341923291809928","0.030372464825431","0.0380121935365546"
"Ausbildung/Lehre","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","98","0.0203281191362163","0.0156005971038897","0.0250556411685429"
"Ausbildung/Lehre","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Ausbildung/Lehre","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","284","0.0305866344827684","0.0269670508038694","0.0342062181616674"
"Geringfuegig erwerbstaetig","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","54","0.0198654286241157","0.0151909146176557","0.0245399426305757"
"Geringfuegig erwerbstaetig","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","3857","0.478532661689527","0.468032218690105","0.489033104688949"
"Nicht erwerbstaetig","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","1128","0.380936507888725","0.364668344103056","0.397204671674395"
"Nicht erwerbstaetig","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","60","0.497518949328977","0.410901026699538","0.584136871958416"
"Nicht erwerbstaetig","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","31","0.00352877174965526","0.00228230000330039","0.00477524349601014"
"Wehrpflicht/Zivildienst","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1985","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","3480","0.407105020126631","0.3963379012848","0.417872138968461"
"Voll erwerbstaetig","1985","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1985","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","1738","0.515167210173013","0.497126465924105","0.533207954421922"
"Voll erwerbstaetig","1985","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
