"plb0022_h","year","alter_gr","migback","n","percent","lower_confidence","upper_confidence"
"Voll erwerbstaetig","1984","16-34 Jahre alt","kein Migrationshintergrund","1444","0.469594036421731","0.452076399477673","0.487111673365788"
"Voll erwerbstaetig","1984","16-34 Jahre alt","direkter Migrationshintergrund","707","0.492338574627731","0.46616921480979","0.518507934445672"
"Voll erwerbstaetig","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Voll erwerbstaetig","1984","35-65 Jahre alt","kein Migrationshintergrund","2217","0.502552771657934","0.487670548987764","0.517434994328105"
"Voll erwerbstaetig","1984","35-65 Jahre alt","direkter Migrationshintergrund","1305","0.573594925424505","0.55184427234794","0.595345578501071"
"Voll erwerbstaetig","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Voll erwerbstaetig","1984","66 und älter","kein Migrationshintergrund","","","",""
"Voll erwerbstaetig","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Voll erwerbstaetig","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Teilzeitbeschaeftigung","1984","16-34 Jahre alt","kein Migrationshintergrund","147","0.043102389727264","0.0359739670142713","0.0502308124402568"
"Teilzeitbeschaeftigung","1984","16-34 Jahre alt","direkter Migrationshintergrund","40","0.0345177790939049","0.0249619659891979","0.0440735921986119"
"Teilzeitbeschaeftigung","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Teilzeitbeschaeftigung","1984","35-65 Jahre alt","kein Migrationshintergrund","370","0.0805352621242765","0.0724356535449005","0.0886348707036525"
"Teilzeitbeschaeftigung","1984","35-65 Jahre alt","direkter Migrationshintergrund","86","0.0723087154230063","0.060917881227116","0.0836995496188966"
"Teilzeitbeschaeftigung","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Teilzeitbeschaeftigung","1984","66 und älter","kein Migrationshintergrund","","","",""
"Teilzeitbeschaeftigung","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Teilzeitbeschaeftigung","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Ausbildung/Lehre","1984","16-34 Jahre alt","kein Migrationshintergrund","317","0.105049696680122","0.094287352002488","0.115812041357757"
"Ausbildung/Lehre","1984","16-34 Jahre alt","direkter Migrationshintergrund","96","0.0538800050561961","0.0420615418218312","0.065698468290561"
"Ausbildung/Lehre","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Ausbildung/Lehre","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Ausbildung/Lehre","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Ausbildung/Lehre","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Ausbildung/Lehre","1984","66 und älter","kein Migrationshintergrund","","","",""
"Ausbildung/Lehre","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Ausbildung/Lehre","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Geringfuegig erwerbstaetig","1984","16-34 Jahre alt","kein Migrationshintergrund","107","0.0323842415496927","0.0261708550854113","0.0385976280139741"
"Geringfuegig erwerbstaetig","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Geringfuegig erwerbstaetig","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Geringfuegig erwerbstaetig","1984","35-65 Jahre alt","kein Migrationshintergrund","156","0.0350517546487874","0.0295776846550507","0.040525824642524"
"Geringfuegig erwerbstaetig","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Geringfuegig erwerbstaetig","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Geringfuegig erwerbstaetig","1984","66 und älter","kein Migrationshintergrund","","","",""
"Geringfuegig erwerbstaetig","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Geringfuegig erwerbstaetig","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
