"plb0022_h","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Voll erwerbstaetig","1984","kein Migrationshintergrund","maennlich","2673","0.623553035873818","0.6087661281992","0.638339943548436"
"Voll erwerbstaetig","1984","kein Migrationshintergrund","weiblich","1004","0.202460586441579","0.190810307774089","0.214110865109069"
"Voll erwerbstaetig","1984","direkter Migrationshintergrund","maennlich","1432","0.737017842595823","0.716797185660279","0.757238499531367"
"Voll erwerbstaetig","1984","direkter Migrationshintergrund","weiblich","580","0.291661185128938","0.269403670193156","0.313918700064721"
"Voll erwerbstaetig","1984","indirekter Migrationshintergrund","maennlich","","","",""
"Voll erwerbstaetig","1984","indirekter Migrationshintergrund","weiblich","","","",""
"Teilzeitbeschaeftigung","1984","kein Migrationshintergrund","maennlich","33","0.00785356762137834","0.00515948975442087","0.0105476454883358"
"Teilzeitbeschaeftigung","1984","kein Migrationshintergrund","weiblich","495","0.0954551416284791","0.0869358259941043","0.103974457262854"
"Teilzeitbeschaeftigung","1984","direkter Migrationshintergrund","maennlich","","","",""
"Teilzeitbeschaeftigung","1984","direkter Migrationshintergrund","weiblich","119","0.106148729206942","0.0910650646470144","0.12123239376687"
"Teilzeitbeschaeftigung","1984","indirekter Migrationshintergrund","maennlich","","","",""
"Teilzeitbeschaeftigung","1984","indirekter Migrationshintergrund","weiblich","","","",""
"Ausbildung/Lehre","1984","kein Migrationshintergrund","maennlich","182","0.0410410150447593","0.0349862426008245","0.0470957874886942"
"Ausbildung/Lehre","1984","kein Migrationshintergrund","weiblich","135","0.0282274796890171","0.023425632339322","0.0330293270387123"
"Ausbildung/Lehre","1984","direkter Migrationshintergrund","maennlich","66","0.0266805091101576","0.0192790407923318","0.0340819774279835"
"Ausbildung/Lehre","1984","direkter Migrationshintergrund","weiblich","32","0.0135858483829467","0.00791706497216299","0.0192546317937303"
"Ausbildung/Lehre","1984","indirekter Migrationshintergrund","maennlich","","","",""
"Ausbildung/Lehre","1984","indirekter Migrationshintergrund","weiblich","","","",""
"Geringfuegig erwerbstaetig","1984","kein Migrationshintergrund","maennlich","51","0.0126103576881037","0.00920473328622163","0.0160159820899857"
"Geringfuegig erwerbstaetig","1984","kein Migrationshintergrund","weiblich","233","0.0462430374247629","0.0401542329522696","0.0523318418972561"
"Geringfuegig erwerbstaetig","1984","direkter Migrationshintergrund","maennlich","","","",""
"Geringfuegig erwerbstaetig","1984","direkter Migrationshintergrund","weiblich","44","0.0356738359320029","0.0265913712959611","0.0447563005680446"
"Geringfuegig erwerbstaetig","1984","indirekter Migrationshintergrund","maennlich","","","",""
"Geringfuegig erwerbstaetig","1984","indirekter Migrationshintergrund","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","kein Migrationshintergrund","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","kein Migrationshintergrund","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","direkter Migrationshintergrund","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","direkter Migrationshintergrund","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","indirekter Migrationshintergrund","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","indirekter Migrationshintergrund","weiblich","","","",""
"Freiwilliger Wehrdienst","1984","kein Migrationshintergrund","maennlich","","","",""
"Freiwilliger Wehrdienst","1984","kein Migrationshintergrund","weiblich","","","",""
"Freiwilliger Wehrdienst","1984","direkter Migrationshintergrund","maennlich","","","",""
