"plb0022_h","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"Voll erwerbstaetig","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","617","0.281249320563712","0.256920780469065","0.305577860658359"
"Voll erwerbstaetig","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","3366","0.395585792882338","0.384360393772721","0.406811191991954"
"Voll erwerbstaetig","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","826","0.424895624894723","0.402597848221367","0.447193401568079"
"Voll erwerbstaetig","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","335","0.322144536505769","0.291110879988215","0.353178193023324"
"Voll erwerbstaetig","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","537","0.647601485895023","0.614352190228027","0.680850781562019"
"Voll erwerbstaetig","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","30","0.0140138370315206","0.0076532805282346","0.0203743935348066"
"Teilzeitbeschaeftigung","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","397","0.0545676989226214","0.0493533852376774","0.0597820126075654"
"Teilzeitbeschaeftigung","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","134","0.0629982282631822","0.0520389622176412","0.0739574943087232"
"Teilzeitbeschaeftigung","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
