"plb0022_h","year","alter_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Voll erwerbstaetig","1984","16-34 Jahre alt","(noch) kein Abschluss","155","0.152634754466482","0.121959147144755","0.183310361788209"
"Voll erwerbstaetig","1984","16-34 Jahre alt","Hauptschulabschluss","1221","0.558108462096825","0.537529084056272","0.578687840137378"
"Voll erwerbstaetig","1984","16-34 Jahre alt","Realschulabschluss","462","0.474413424548756","0.443587334562928","0.505239514534584"
"Voll erwerbstaetig","1984","16-34 Jahre alt","(Fach-)Abitur","160","0.245924900394044","0.210665141993958","0.28118465879413"
"Voll erwerbstaetig","1984","16-34 Jahre alt","AkademikerInnen","171","0.70005364725808","0.643022815620751","0.757084478895408"
"Voll erwerbstaetig","1984","35-65 Jahre alt","(noch) kein Abschluss","462","0.568837208146951","0.533766192588241","0.603908223705661"
"Voll erwerbstaetig","1984","35-65 Jahre alt","Hauptschulabschluss","2138","0.474436221359328","0.459115951121004","0.489756491597652"
"Voll erwerbstaetig","1984","35-65 Jahre alt","Realschulabschluss","361","0.510999114980431","0.474021028695299","0.547977201265563"
"Voll erwerbstaetig","1984","35-65 Jahre alt","(Fach-)Abitur","173","0.622995138291493","0.562920122889298","0.683070153693688"
"Voll erwerbstaetig","1984","35-65 Jahre alt","AkademikerInnen","361","0.737501748051798","0.698221944532417","0.77678155157118"
"Voll erwerbstaetig","1984","66 und älter","(noch) kein Abschluss","","","",""
"Voll erwerbstaetig","1984","66 und älter","Hauptschulabschluss","","","",""
"Voll erwerbstaetig","1984","66 und älter","Realschulabschluss","","","",""
"Voll erwerbstaetig","1984","66 und älter","(Fach-)Abitur","","","",""
"Voll erwerbstaetig","1984","66 und älter","AkademikerInnen","","","",""
"Teilzeitbeschaeftigung","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Teilzeitbeschaeftigung","1984","16-34 Jahre alt","Hauptschulabschluss","92","0.0446972678642281","0.0361342648350915","0.0532602708933647"
"Teilzeitbeschaeftigung","1984","16-34 Jahre alt","Realschulabschluss","47","0.0418781681363657","0.0295123734593209","0.0542439628134105"
"Teilzeitbeschaeftigung","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Teilzeitbeschaeftigung","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"Teilzeitbeschaeftigung","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Teilzeitbeschaeftigung","1984","35-65 Jahre alt","Hauptschulabschluss","298","0.0771453546400626","0.0689590795427585","0.0853316297373666"
"Teilzeitbeschaeftigung","1984","35-65 Jahre alt","Realschulabschluss","85","0.108904410946654","0.085860063369127","0.131948758524181"
"Teilzeitbeschaeftigung","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Teilzeitbeschaeftigung","1984","35-65 Jahre alt","AkademikerInnen","40","0.0850765517032718","0.0601695247678583","0.109983578638685"
"Teilzeitbeschaeftigung","1984","66 und älter","(noch) kein Abschluss","","","",""
"Teilzeitbeschaeftigung","1984","66 und älter","Hauptschulabschluss","","","",""
"Teilzeitbeschaeftigung","1984","66 und älter","Realschulabschluss","","","",""
"Teilzeitbeschaeftigung","1984","66 und älter","(Fach-)Abitur","","","",""
"Teilzeitbeschaeftigung","1984","66 und älter","AkademikerInnen","","","",""
"Ausbildung/Lehre","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Ausbildung/Lehre","1984","16-34 Jahre alt","Hauptschulabschluss","209","0.0929132768273028","0.0808829232241426","0.104943630430463"
"Ausbildung/Lehre","1984","16-34 Jahre alt","Realschulabschluss","164","0.156978984883988","0.134521672317931","0.179436297450044"
"Ausbildung/Lehre","1984","16-34 Jahre alt","(Fach-)Abitur","50","0.0969450179652449","0.0727185208641483","0.121171515066342"
"Ausbildung/Lehre","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"Ausbildung/Lehre","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Ausbildung/Lehre","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Ausbildung/Lehre","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"Ausbildung/Lehre","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Ausbildung/Lehre","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"Ausbildung/Lehre","1984","66 und älter","(noch) kein Abschluss","","","",""
"Ausbildung/Lehre","1984","66 und älter","Hauptschulabschluss","","","",""
"Ausbildung/Lehre","1984","66 und älter","Realschulabschluss","","","",""
"Ausbildung/Lehre","1984","66 und älter","(Fach-)Abitur","","","",""
"Ausbildung/Lehre","1984","66 und älter","AkademikerInnen","","","",""
"Geringfuegig erwerbstaetig","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Geringfuegig erwerbstaetig","1984","16-34 Jahre alt","Hauptschulabschluss","58","0.0268240944650583","0.0201287441087337","0.0335194448213828"
"Geringfuegig erwerbstaetig","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"Geringfuegig erwerbstaetig","1984","16-34 Jahre alt","(Fach-)Abitur","35","0.0680491402228997","0.0474296175286525","0.0886686629171469"
"Geringfuegig erwerbstaetig","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"Geringfuegig erwerbstaetig","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Geringfuegig erwerbstaetig","1984","35-65 Jahre alt","Hauptschulabschluss","126","0.0332853102896226","0.0277817939838073","0.0387888265954379"
"Geringfuegig erwerbstaetig","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"Geringfuegig erwerbstaetig","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Geringfuegig erwerbstaetig","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"Geringfuegig erwerbstaetig","1984","66 und älter","(noch) kein Abschluss","","","",""
"Geringfuegig erwerbstaetig","1984","66 und älter","Hauptschulabschluss","","","",""
"Geringfuegig erwerbstaetig","1984","66 und älter","Realschulabschluss","","","",""
"Geringfuegig erwerbstaetig","1984","66 und älter","(Fach-)Abitur","","","",""
"Geringfuegig erwerbstaetig","1984","66 und älter","AkademikerInnen","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","66 und älter","(noch) kein Abschluss","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","66 und älter","Hauptschulabschluss","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","66 und älter","Realschulabschluss","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","66 und älter","(Fach-)Abitur","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","66 und älter","AkademikerInnen","","","",""
"Freiwilliger Wehrdienst","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Freiwilliger Wehrdienst","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Freiwilliger Wehrdienst","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"Freiwilliger Wehrdienst","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Freiwilliger Wehrdienst","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"Freiwilliger Wehrdienst","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Freiwilliger Wehrdienst","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Freiwilliger Wehrdienst","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"Freiwilliger Wehrdienst","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Freiwilliger Wehrdienst","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"Freiwilliger Wehrdienst","1984","66 und älter","(noch) kein Abschluss","","","",""
"Freiwilliger Wehrdienst","1984","66 und älter","Hauptschulabschluss","","","",""
"Freiwilliger Wehrdienst","1984","66 und älter","Realschulabschluss","","","",""
"Freiwilliger Wehrdienst","1984","66 und älter","(Fach-)Abitur","","","",""
"Freiwilliger Wehrdienst","1984","66 und älter","AkademikerInnen","","","",""
"FSJ/FOeJ/BFD","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"FSJ/FOeJ/BFD","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"FSJ/FOeJ/BFD","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"FSJ/FOeJ/BFD","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"FSJ/FOeJ/BFD","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"FSJ/FOeJ/BFD","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"FSJ/FOeJ/BFD","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"FSJ/FOeJ/BFD","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"FSJ/FOeJ/BFD","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"FSJ/FOeJ/BFD","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"FSJ/FOeJ/BFD","1984","66 und älter","(noch) kein Abschluss","","","",""
"FSJ/FOeJ/BFD","1984","66 und älter","Hauptschulabschluss","","","",""
