"plb0022_h","year","migback","n","percent","lower_confidence","upper_confidence"
"Voll erwerbstaetig","1984","kein Migrationshintergrund","3677","0.398484011151222","0.388192780517276","0.408775241785169"
"Voll erwerbstaetig","1984","direkter Migrationshintergrund","2012","0.520969544388159","0.504234287932026","0.537704800844291"
"Voll erwerbstaetig","1984","indirekter Migrationshintergrund","35","0.290517230630131","0.21186700365797","0.369167457602291"
"Teilzeitbeschaeftigung","1984","kein Migrationshintergrund","528","0.0546755917458341","0.0498967191232399","0.0594544643684283"
"Teilzeitbeschaeftigung","1984","direkter Migrationshintergrund","127","0.0554332090962092","0.0477676120120277","0.0630988061803907"
"Teilzeitbeschaeftigung","1984","indirekter Migrationshintergrund","","","",""
"Ausbildung/Lehre","1984","kein Migrationshintergrund","317","0.0341923291809928","0.030372464825431","0.0380121935365546"
"Ausbildung/Lehre","1984","direkter Migrationshintergrund","98","0.0203281191362163","0.0156005971038897","0.0250556411685429"
"Ausbildung/Lehre","1984","indirekter Migrationshintergrund","","","",""
"Geringfuegig erwerbstaetig","1984","kein Migrationshintergrund","284","0.0305866344827684","0.0269670508038694","0.0342062181616674"
"Geringfuegig erwerbstaetig","1984","direkter Migrationshintergrund","54","0.0198654286241157","0.0151909146176557","0.0245399426305757"
"Geringfuegig erwerbstaetig","1984","indirekter Migrationshintergrund","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","kein Migrationshintergrund","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","direkter Migrationshintergrund","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","indirekter Migrationshintergrund","","","",""
"Freiwilliger Wehrdienst","1984","kein Migrationshintergrund","","","",""
"Freiwilliger Wehrdienst","1984","direkter Migrationshintergrund","","","",""
"Freiwilliger Wehrdienst","1984","indirekter Migrationshintergrund","","","",""
"FSJ/FOeJ/BFD","1984","kein Migrationshintergrund","","","",""
"FSJ/FOeJ/BFD","1984","direkter Migrationshintergrund","","","",""
"FSJ/FOeJ/BFD","1984","indirekter Migrationshintergrund","","","",""
"Werkstatt fuer Behinderte","1984","kein Migrationshintergrund","","","",""
"Werkstatt fuer Behinderte","1984","direkter Migrationshintergrund","","","",""
"Werkstatt fuer Behinderte","1984","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstaetig","1984","kein Migrationshintergrund","3857","0.478532661689527","0.468032218690105","0.489033104688949"
"Nicht erwerbstaetig","1984","direkter Migrationshintergrund","1128","0.380936507888725","0.364668344103056","0.397204671674395"
"Nicht erwerbstaetig","1984","indirekter Migrationshintergrund","60","0.497518949328977","0.410901026699538","0.584136871958416"
"Betriebliches Praktikum","1984","kein Migrationshintergrund","","","",""
"Betriebliches Praktikum","1984","direkter Migrationshintergrund","","","",""
"Betriebliches Praktikum","1984","indirekter Migrationshintergrund","","","",""
"Wehrpflicht/Zivildienst","1984","kein Migrationshintergrund","31","0.00352877174965526","0.00228230000330039","0.00477524349601014"
"Wehrpflicht/Zivildienst","1984","direkter Migrationshintergrund","","","",""
"Wehrpflicht/Zivildienst","1984","indirekter Migrationshintergrund","","","",""
"Voll erwerbstaetig","1985","kein Migrationshintergrund","3480","0.407105020126631","0.3963379012848","0.417872138968461"
"Voll erwerbstaetig","1985","direkter Migrationshintergrund","1738","0.515167210173013","0.497126465924105","0.533207954421922"
"Voll erwerbstaetig","1985","indirekter Migrationshintergrund","40","0.328753672556608","0.252027574445875","0.405479770667341"
"Teilzeitbeschaeftigung","1985","kein Migrationshintergrund","618","0.069345607238787","0.0637780962272246","0.0749131182503494"
"Teilzeitbeschaeftigung","1985","direkter Migrationshintergrund","130","0.0574679428694098","0.0490666670674587","0.0658692186713608"
"Teilzeitbeschaeftigung","1985","indirekter Migrationshintergrund","","","",""
"Ausbildung/Lehre","1985","kein Migrationshintergrund","211","0.0250902132657972","0.0216626002557855","0.028517826275809"
"Ausbildung/Lehre","1985","direkter Migrationshintergrund","55","0.0175111706981831","0.0127763258473844","0.0222460155489819"
"Ausbildung/Lehre","1985","indirekter Migrationshintergrund","","","",""
"Geringfuegig erwerbstaetig","1985","kein Migrationshintergrund","193","0.0223118457774037","0.019074975330772","0.0255487162240353"
"Geringfuegig erwerbstaetig","1985","direkter Migrationshintergrund","39","0.0166235858802417","0.0120082150495784","0.0212389567109051"
"Geringfuegig erwerbstaetig","1985","indirekter Migrationshintergrund","","","",""
