year,pgisced97,ple0017,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No answer / don't know,No,0.95911,308,308,0.93695,0.98126
2009,Pre-primary Level,No,0.97714,306,306,0.96036,0.99391
2009,Primary Level,No,0.93956,154,154,0.90180,0.97732
2009,Lower Secondary Level,Yes,0.05432,102,1788,0.04381,0.06483
2009,Lower Secondary Level,No,0.94568,1686,1788,0.93517,0.95619
2009,Upper Secondary Level,Yes,0.05047,437,9063,0.04596,0.05498
2009,Upper Secondary Level,No,0.94953,8626,9063,0.94502,0.95404
2009,Post-secondary Non-tertiary Level,Yes,0.06588,65,995,0.05046,0.08130
2009,Post-secondary Non-tertiary Level,No,0.93412,930,995,0.91870,0.94954
2009,First Stage of Tertiary Education,Yes,0.04951,71,1331,0.03785,0.06117
2009,First Stage of Tertiary Education,No,0.95049,1260,1331,0.93883,0.96215
2009,Second Stage of Tertiary Education,Yes,0.05384,213,4035,0.04688,0.06081
2009,Second Stage of Tertiary Education,No,0.94616,3822,4035,0.93919,0.95312
2011,No answer / don't know,No,0.98540,303,303,0.97188,0.99893
2011,Pre-primary Level,No,0.97892,302,302,0.96270,0.99515
2011,Primary Level,No,0.92466,215,215,0.88930,0.96002
2011,Lower Secondary Level,Yes,0.05469,137,2166,0.04511,0.06426
2011,Lower Secondary Level,No,0.94531,2029,2166,0.93574,0.95489
2011,Upper Secondary Level,Yes,0.05428,562,10490,0.04995,0.05862
2011,Upper Secondary Level,No,0.94572,9928,10490,0.94138,0.95005
2011,Post-secondary Non-tertiary Level,Yes,0.06306,89,1200,0.04930,0.07682
2011,Post-secondary Non-tertiary Level,No,0.93694,1111,1200,0.92318,0.95070
2011,First Stage of Tertiary Education,Yes,0.06239,85,1445,0.04991,0.07486
2011,First Stage of Tertiary Education,No,0.93761,1360,1445,0.92514,0.95009
2011,Second Stage of Tertiary Education,Yes,0.05251,247,4588,0.04606,0.05897
2011,Second Stage of Tertiary Education,No,0.94749,4341,4588,0.94103,0.95394
2013,No answer / don't know,No,0.96410,254,254,0.94118,0.98703
2013,Pre-primary Level,No,0.92925,245,245,0.89708,0.96143
2013,Primary Level,No,0.89253,170,170,0.84584,0.93923
