year,regtyp,sampreg,ple0017,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,West,Yes,0.05335,548,10186,0.04898,0.05771
2009,Urban regions,West,No,0.94665,9638,10186,0.94229,0.95102
2009,Urban regions,East,Yes,0.05867,78,1533,0.04690,0.07044
2009,Urban regions,East,No,0.94133,1455,1533,0.92956,0.95310
2009,Rural regions,West,Yes,0.05049,160,3291,0.04300,0.05797
2009,Rural regions,West,No,0.94951,3131,3291,0.94203,0.95700
2009,Rural regions,East,Yes,0.04314,140,3008,0.03588,0.05040
2009,Rural regions,East,No,0.95686,2868,3008,0.94960,0.96412
2011,Urban regions,West,Yes,0.05803,695,11730,0.05380,0.06226
2011,Urban regions,West,No,0.94197,11035,11730,0.93774,0.94620
2011,Urban regions,East,Yes,0.04447,80,1662,0.03456,0.05439
2011,Urban regions,East,No,0.95553,1582,1662,0.94561,0.96544
2011,Rural regions,West,Yes,0.04993,215,4110,0.04327,0.05659
2011,Rural regions,West,No,0.95007,3895,4110,0.94341,0.95673
2011,Rural regions,East,Yes,0.04855,166,3243,0.04115,0.05594
2011,Rural regions,East,No,0.95145,3077,3243,0.94406,0.95885
2013,Urban regions,West,Yes,0.06584,724,10563,0.06111,0.07057
2013,Urban regions,West,No,0.93416,9839,10563,0.92943,0.93889
2013,Urban regions,East,Yes,0.05850,94,1511,0.04666,0.07034
2013,Urban regions,East,No,0.94150,1417,1511,0.92966,0.95334
2013,Rural regions,West,Yes,0.06587,246,3851,0.05804,0.07371
2013,Rural regions,West,No,0.93413,3605,3851,0.92629,0.94196
2013,Rural regions,East,Yes,0.05108,151,2941,0.04312,0.05904
2013,Rural regions,East,No,0.94892,2790,2941,0.94096,0.95688
2015,Urban regions,West,Yes,0.06886,1040,14361,0.06472,0.07300
2015,Urban regions,West,No,0.93114,13321,14361,0.92700,0.93528
2015,Urban regions,East,Yes,0.06683,123,1839,0.05541,0.07824
2015,Urban regions,East,No,0.93317,1716,1839,0.92176,0.94459
2015,Rural regions,West,Yes,0.06935,375,5426,0.06259,0.07611
2015,Rural regions,West,No,0.93065,5051,5426,0.92389,0.93741
2015,Rural regions,East,Yes,0.03998,175,3414,0.03340,0.04655
2015,Rural regions,East,No,0.96002,3239,3414,0.95345,0.96660
2017,Urban regions,West,Yes,0.07360,1155,15231,0.06945,0.07775
2017,Urban regions,West,No,0.92640,14076,15231,0.92225,0.93055
2017,Urban regions,East,Yes,0.07299,132,1949,0.06144,0.08454
2017,Urban regions,East,No,0.92701,1817,1949,0.91546,0.93856
2017,Rural regions,West,Yes,0.06877,414,5728,0.06221,0.07532
2017,Rural regions,West,No,0.93123,5314,5728,0.92468,0.93779
2017,Rural regions,East,Yes,0.05084,204,3641,0.04370,0.05797
2017,Rural regions,East,No,0.94916,3437,3641,0.94203,0.95630
2019,No answer / don't know,Does not apply,No,0.91572,67,67,0.84869,0.98274
2019,No answer / don't know,West,Yes,0.12879,48,404,0.09609,0.16150
2019,No answer / don't know,West,No,0.87121,356,404,0.83850,0.90391
2019,No answer / don't know,East,No,0.84608,62,62,0.75552,0.93664
2019,Urban regions,West,Yes,0.07444,1112,14493,0.07017,0.07872
2019,Urban regions,West,No,0.92556,13381,14493,0.92128,0.92983
2019,Urban regions,East,Yes,0.07793,140,1898,0.06587,0.08999
2019,Urban regions,East,No,0.92207,1758,1898,0.91001,0.93413
2019,Rural regions,West,Yes,0.06513,386,5207,0.05843,0.07184
2019,Rural regions,West,No,0.93487,4821,5207,0.92816,0.94157
2019,Rural regions,East,Yes,0.05766,207,3574,0.05002,0.06530
2019,Rural regions,East,No,0.94234,3367,3574,0.93470,0.94998
2021,Urban regions,West,Yes,0.09111,988,11514,0.08586,0.09637
2021,Urban regions,West,No,0.90889,10526,11514,0.90363,0.91414
2021,Urban regions,East,Yes,0.10616,111,1498,0.09056,0.12177
2021,Urban regions,East,No,0.89384,1387,1498,0.87823,0.90944
2021,Rural regions,West,Yes,0.06842,317,3802,0.06039,0.07644
2021,Rural regions,West,No,0.93158,3485,3802,0.92356,0.93961
2021,Rural regions,East,Yes,0.06826,168,2349,0.05806,0.07846
2021,Rural regions,East,No,0.93174,2181,2349,0.92154,0.94194
