year,age_gr,migback,ple0017,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,No migration background,Yes,0.06146421517854235,126,17920,0.06130452445155576,0.06162390590552894
2009,17-29 y.,No migration background,No,0.9385357848214577,2170,17920,0.9383760940944711,0.9386954755484443
2009,17-29 y.,Direct migration background,No,1.0,168,17920,1.0,1.0
2009,17-29 y.,Indirect migration background,No,1.0,368,17920,1.0,1.0
2009,30-45 y.,No migration background,Yes,0.058423224866199955,252,17920,0.0583027431954706,0.05854370653692931
2009,30-45 y.,No migration background,No,0.9415767751338001,3624,17920,0.9414562934630708,0.9416972568045294
2009,30-45 y.,Direct migration background,No,1.0,503,17920,1.0,1.0
2009,30-45 y.,Indirect migration background,No,1.0,247,17920,1.0,1.0
2009,46-65 y.,No migration background,Yes,0.052997931145895946,291,17920,0.05289654438629481,0.05309931790549708
2009,46-65 y.,No migration background,No,0.947002068854104,5369,17920,0.9469006820945028,0.9471034556137051
2009,46-65 y.,Direct migration background,Yes,0.0861091394890213,46,17920,0.08579928553303742,0.08641899344500517
2009,46-65 y.,Direct migration background,No,0.9138908605109787,573,17920,0.9135810065549947,0.9142007144669626
2009,46-65 y.,Indirect migration background,No,1.0,42,17920,1.0,1.0
2009,66 and older,No migration background,Yes,0.0284688970843851,119,17920,0.028383761604600356,0.028554032564169843
2009,66 and older,No migration background,No,0.9715311029156148,3702,17920,0.9714459674358301,0.9716162383953996
2009,66 and older,Direct migration background,No,1.0,320,17920,1.0,1.0
2011,17-29 y.,No migration background,Yes,0.06144416383026163,159,20667,0.06127268576901106,0.06161564189151221
2011,17-29 y.,No migration background,No,0.9385558361697385,2236,20667,0.9383843581084879,0.9387273142309891
2011,17-29 y.,Direct migration background,No,1.0,205,20667,1.0,1.0
2011,17-29 y.,Indirect migration background,No,1.0,370,20667,1.0,1.0
2011,30-45 y.,No migration background,Yes,0.07557875890792483,301,20667,0.07542040018018267,0.07573711763566698
2011,30-45 y.,No migration background,No,0.9244212410920751,3655,20667,0.924262882364333,0.9245795998198173
2011,30-45 y.,Direct migration background,Yes,0.04259185458349674,35,20667,0.04230642680968151,0.042877282357311974
2011,30-45 y.,Direct migration background,No,0.9574081454165033,553,20667,0.9571227176426881,0.9576935731903186
2011,30-45 y.,Indirect migration background,No,1.0,290,20667,1.0,1.0
2011,46-65 y.,No migration background,Yes,0.0522631223338231,374,20667,0.05216127207054204,0.05236497259710417
2011,46-65 y.,No migration background,No,0.9477368776661769,6519,20667,0.9476350274028958,0.9478387279294579
2011,46-65 y.,Direct migration background,Yes,0.08419283877228456,52,20667,0.08387994340288694,0.08450573414168218
2011,46-65 y.,Direct migration background,No,0.9158071612277153,741,20667,0.9154942658583177,0.9161200565971129
2011,46-65 y.,Indirect migration background,No,1.0,78,20667,1.0,1.0
2011,66 and older,No migration background,Yes,0.036418482074488036,162,20667,0.036321896925301626,0.036515067223674445
2011,66 and older,No migration background,No,0.9635815179255119,4534,20667,0.9634849327763255,0.9636781030746984
2011,66 and older,Direct migration background,No,1.0,403,20667,1.0,1.0
2013,17-29 y.,No migration background,Yes,0.07426347953482153,145,18791,0.0740657317863709,0.07446122728327216
2013,17-29 y.,No migration background,No,0.9257365204651785,1903,18791,0.9255387727167279,0.9259342682136291
2013,17-29 y.,Direct migration background,No,1.0,169,18791,1.0,1.0
2013,17-29 y.,Indirect migration background,No,1.0,290,18791,1.0,1.0
2013,30-45 y.,No migration background,Yes,0.08793918844057975,287,18791,0.08775939858633769,0.08811897829482182
2013,30-45 y.,No migration background,No,0.9120608115594202,3017,18791,0.9118810217051782,0.9122406014136623
2013,30-45 y.,Direct migration background,Yes,0.04796241586590561,33,18791,0.04756622142519667,0.048358610306614556
