"ple0017","year","bildungsniveau","migback","n","percent","lower_confidence","upper_confidence"
"Ja","2009","(noch) kein Abschluss","kein Migrationshintergrund","8","","",""
"Ja","2009","(noch) kein Abschluss","direkter Migrationshintergrund","9","","",""
"Ja","2009","(noch) kein Abschluss","indirekter Migrationshintergrund","3","","",""
"Ja","2009","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2009","Hauptschule","kein Migrationshintergrund","210","0.0394798867483928","0.034198221914899","0.0447615515818866"
"Ja","2009","Hauptschule","direkter Migrationshintergrund","38","0.0517719480585211","0.036202904077318","0.0673409920397243"
"Ja","2009","Hauptschule","indirekter Migrationshintergrund","17","","",""
"Ja","2009","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2009","Realschule","kein Migrationshintergrund","253","0.0547065887946199","0.0480623540605265","0.0613508235287133"
"Ja","2009","Realschule","direkter Migrationshintergrund","11","","",""
"Ja","2009","Realschule","indirekter Migrationshintergrund","11","","",""
"Ja","2009","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2009","(Fach-)Abitur","kein Migrationshintergrund","102","0.0631333537878111","0.051231510482298","0.0750351970933242"
"Ja","2009","(Fach-)Abitur","direkter Migrationshintergrund","14","","",""
"Ja","2009","(Fach-)Abitur","indirekter Migrationshintergrund","8","","",""
"Ja","2009","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2009","AkademikerIn","kein Migrationshintergrund","192","0.0540661745532637","0.0467355969376832","0.0613967521688442"
"Ja","2009","AkademikerIn","direkter Migrationshintergrund","19","","",""
"Ja","2009","AkademikerIn","indirekter Migrationshintergrund","2","","",""
"Ja","2009","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2009","(noch) kein Abschluss","kein Migrationshintergrund","308","0.967144788096328","0.947490721020984","0.986798855171672"
"Nein","2009","(noch) kein Abschluss","direkter Migrationshintergrund","103","0.89717772530135","0.840927803287858","0.953427647314842"
"Nein","2009","(noch) kein Abschluss","indirekter Migrationshintergrund","53","0.974059948224104","0.93242746267998","1.01569243376823"
"Nein","2009","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2009","Hauptschule","kein Migrationshintergrund","5012","0.960520113251607","0.955238448418113","0.965801778085101"
