year,migback,sex,ple0017,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,male,Yes,0.02182,152,7498,0.01851,0.02513
2009,No migration background,male,No,0.97818,7346,7498,0.97487,0.98149
2009,No migration background,female,Yes,0.07569,636,8152,0.06995,0.08143
2009,No migration background,female,No,0.92431,7516,8152,0.91857,0.93005
2009,Direct migration background,male,No,0.97733,744,744,0.96663,0.98803
2009,Direct migration background,female,Yes,0.10100,79,899,0.08129,0.12070
2009,Direct migration background,female,No,0.89900,820,899,0.87930,0.91871
2009,Indirect migration background,male,No,0.93665,323,323,0.91004,0.96325
2009,Indirect migration background,female,No,0.93609,343,343,0.91017,0.96201
2011,No migration background,male,Yes,0.02475,205,8519,0.02145,0.02805
2011,No migration background,male,No,0.97525,8314,8519,0.97195,0.97855
2011,No migration background,female,Yes,0.08227,791,9414,0.07672,0.08783
2011,No migration background,female,No,0.91773,8623,9414,0.91217,0.92328
2011,Direct migration background,male,No,0.98420,879,879,0.97596,0.99245
2011,Direct migration background,female,Yes,0.08836,100,1124,0.07176,0.10496
2011,Direct migration background,female,No,0.91164,1024,1124,0.89504,0.92824
2011,Indirect migration background,male,No,0.95857,367,367,0.93815,0.97899
2011,Indirect migration background,female,Yes,0.08094,36,418,0.05476,0.10712
2011,Indirect migration background,female,No,0.91906,382,418,0.89288,0.94524
2013,No migration background,male,Yes,0.02777,213,7745,0.02411,0.03143
2013,No migration background,male,No,0.97223,7532,7745,0.96857,0.97589
2013,No migration background,female,Yes,0.09845,838,8676,0.09218,0.10472
2013,No migration background,female,No,0.90155,7838,8676,0.89528,0.90782
2013,Direct migration background,male,No,0.98212,735,735,0.97253,0.99170
2013,Direct migration background,female,Yes,0.10164,94,994,0.08285,0.12044
2013,Direct migration background,female,No,0.89836,900,994,0.87956,0.91715
2013,Indirect migration background,male,No,0.96959,323,323,0.95083,0.98835
2013,Indirect migration background,female,Yes,0.07570,39,362,0.04842,0.10299
2013,Indirect migration background,female,No,0.92430,323,362,0.89701,0.95158
2015,No migration background,male,Yes,0.03116,257,8737,0.02752,0.03480
2015,No migration background,male,No,0.96884,8480,8737,0.96520,0.97248
2015,No migration background,female,Yes,0.09473,1048,10286,0.08907,0.10039
2015,No migration background,female,No,0.90527,9238,10286,0.89961,0.91093
2015,Direct migration background,male,Yes,0.03197,47,2001,0.02426,0.03968
2015,Direct migration background,male,No,0.96803,1954,2001,0.96032,0.97574
2015,Direct migration background,female,Yes,0.10805,244,2472,0.09581,0.12030
2015,Direct migration background,female,No,0.89195,2228,2472,0.87970,0.90419
2015,Indirect migration background,male,No,0.97284,701,701,0.96080,0.98488
2015,Indirect migration background,female,Yes,0.13391,97,823,0.11063,0.15719
2015,Indirect migration background,female,No,0.86609,726,823,0.84281,0.88937
2017,No migration background,male,Yes,0.03582,299,9364,0.03206,0.03958
2017,No migration background,male,No,0.96418,9065,9364,0.96042,0.96794
2017,No migration background,female,Yes,0.10122,1135,10747,0.09552,0.10692
2017,No migration background,female,No,0.89878,9612,10747,0.89308,0.90448
2017,Direct migration background,male,Yes,0.02799,68,2133,0.02099,0.03500
2017,Direct migration background,male,No,0.97201,2065,2133,0.96500,0.97901
2017,Direct migration background,female,Yes,0.10262,262,2683,0.09114,0.11411
2017,Direct migration background,female,No,0.89738,2421,2683,0.88589,0.90886
2017,Indirect migration background,male,No,0.94868,734,734,0.93271,0.96466
2017,Indirect migration background,female,Yes,0.13601,111,858,0.11306,0.15896
2017,Indirect migration background,female,No,0.86399,747,858,0.84104,0.88694
2019,No migration background,male,Yes,0.03865,333,9729,0.03482,0.04248
2019,No migration background,male,No,0.96135,9396,9729,0.95752,0.96518
2019,No migration background,female,Yes,0.10375,1163,10388,0.09788,0.10961
2019,No migration background,female,No,0.89625,9225,10388,0.89039,0.90212
2019,Direct migration background,male,Yes,0.03244,63,1805,0.02427,0.04062
2019,Direct migration background,male,No,0.96756,1742,1805,0.95938,0.97573
2019,Direct migration background,female,Yes,0.10063,230,2225,0.08812,0.11313
2019,Direct migration background,female,No,0.89937,1995,2225,0.88687,0.91188
2019,Indirect migration background,male,No,0.96721,718,718,0.95418,0.98025
2019,Indirect migration background,female,Yes,0.13331,97,828,0.11014,0.15648
2019,Indirect migration background,female,No,0.86669,731,828,0.84352,0.88986
2021,No migration background,male,Yes,0.04909,261,6165,0.04369,0.05448
2021,No migration background,male,No,0.95091,5904,6165,0.94552,0.95631
2021,No migration background,female,Yes,0.12260,891,6882,0.11485,0.13035
2021,No migration background,female,No,0.87740,5991,6882,0.86965,0.88515
2021,Direct migration background,male,Yes,0.02934,96,2685,0.02295,0.03572
2021,Direct migration background,male,No,0.97066,2589,2685,0.96428,0.97705
2021,Direct migration background,female,Yes,0.13074,258,2499,0.11752,0.14396
2021,Direct migration background,female,No,0.86926,2241,2499,0.85604,0.88248
2021,Indirect migration background,male,No,0.97249,422,422,0.95686,0.98811
2021,Indirect migration background,female,Yes,0.11466,59,486,0.08630,0.14302
2021,Indirect migration background,female,No,0.88534,427,486,0.85698,0.91370
