year,regtyp,ple0017,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,Yes,0.05387,626,11719,0.04978,0.05795
2009,Urban regions,No,0.94613,11093,11719,0.94205,0.95022
2009,Rural regions,Yes,0.04771,300,6299,0.04245,0.05298
2009,Rural regions,No,0.95229,5999,6299,0.94702,0.95755
2011,Urban regions,Yes,0.05675,775,13392,0.05283,0.06067
2011,Urban regions,No,0.94325,12617,13392,0.93933,0.94717
2011,Rural regions,Yes,0.04942,381,7353,0.04446,0.05437
2011,Rural regions,No,0.95058,6972,7353,0.94563,0.95554
2013,Urban regions,Yes,0.06512,818,12074,0.06072,0.06952
2013,Urban regions,No,0.93488,11256,12074,0.93048,0.93928
2013,Rural regions,Yes,0.06030,397,6792,0.05464,0.06597
2013,Rural regions,No,0.93970,6395,6792,0.93403,0.94536
2015,Urban regions,Yes,0.06867,1163,16200,0.06477,0.07256
2015,Urban regions,No,0.93133,15037,16200,0.92744,0.93523
2015,Rural regions,Yes,0.05893,550,8840,0.05402,0.06384
2015,Rural regions,No,0.94107,8290,8840,0.93616,0.94598
2017,Urban regions,Yes,0.07355,1287,17180,0.06964,0.07745
2017,Urban regions,No,0.92645,15893,17180,0.92255,0.93036
2017,Rural regions,Yes,0.06250,618,9369,0.05760,0.06741
2017,Rural regions,No,0.93750,8751,9369,0.93259,0.94240
2019,No answer / don't know,Yes,0.12844,69,554,0.10055,0.15632
2019,No answer / don't know,No,0.87156,485,554,0.84368,0.89945
2019,Urban regions,Yes,0.07476,1252,16391,0.07073,0.07878
2019,Urban regions,No,0.92524,15139,16391,0.92122,0.92927
2019,Rural regions,Yes,0.06249,593,8781,0.05743,0.06756
2019,Rural regions,No,0.93751,8188,8781,0.93244,0.94257
2021,Urban regions,Yes,0.09243,1099,13012,0.08745,0.09741
2021,Urban regions,No,0.90757,11913,13012,0.90259,0.91255
2021,Rural regions,Yes,0.06836,485,6151,0.06206,0.07467
2021,Rural regions,No,0.93164,5666,6151,0.92533,0.93794
