year,migback,ple0017,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,Yes,0.04935,788,15650,0.04595,0.05274
2009,No migration background,No,0.95065,14862,15650,0.94726,0.95405
2009,Direct migration background,Yes,0.06425,95,1659,0.05245,0.07606
2009,Direct migration background,No,0.93575,1564,1659,0.92394,0.94755
2009,Indirect migration background,Yes,0.06363,43,709,0.04565,0.08162
2009,Indirect migration background,No,0.93637,666,709,0.91838,0.95435
2011,No migration background,Yes,0.05401,996,17933,0.05070,0.05732
2011,No migration background,No,0.94599,16937,17933,0.94268,0.94930
2011,Direct migration background,Yes,0.05502,113,2016,0.04506,0.06497
2011,Direct migration background,No,0.94498,1903,2016,0.93503,0.95494
2011,Indirect migration background,Yes,0.05991,47,796,0.04341,0.07640
2011,Indirect migration background,No,0.94009,749,796,0.92360,0.95659
2013,No migration background,Yes,0.06393,1051,16421,0.06019,0.06767
2013,No migration background,No,0.93607,15370,16421,0.93233,0.93981
2013,Direct migration background,Yes,0.06258,111,1746,0.05122,0.07395
2013,Direct migration background,No,0.93742,1635,1746,0.92605,0.94878
2013,Indirect migration background,Yes,0.05225,53,699,0.03574,0.06876
2013,Indirect migration background,No,0.94775,646,699,0.93124,0.96426
2015,No migration background,Yes,0.06384,1305,19023,0.06036,0.06731
2015,No migration background,No,0.93616,17718,19023,0.93269,0.93964
2015,Direct migration background,Yes,0.07149,291,4473,0.06393,0.07904
2015,Direct migration background,No,0.92851,4182,4473,0.92096,0.93607
2015,Indirect migration background,Yes,0.07738,117,1544,0.06405,0.09071
2015,Indirect migration background,No,0.92262,1427,1544,0.90929,0.93595
2017,No migration background,Yes,0.06907,1434,20111,0.06556,0.07257
2017,No migration background,No,0.93093,18677,20111,0.92743,0.93444
2017,Direct migration background,Yes,0.06766,330,4816,0.06057,0.07476
2017,Direct migration background,No,0.93234,4486,4816,0.92524,0.93943
2017,Indirect migration background,Yes,0.09121,141,1622,0.07720,0.10523
2017,Indirect migration background,No,0.90879,1481,1622,0.89477,0.92280
2019,No migration background,Yes,0.07183,1497,20123,0.06826,0.07540
2019,No migration background,No,0.92817,18626,20123,0.92460,0.93174
2019,Direct migration background,Yes,0.06824,293,4030,0.06045,0.07602
2019,Direct migration background,No,0.93176,3737,4030,0.92398,0.93955
2019,Indirect migration background,Yes,0.08177,124,1573,0.06822,0.09532
2019,Indirect migration background,No,0.91823,1449,1573,0.90468,0.93178
2021,No migration background,Yes,0.08644,1153,13054,0.08162,0.09127
2021,No migration background,No,0.91356,11901,13054,0.90873,0.91838
2021,Direct migration background,Yes,0.08109,354,5184,0.07366,0.08852
2021,Direct migration background,No,0.91891,4830,5184,0.91148,0.92634
2021,Indirect migration background,Yes,0.07033,77,926,0.05385,0.08680
2021,Indirect migration background,No,0.92967,849,926,0.91320,0.94615
