year,age_gr,sampreg,ple0017,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,West,Yes,0.05172,109,2131,0.04231,0.06112
2009,17-29 y.,West,No,0.87525,2022,2131,0.86122,0.88928
2009,17-29 y.,East,Yes,0.04820,40,724,0.03259,0.06381
2009,17-29 y.,East,No,0.91822,684,724,0.89824,0.93819
2009,30-45 y.,West,Yes,0.06266,242,3610,0.05475,0.07056
2009,30-45 y.,West,No,0.93734,3368,3610,0.92944,0.94525
2009,30-45 y.,East,Yes,0.05701,60,1065,0.04308,0.07095
2009,30-45 y.,East,No,0.94299,1005,1065,0.92905,0.95692
2009,46-65 y.,West,Yes,0.05824,257,4689,0.05154,0.06494
2009,46-65 y.,West,No,0.94176,4432,4689,0.93506,0.94846
2009,46-65 y.,East,Yes,0.05691,84,1636,0.04568,0.06814
2009,46-65 y.,East,No,0.94309,1552,1636,0.93186,0.95432
2009,66 and older,West,Yes,0.03076,100,3047,0.02463,0.03689
2009,66 and older,West,No,0.96924,2947,3047,0.96311,0.97537
2009,66 and older,East,Yes,0.02889,34,1116,0.01906,0.03872
2009,66 and older,East,No,0.97111,1082,1116,0.96128,0.98094
2011,17-29 y.,West,Yes,0.04406,137,2322,0.03571,0.05241
2011,17-29 y.,West,No,0.78708,2185,2322,0.77042,0.80373
2011,17-29 y.,East,Yes,0.04665,46,672,0.03070,0.06261
2011,17-29 y.,East,No,0.80767,626,672,0.77785,0.83749
2011,30-45 y.,West,Yes,0.05869,288,3773,0.05119,0.06619
2011,30-45 y.,West,No,0.73000,3485,3773,0.71583,0.74417
2011,30-45 y.,East,Yes,0.05044,70,1083,0.03740,0.06348
2011,30-45 y.,East,No,0.73266,1013,1083,0.70629,0.75904
2011,46-65 y.,West,Yes,0.05647,340,5891,0.05058,0.06237
2011,46-65 y.,West,No,0.89930,5551,5891,0.89162,0.90699
2011,46-65 y.,East,Yes,0.04657,97,1883,0.03705,0.05609
2011,46-65 y.,East,No,0.92100,1786,1883,0.90881,0.93318
2011,66 and older,West,Yes,0.03770,145,3854,0.03169,0.04371
2011,66 and older,West,No,0.96145,3709,3854,0.95537,0.96753
2011,66 and older,East,Yes,0.02894,33,1267,0.01971,0.03818
2011,66 and older,East,No,0.97046,1234,1267,0.96113,0.97979
2013,17-29 y.,West,Yes,0.04846,137,2034,0.03912,0.05779
2013,17-29 y.,West,No,0.62453,1897,2034,0.60348,0.64558
2013,17-29 y.,East,Yes,0.04812,37,502,0.02938,0.06686
2013,17-29 y.,East,No,0.75406,465,502,0.71635,0.79177
2013,30-45 y.,West,Yes,0.05496,273,3160,0.04701,0.06290
2013,30-45 y.,West,No,0.61300,2887,3160,0.59602,0.62999
2013,30-45 y.,East,Yes,0.05952,70,913,0.04416,0.07487
2013,30-45 y.,East,No,0.69307,843,913,0.66313,0.72300
2013,46-65 y.,West,Yes,0.06379,404,5500,0.05733,0.07025
2013,46-65 y.,West,No,0.82963,5096,5500,0.81969,0.83957
2013,46-65 y.,East,Yes,0.05496,106,1819,0.04449,0.06544
2013,46-65 y.,East,No,0.89031,1713,1819,0.87594,0.90467
2013,66 and older,West,Yes,0.04381,156,3720,0.03723,0.05038
2013,66 and older,West,No,0.94836,3564,3720,0.94124,0.95547
2013,66 and older,East,Yes,0.02635,32,1218,0.01735,0.03535
2013,66 and older,East,No,0.97090,1186,1218,0.96145,0.98034
2015,17-29 y.,West,Yes,0.05798,216,3270,0.04997,0.06599
2015,17-29 y.,West,No,0.82504,3054,3270,0.81201,0.83806
2015,17-29 y.,East,Yes,0.05672,41,653,0.03897,0.07448
2015,17-29 y.,East,No,0.84205,612,653,0.81406,0.87004
2015,30-45 y.,West,Yes,0.08024,514,5893,0.07330,0.08718
2015,30-45 y.,West,No,0.86873,5379,5893,0.86011,0.87735
2015,30-45 y.,East,Yes,0.06862,119,1463,0.05566,0.08158
2015,30-45 y.,East,No,0.90399,1344,1463,0.88889,0.91910
2015,46-65 y.,West,Yes,0.07603,531,6959,0.06980,0.08225
2015,46-65 y.,West,No,0.91480,6428,6959,0.90824,0.92136
2015,46-65 y.,East,Yes,0.04791,110,1918,0.03835,0.05747
2015,46-65 y.,East,No,0.94661,1808,1918,0.93654,0.95667
2015,66 and older,West,Yes,0.04557,154,3665,0.03882,0.05232
2015,66 and older,West,No,0.95322,3511,3665,0.94638,0.96005
2015,66 and older,East,No,0.97377,1191,1191,0.96469,0.98285
2017,17-29 y.,West,Yes,0.06882,264,3619,0.06057,0.07707
2017,17-29 y.,West,No,0.84012,3355,3619,0.82817,0.85206
2017,17-29 y.,East,Yes,0.07759,54,740,0.05830,0.09688
2017,17-29 y.,East,No,0.85305,686,740,0.82752,0.87858
2017,30-45 y.,West,Yes,0.08096,527,5793,0.07393,0.08798
2017,30-45 y.,West,No,0.90826,5266,5793,0.90083,0.91569
2017,30-45 y.,East,Yes,0.07731,121,1464,0.06362,0.09099
2017,30-45 y.,East,No,0.91339,1343,1464,0.89897,0.92780
2017,46-65 y.,West,Yes,0.07958,622,7804,0.07357,0.08558
2017,46-65 y.,West,No,0.91821,7182,7804,0.91213,0.92429
2017,46-65 y.,East,Yes,0.05651,129,2169,0.04679,0.06623
2017,46-65 y.,East,No,0.94128,2040,2169,0.93138,0.95118
2017,66 and older,West,Yes,0.05042,156,3743,0.04341,0.05743
2017,66 and older,West,No,0.94915,3587,3743,0.94212,0.95619
2017,66 and older,East,Yes,0.02879,32,1217,0.01939,0.03819
2017,66 and older,East,No,0.97115,1185,1217,0.96174,0.98056
2019,17-29 y.,West,Yes,0.06550,240,3193,0.05692,0.07408
