year,hhtyp,quintil_oecd_hh,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,Single-person household,1st Quintile,No,0.88677,279,279,0.84952,0.92402
1991,Single-person household,2nd Quintile,No,0.88027,263,263,0.84096,0.91958
1991,Single-person household,3rd Quintile,No,0.88978,206,206,0.84691,0.93265
1991,Single-person household,4th Quintile,No,0.80438,199,199,0.74913,0.85964
1991,Single-person household,5th Quintile,"Yes, Regularly",0.16270,33,194,0.11063,0.21477
1991,Single-person household,5th Quintile,No,0.72290,161,194,0.65976,0.78605
1991,Couple without children,1st Quintile,No,0.97726,451,451,0.96348,0.99103
1991,Couple without children,2nd Quintile,No,0.94199,176,176,0.90735,0.97662
1991,Couple without children,3rd Quintile,No,0.97234,239,239,0.95150,0.99318
1991,Couple without children,4th Quintile,No,0.90785,291,291,0.87456,0.94114
1991,Couple without children,5th Quintile,"Yes, Regularly",0.13085,49,397,0.09764,0.16407
1991,Couple without children,5th Quintile,No,0.80748,348,397,0.76864,0.84631
1991,Single parent,2nd Quintile,No,0.98874,99,99,0.96785,1.00963
1991,Single parent,4th Quintile,No,0.87462,49,49,0.78094,0.96830
1991,Couple with children,1st Quintile,No,0.99534,1043,1043,0.99120,0.99947
1991,Couple with children,2nd Quintile,No,0.98697,483,483,0.97684,0.99709
1991,Couple with children,3rd Quintile,No,0.96576,554,554,0.95061,0.98092
1991,Couple with children,4th Quintile,No,0.95382,496,496,0.93533,0.97231
1991,Couple with children,5th Quintile,"Yes, Regularly",0.12800,41,344,0.09264,0.16335
1991,Couple with children,5th Quintile,No,0.81837,303,344,0.77757,0.85917
1991,Multi-generational household,1st Quintile,No,0.95487,43,43,0.89208,1.01765
1991,Other Combinations,1st Quintile,No,0.96905,57,57,0.92370,1.01441
1994,Single-person household,1st Quintile,No,0.90625,377,377,0.87679,0.93572
1994,Single-person household,2nd Quintile,No,0.86493,218,218,0.81945,0.91041
1994,Single-person household,3rd Quintile,No,0.83657,227,227,0.78836,0.88477
1994,Single-person household,4th Quintile,No,0.84592,189,189,0.79432,0.89753
1994,Single-person household,5th Quintile,"Yes, Regularly",0.19881,33,190,0.14191,0.25571
1994,Single-person household,5th Quintile,No,0.69466,157,190,0.62900,0.76032
1994,Couple without children,1st Quintile,No,0.94328,243,243,0.91414,0.97242
1994,Couple without children,2nd Quintile,No,0.95295,302,302,0.92903,0.97687
1994,Couple without children,3rd Quintile,No,0.97574,301,301,0.95833,0.99315
1994,Couple without children,4th Quintile,No,0.93746,373,373,0.91285,0.96206
1994,Couple without children,5th Quintile,"Yes, Regularly",0.13729,51,452,0.10553,0.16905
1994,Couple without children,5th Quintile,No,0.79768,401,452,0.76061,0.83476
1994,Single parent,1st Quintile,No,0.98936,122,122,0.97107,1.00764
1994,Single parent,2nd Quintile,No,0.99168,86,86,0.97236,1.01099
1994,Single parent,3rd Quintile,No,0.89377,49,49,0.80659,0.98094
1994,Single parent,4th Quintile,No,0.87194,49,49,0.77741,0.96647
1994,Couple with children,1st Quintile,No,0.98546,467,467,0.97459,0.99633
1994,Couple with children,2nd Quintile,No,0.96714,663,663,0.95356,0.98072
1994,Couple with children,3rd Quintile,No,0.95648,638,638,0.94063,0.97232
1994,Couple with children,4th Quintile,No,0.94002,465,465,0.91842,0.96163
1994,Couple with children,5th Quintile,"Yes, Regularly",0.13882,40,340,0.10201,0.17562
1994,Couple with children,5th Quintile,No,0.79687,300,340,0.75404,0.83970
