"hlf0261","year","quintil","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja, regelmaessig","1999","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja, regelmaessig","1999","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja, regelmaessig","1999","2","Westdeutschland","57","0.0227136701872914","0.0178888159073746","0.0275385244672083"
"Ja, regelmaessig","1999","2","Ostdeutschland","12","","",""
"Ja, regelmaessig","1999","3","Westdeutschland","111","0.0584786080203595","0.0496262237476456","0.0673309922930734"
"Ja, regelmaessig","1999","3","Ostdeutschland","6","","",""
"Ja, regelmaessig","1999","4","Westdeutschland","157","0.101543413389353","0.088322382191279","0.114764444587427"
"Ja, regelmaessig","1999","4","Ostdeutschland","13","","",""
"Ja, regelmaessig","1999","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja, regelmaessig","1999","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja, gelegentlich","1999","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja, gelegentlich","1999","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja, gelegentlich","1999","2","Westdeutschland","70","0.0266000390848302","0.0213890947811793","0.0318109833884811"
"Ja, gelegentlich","1999","2","Ostdeutschland","8","","",""
"Ja, gelegentlich","1999","3","Westdeutschland","96","0.0432554663085631","0.0355807003133743","0.0509302323037518"
"Ja, gelegentlich","1999","3","Ostdeutschland","11","","",""
"Ja, gelegentlich","1999","4","Westdeutschland","76","0.0498463920599077","0.0403205214548256","0.0593722626649898"
"Ja, gelegentlich","1999","4","Ostdeutschland","3","","",""
"Ja, gelegentlich","1999","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja, gelegentlich","1999","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","1999","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","1999","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","1999","2","Westdeutschland","3536","0.950686290727878","0.943674449355795","0.957698132099962"
"Nein","1999","2","Ostdeutschland","1600","0.979459095577092","0.972552030999649","0.986366160154535"
"Nein","1999","3","Westdeutschland","2492","0.898265925671077","0.886861265984878","0.909670585357277"
"Nein","1999","3","Ostdeutschland","937","0.978171122509712","0.968898618620744","0.98744362639868"
"Nein","1999","4","Westdeutschland","1772","0.848610194550739","0.83292126400709","0.864299125094388"
"Nein","1999","4","Ostdeutschland","390","0.957206560144483","0.937519697725417","0.976893422563548"
"Nein","1999","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","1999","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja, regelmaessig","2000","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja, regelmaessig","2000","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja, regelmaessig","2000","2","Westdeutschland","147","0.03148195776034","0.0271656631046126","0.0357982524160674"
"Ja, regelmaessig","2000","2","Ostdeutschland","15","","",""
"Ja, regelmaessig","2000","3","Westdeutschland","200","0.0396008820674389","0.0343165204509393","0.0448852436839385"
"Ja, regelmaessig","2000","3","Ostdeutschland","7","","",""
"Ja, regelmaessig","2000","4","Westdeutschland","294","0.0740761128275115","0.0659498964983914","0.0822023291566315"
"Ja, regelmaessig","2000","4","Ostdeutschland","22","","",""
"Ja, regelmaessig","2000","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja, regelmaessig","2000","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja, gelegentlich","2000","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja, gelegentlich","2000","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja, gelegentlich","2000","2","Westdeutschland","100","0.0192421905849622","0.0158464500079303","0.0226379311619941"
"Ja, gelegentlich","2000","2","Ostdeutschland","4","","",""
"Ja, gelegentlich","2000","3","Westdeutschland","106","0.02710653944133","0.022706223053173","0.031506855829487"
"Ja, gelegentlich","2000","3","Ostdeutschland","13","","",""
"Ja, gelegentlich","2000","4","Westdeutschland","196","0.0541101296902879","0.0470903866025925","0.0611298727779832"
"Ja, gelegentlich","2000","4","Ostdeutschland","7","","",""
"Ja, gelegentlich","2000","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja, gelegentlich","2000","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2000","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2000","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2000","2","Westdeutschland","6040","0.949275851654698","0.943851723282137","0.954699980027259"
"Nein","2000","2","Ostdeutschland","2322","0.985109791625963","0.980203649899685","0.990015933352242"
"Nein","2000","3","Westdeutschland","4926","0.933292578491231","0.926531589847358","0.940053567135104"
"Nein","2000","3","Ostdeutschland","1438","0.978859662680438","0.971475767864332","0.986243557496545"
"Nein","2000","4","Westdeutschland","3500","0.871813757482201","0.861441000315451","0.88218651464895"
"Nein","2000","4","Ostdeutschland","680","0.960979944014715","0.946726294375116","0.975233593654314"
"Nein","2000","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","2000","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja, regelmaessig","2001","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja, regelmaessig","2001","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja, regelmaessig","2001","2","Westdeutschland","156","0.0348137643022968","0.0299954874818504","0.0396320411227433"
"Ja, regelmaessig","2001","2","Ostdeutschland","11","","",""
"Ja, regelmaessig","2001","3","Westdeutschland","189","0.0453594755490284","0.0394915645560081","0.0512273865420488"
"Ja, regelmaessig","2001","3","Ostdeutschland","21","","",""
"Ja, regelmaessig","2001","4","Westdeutschland","324","0.0889504091085339","0.0799594439363995","0.0979413742806684"
"Ja, regelmaessig","2001","4","Ostdeutschland","8","","",""
"Ja, regelmaessig","2001","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja, regelmaessig","2001","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja, gelegentlich","2001","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja, gelegentlich","2001","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja, gelegentlich","2001","2","Westdeutschland","75","0.0186168916688189","0.0150639868721523","0.0221697964654854"
"Ja, gelegentlich","2001","2","Ostdeutschland","19","","",""
"Ja, gelegentlich","2001","3","Westdeutschland","145","0.0356134806791856","0.030387565596363","0.0408393957620083"
"Ja, gelegentlich","2001","3","Ostdeutschland","13","","",""
