,Unnamed: 0,year,hhtyp,hlf0261,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1991,Single-person household,"Yes, Regularly",0.0888,93,6518,0.0835,0.09378
1,1,1991,Single-person household,"Yes, Occasionally",0.07018,76,6518,0.06527,0.07494
2,2,1991,Single-person household,No,0.84102,1108,6518,0.81346,0.86201
3,3,1991,Couple without children,"Yes, Regularly",0.05328,68,6518,0.04767,0.05848
4,4,1991,Couple without children,"Yes, Occasionally",0.03778,48,6518,0.03377,0.04144
5,5,1991,Couple without children,No,0.90894,1505,6518,0.8863,0.9329
6,6,1991,Single parent,No,1.0,359,6518,0.94966,1.06247
7,7,1991,Couple with children,"Yes, Regularly",0.03422,61,6518,0.03086,0.0386
8,8,1991,Couple with children,"Yes, Occasionally",0.01854,32,6518,0.01599,0.02149
9,9,1991,Couple with children,No,0.94723,2879,6518,0.92598,0.97599
10,10,1991,Multi-generational household,No,1.0,147,6518,0.84264,1.12214
11,11,1991,Other Combinations,No,1.0,142,6518,0.90047,1.11972
12,12,1994,Single-person household,"Yes, Regularly",0.08773,82,6315,0.08151,0.09376
13,13,1994,Single-person household,"Yes, Occasionally",0.07158,70,6315,0.06496,0.07909
14,14,1994,Single-person household,No,0.84069,1171,6315,0.81822,0.86772
15,15,1994,Couple without children,"Yes, Regularly",0.05774,70,6315,0.05044,0.06522
16,16,1994,Couple without children,"Yes, Occasionally",0.03683,44,6315,0.03264,0.0415
17,17,1994,Couple without children,No,0.90543,1621,6315,0.87783,0.93266
18,18,1994,Single parent,No,1.0,331,6315,0.93214,1.06895
19,19,1994,Couple with children,"Yes, Regularly",0.04482,75,6315,0.03948,0.05077
20,20,1994,Couple with children,"Yes, Occasionally",0.02363,42,6315,0.01845,0.0294
21,21,1994,Couple with children,No,0.93155,2533,6315,0.8988,0.95869
22,22,1994,Multi-generational household,No,1.0,120,6315,0.83062,1.17006
23,23,1994,Other Combinations,No,1.0,156,6315,0.9038,1.09533
24,24,1999,Single-person household,"Yes, Regularly",0.0868,105,7065,0.08132,0.09309
25,25,1999,Single-person household,"Yes, Occasionally",0.05861,74,7065,0.05237,0.06404
26,26,1999,Single-person household,No,0.8546,1448,7065,0.83336,0.87872
27,27,1999,Couple without children,"Yes, Regularly",0.06956,103,7065,0.06207,0.07697
28,28,1999,Couple without children,"Yes, Occasionally",0.0333,51,7065,0.02866,0.03882
29,29,1999,Couple without children,No,0.89714,1987,7065,0.8733,0.92459
30,30,1999,Single parent,No,1.0,427,7065,0.93794,1.05813
31,31,1999,Couple with children,"Yes, Regularly",0.04886,84,7065,0.04086,0.05532
32,32,1999,Couple with children,"Yes, Occasionally",0.01961,45,7065,0.01615,0.02389
33,33,1999,Couple with children,No,0.93153,2587,7065,0.90157,0.96142
34,34,1999,Multi-generational household,No,1.0,92,7065,0.82859,1.16719
35,35,1999,Other Combinations,No,1.0,62,7065,0.83771,1.20207
36,36,2000,Single-person household,"Yes, Regularly",0.084,234,12772,0.07988,0.08787
37,37,2000,Single-person household,"Yes, Occasionally",0.0454,127,12772,0.04226,0.04871
38,38,2000,Single-person household,No,0.8706,2868,12772,0.85349,0.88353
