year,hhtyp,sampreg,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,Single-person household,West,"Yes, Regularly",0.09306,80,994,0.07499,0.11113
1991,Single-person household,West,"Yes, Occasionally",0.07326,62,994,0.05706,0.08947
1991,Single-person household,West,No,0.81828,852,994,0.79430,0.84227
1991,Single-person household,East,No,0.88930,256,256,0.85078,0.92781
1991,Couple without children,West,"Yes, Regularly",0.06190,64,1176,0.04812,0.07568
1991,Couple without children,West,"Yes, Occasionally",0.04259,43,1176,0.03104,0.05413
1991,Couple without children,West,No,0.87155,1069,1176,0.85242,0.89068
1991,Couple without children,East,No,0.97454,436,436,0.95974,0.98934
1991,Single parent,West,No,0.92038,246,246,0.88648,0.95427
1991,Couple with children,West,"Yes, Regularly",0.04311,59,1905,0.03399,0.05223
1991,Couple with children,West,No,0.92539,1846,1905,0.91358,0.93719
1991,Couple with children,East,No,0.99163,1033,1033,0.98607,0.99719
1991,Multi-generational household,West,No,0.95045,104,104,0.90853,0.99236
1991,Multi-generational household,East,No,0.95487,43,43,0.89208,1.01765
1991,Other Combinations,West,No,0.92583,88,88,0.87076,0.98089
1991,Other Combinations,East,No,0.95031,54,54,0.89180,1.00881
1994,Single-person household,West,"Yes, Regularly",0.09384,73,1012,0.07586,0.11181
1994,Single-person household,West,"Yes, Occasionally",0.07740,63,1012,0.06092,0.09387
1994,Single-person household,West,No,0.79160,876,1012,0.76656,0.81664
1994,Single-person household,East,No,0.92810,295,295,0.89857,0.95763
1994,Couple without children,West,"Yes, Regularly",0.06735,65,1249,0.05344,0.08125
1994,Couple without children,West,"Yes, Occasionally",0.04245,41,1249,0.03127,0.05364
1994,Couple without children,West,No,0.86478,1143,1249,0.84581,0.88376
1994,Couple without children,East,No,0.96561,478,478,0.94926,0.98197
1994,Single parent,West,No,0.87837,225,225,0.83556,0.92117
1994,Single parent,East,No,0.99380,106,106,0.97878,1.00881
1994,Couple with children,West,"Yes, Regularly",0.05433,73,1804,0.04387,0.06479
1994,Couple with children,West,"Yes, Occasionally",0.02758,38,1804,0.02002,0.03514
1994,Couple with children,West,No,0.88670,1693,1804,0.87207,0.90133
1994,Couple with children,East,No,0.98430,840,840,0.97589,0.99271
1994,Multi-generational household,West,No,0.81263,87,87,0.73016,0.89510
1994,Multi-generational household,East,No,0.86293,33,33,0.74376,0.98209
1994,Other Combinations,West,No,0.86463,98,98,0.79654,0.93271
1999,Single-person household,West,"Yes, Regularly",0.09838,95,1212,0.08161,0.11516
1999,Single-person household,West,"Yes, Occasionally",0.06471,64,1212,0.05086,0.07857
1999,Single-person household,West,No,0.82828,1053,1212,0.80704,0.84952
1999,Single-person household,East,No,0.94080,395,395,0.91750,0.96410
1999,Couple without children,West,"Yes, Regularly",0.08133,96,1538,0.06767,0.09500
1999,Couple without children,West,"Yes, Occasionally",0.04019,49,1538,0.03037,0.05001
1999,Couple without children,West,No,0.86982,1393,1538,0.85300,0.88664
1999,Couple without children,East,No,0.98103,594,594,0.97005,0.99201
1999,Single parent,West,No,0.91376,289,289,0.88134,0.94618
1999,Couple with children,West,"Yes, Regularly",0.05537,75,1989,0.04532,0.06543
1999,Couple with children,West,"Yes, Occasionally",0.02275,40,1989,0.01619,0.02930
1999,Couple with children,West,No,0.91415,1874,1989,0.90183,0.92646
1999,Couple with children,East,No,0.97504,713,713,0.96358,0.98650
1999,Multi-generational household,West,No,0.84465,67,67,0.75726,0.93205
1999,Other Combinations,West,No,0.87707,45,45,0.78005,0.97409
2000,Single-person household,West,"Yes, Regularly",0.09359,209,2470,0.08210,0.10508
2000,Single-person household,West,"Yes, Occasionally",0.04976,113,2470,0.04118,0.05834
2000,Single-person household,West,No,0.84656,2148,2470,0.83235,0.86078
2000,Single-person household,East,No,0.93281,720,720,0.91451,0.95111
2000,Couple without children,West,"Yes, Regularly",0.06705,187,2974,0.05806,0.07604
2000,Couple without children,West,"Yes, Occasionally",0.03308,94,2974,0.02665,0.03950
2000,Couple without children,West,No,0.88955,2693,2974,0.87828,0.90082
2000,Couple without children,East,No,0.98095,950,950,0.97226,0.98965
2000,Single parent,West,No,0.92176,514,514,0.89852,0.94500
2000,Single parent,East,No,0.98451,205,205,0.96757,1.00146
2000,Couple with children,West,"Yes, Regularly",0.04953,150,3512,0.04235,0.05671
2000,Couple with children,West,"Yes, Occasionally",0.02362,77,3512,0.01860,0.02865
2000,Couple with children,West,No,0.91586,3285,3512,0.90668,0.92505
2000,Couple with children,East,No,0.98112,1053,1053,0.97289,0.98934
2000,Multi-generational household,West,No,0.91770,126,126,0.86952,0.96588
2000,Other Combinations,West,No,0.92460,114,114,0.87592,0.97329
2001,Single-person household,West,"Yes, Regularly",0.10110,201,2217,0.08855,0.11366
2001,Single-person household,West,"Yes, Occasionally",0.05938,119,2217,0.04954,0.06922
2001,Single-person household,West,No,0.83815,1897,2217,0.82282,0.85349
2001,Single-person household,East,No,0.91878,655,655,0.89784,0.93972
2001,Couple without children,West,"Yes, Regularly",0.07722,181,2652,0.06705,0.08738
2001,Couple without children,West,"Yes, Occasionally",0.04665,111,2652,0.03862,0.05468
2001,Couple without children,West,No,0.87090,2360,2652,0.85814,0.88367
2001,Couple without children,East,No,0.97956,910,910,0.97036,0.98876
2001,Single parent,West,No,0.92512,480,480,0.90155,0.94869
2001,Single parent,East,No,0.98848,189,189,0.97323,1.00373
2001,Couple with children,West,"Yes, Regularly",0.05753,162,3195,0.04945,0.06560
2001,Couple with children,West,"Yes, Occasionally",0.02092,71,3195,0.01595,0.02588
2001,Couple with children,West,No,0.91604,2962,3195,0.90642,0.92566
2001,Couple with children,East,No,0.97262,947,947,0.96222,0.98302
2001,Multi-generational household,West,No,0.92000,123,123,0.87186,0.96814
2001,Other Combinations,West,No,0.80352,83,83,0.71751,0.88952
2002,Single-person household,West,"Yes, Regularly",0.09283,207,2206,0.08071,0.10494
2002,Single-person household,West,"Yes, Occasionally",0.05723,112,2206,0.04754,0.06693
2002,Single-person household,West,No,0.84238,1887,2206,0.82717,0.85759
2002,Single-person household,East,No,0.92729,672,672,0.90764,0.94694
2002,Couple without children,West,"Yes, Regularly",0.06547,262,2964,0.05656,0.07438
2002,Couple without children,West,"Yes, Occasionally",0.03555,130,2964,0.02888,0.04221
2002,Couple without children,West,No,0.89664,2572,2964,0.88568,0.90761
2002,Couple without children,East,No,0.97244,911,911,0.96180,0.98308
