"hlf0261","year","bula_h","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja, regelmaessig","1999","Schleswig-Holstein","1 Einkommensschwächstes Quintil","","","",""
"Ja, regelmaessig","1999","Schleswig-Holstein","2","5","","",""
"Ja, regelmaessig","1999","Schleswig-Holstein","3","4","","",""
"Ja, regelmaessig","1999","Schleswig-Holstein","4","1","","",""
"Ja, regelmaessig","1999","Schleswig-Holstein","5 Einkommensstärkstes Quintil","","","",""
"Ja, regelmaessig","1999","Hamburg","1 Einkommensschwächstes Quintil","","","",""
"Ja, regelmaessig","1999","Hamburg","2","","","",""
"Ja, regelmaessig","1999","Hamburg","3","","","",""
"Ja, regelmaessig","1999","Hamburg","4","4","","",""
"Ja, regelmaessig","1999","Hamburg","5 Einkommensstärkstes Quintil","","","",""
"Ja, regelmaessig","1999","Niedersachsen","1 Einkommensschwächstes Quintil","","","",""
"Ja, regelmaessig","1999","Niedersachsen","2","3","","",""
"Ja, regelmaessig","1999","Niedersachsen","3","12","","",""
"Ja, regelmaessig","1999","Niedersachsen","4","10","","",""
"Ja, regelmaessig","1999","Niedersachsen","5 Einkommensstärkstes Quintil","","","",""
"Ja, regelmaessig","1999","Bremen","1 Einkommensschwächstes Quintil","","","",""
"Ja, regelmaessig","1999","Bremen","2","","","",""
"Ja, regelmaessig","1999","Bremen","3","","","",""
"Ja, regelmaessig","1999","Bremen","4","3","","",""
"Ja, regelmaessig","1999","Bremen","5 Einkommensstärkstes Quintil","","","",""
"Ja, regelmaessig","1999","Nordrhein-Westfalen","1 Einkommensschwächstes Quintil","","","",""
"Ja, regelmaessig","1999","Nordrhein-Westfalen","2","21","","",""
"Ja, regelmaessig","1999","Nordrhein-Westfalen","3","43","0.0876150744474678","0.0670060511517362","0.108224097743199"
"Ja, regelmaessig","1999","Nordrhein-Westfalen","4","62","0.187189926087849","0.152475259625809","0.22190459254989"
"Ja, regelmaessig","1999","Nordrhein-Westfalen","5 Einkommensstärkstes Quintil","","","",""
"Ja, regelmaessig","1999","Hessen","1 Einkommensschwächstes Quintil","","","",""
"Ja, regelmaessig","1999","Hessen","2","1","","",""
"Ja, regelmaessig","1999","Hessen","3","13","","",""
"Ja, regelmaessig","1999","Hessen","4","12","","",""
"Ja, regelmaessig","1999","Hessen","5 Einkommensstärkstes Quintil","","","",""
"Ja, regelmaessig","1999","Rheinland-Pfalz,Saarland","1 Einkommensschwächstes Quintil","","","",""
"Ja, regelmaessig","1999","Rheinland-Pfalz,Saarland","2","3","","",""
"Ja, regelmaessig","1999","Rheinland-Pfalz,Saarland","3","11","","",""
"Ja, regelmaessig","1999","Rheinland-Pfalz,Saarland","4","17","","",""
"Ja, regelmaessig","1999","Rheinland-Pfalz,Saarland","5 Einkommensstärkstes Quintil","","","",""
"Ja, regelmaessig","1999","Baden-Wuerttemberg","1 Einkommensschwächstes Quintil","","","",""
"Ja, regelmaessig","1999","Baden-Wuerttemberg","2","15","","",""
