year,hhtyp,regtyp,hlf0261,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1991,Single-person household,Urban regions,"Yes, Regularly",0.09989,78,6367,0.09969,0.10009
1991,Single-person household,Urban regions,"Yes, Occasionally",0.07194,56,6367,0.07177,0.07211
1991,Single-person household,Urban regions,No,0.82816,797,6367,0.82791,0.82841
1991,Single-person household,Rural regions,No,1.00000,304,6367,1.00000,1.00000
1991,Couple without children,Urban regions,"Yes, Regularly",0.06384,56,6367,0.06364,0.06403
1991,Couple without children,Urban regions,"Yes, Occasionally",0.03817,32,6367,0.03802,0.03832
1991,Couple without children,Urban regions,No,0.89800,989,6367,0.89776,0.89823
1991,Couple without children,Rural regions,No,1.00000,509,6367,1.00000,1.00000
1991,Single parent,Urban regions,No,1.00000,245,6367,1.00000,1.00000
1991,Single parent,Rural regions,No,1.00000,111,6367,1.00000,1.00000
1991,Couple with children,Urban regions,"Yes, Regularly",0.04116,48,6367,0.04101,0.04130
1991,Couple with children,Urban regions,No,0.95884,1784,6367,0.95870,0.95899
1991,Couple with children,Rural regions,No,1.00000,1070,6367,1.00000,1.00000
1991,Multi-generational household,Urban regions,No,1.00000,90,6367,1.00000,1.00000
1991,Multi-generational household,Rural regions,No,1.00000,56,6367,1.00000,1.00000
1991,Other Combinations,Urban regions,No,1.00000,80,6367,1.00000,1.00000
1991,Other Combinations,Rural regions,No,1.00000,62,6367,1.00000,1.00000
1994,Single-person household,Urban regions,"Yes, Regularly",0.10256,68,6234,0.10237,0.10276
1994,Single-person household,Urban regions,"Yes, Occasionally",0.06626,48,6234,0.06610,0.06642
1994,Single-person household,Urban regions,No,0.83117,819,6234,0.83093,0.83142
1994,Single-person household,Rural regions,No,1.00000,352,6234,1.00000,1.00000
1994,Couple without children,Urban regions,"Yes, Regularly",0.06977,59,6234,0.06958,0.06996
1994,Couple without children,Urban regions,"Yes, Occasionally",0.03911,34,6234,0.03897,0.03926
1994,Couple without children,Urban regions,No,0.89111,1081,6234,0.89088,0.89135
1994,Couple without children,Rural regions,No,1.00000,540,6234,1.00000,1.00000
1994,Single parent,Urban regions,No,1.00000,219,6234,1.00000,1.00000
1994,Single parent,Rural regions,No,1.00000,112,6234,1.00000,1.00000
1994,Couple with children,Urban regions,"Yes, Regularly",0.05358,62,6234,0.05341,0.05375
1994,Couple with children,Urban regions,"Yes, Occasionally",0.02341,31,6234,0.02330,0.02352
1994,Couple with children,Urban regions,No,0.92301,1593,6234,0.92281,0.92320
1994,Couple with children,Rural regions,No,1.00000,940,6234,1.00000,1.00000
1994,Multi-generational household,Urban regions,No,1.00000,68,6234,1.00000,1.00000
1994,Multi-generational household,Rural regions,No,1.00000,52,6234,1.00000,1.00000
1994,Other Combinations,Urban regions,No,1.00000,98,6234,1.00000,1.00000
1994,Other Combinations,Rural regions,No,1.00000,58,6234,1.00000,1.00000
1999,Single-person household,Urban regions,"Yes, Regularly",0.09430,82,6938,0.09411,0.09448
1999,Single-person household,Urban regions,"Yes, Occasionally",0.06767,60,6938,0.06752,0.06783
1999,Single-person household,Urban regions,No,0.83803,1003,6938,0.83780,0.83826
1999,Single-person household,Rural regions,No,1.00000,445,6938,1.00000,1.00000
1999,Couple without children,Urban regions,"Yes, Regularly",0.07677,80,6938,0.07658,0.07696
1999,Couple without children,Urban regions,"Yes, Occasionally",0.03632,40,6938,0.03619,0.03645
1999,Couple without children,Urban regions,No,0.88691,1283,6938,0.88668,0.88714
1999,Couple without children,Rural regions,No,1.00000,704,6938,1.00000,1.00000
1999,Single parent,Urban regions,No,1.00000,270,6938,1.00000,1.00000
1999,Single parent,Rural regions,No,1.00000,157,6938,1.00000,1.00000
1999,Couple with children,Urban regions,"Yes, Regularly",0.06042,65,6938,0.06025,0.06060
1999,Couple with children,Urban regions,"Yes, Occasionally",0.02295,33,6938,0.02284,0.02306
1999,Couple with children,Urban regions,No,0.91662,1636,6938,0.91642,0.91683
1999,Couple with children,Rural regions,No,1.00000,951,6938,1.00000,1.00000
1999,Multi-generational household,Urban regions,No,1.00000,57,6938,1.00000,1.00000
1999,Multi-generational household,Rural regions,No,1.00000,35,6938,1.00000,1.00000
1999,Other Combinations,Urban regions,No,1.00000,37,6938,1.00000,1.00000
2000,Single-person household,Urban regions,"Yes, Regularly",0.09502,187,12737,0.09484,0.09521
2000,Single-person household,Urban regions,"Yes, Occasionally",0.04701,90,12737,0.04688,0.04714
2000,Single-person household,Urban regions,No,0.85797,1972,12737,0.85775,0.85818
2000,Single-person household,Rural regions,"Yes, Regularly",0.05569,47,12737,0.05546,0.05593
2000,Single-person household,Rural regions,"Yes, Occasionally",0.04128,37,12737,0.04108,0.04148
2000,Single-person household,Rural regions,No,0.90303,896,12737,0.90273,0.90333
2000,Couple without children,Urban regions,"Yes, Regularly",0.06459,155,12737,0.06442,0.06477
2000,Couple without children,Urban regions,"Yes, Occasionally",0.03509,86,12737,0.03496,0.03522
2000,Couple without children,Urban regions,No,0.90032,2375,12737,0.90010,0.90053
2000,Couple without children,Rural regions,"Yes, Regularly",0.03872,39,12737,0.03852,0.03893
2000,Couple without children,Rural regions,No,0.96128,1268,12737,0.96107,0.96148
2000,Single parent,Urban regions,No,1.00000,473,12737,1.00000,1.00000
2000,Single parent,Rural regions,No,1.00000,246,12737,1.00000,1.00000
2000,Couple with children,Urban regions,"Yes, Regularly",0.04968,119,12737,0.04952,0.04984
2000,Couple with children,Urban regions,"Yes, Occasionally",0.02319,61,12737,0.02308,0.02331
2000,Couple with children,Urban regions,No,0.92712,2740,12737,0.92693,0.92732
2000,Couple with children,Rural regions,"Yes, Regularly",0.03087,40,12737,0.03068,0.03105
2000,Couple with children,Rural regions,No,0.96913,1598,12737,0.96895,0.96932
2000,Multi-generational household,Urban regions,No,1.00000,91,12737,1.00000,1.00000
2000,Multi-generational household,Rural regions,No,1.00000,66,12737,1.00000,1.00000
2000,Other Combinations,Urban regions,No,1.00000,95,12737,1.00000,1.00000
2000,Other Combinations,Rural regions,No,1.00000,56,12737,1.00000,1.00000
2001,Single-person household,Urban regions,"Yes, Regularly",0.09852,177,11508,0.09834,0.09871
2001,Single-person household,Urban regions,"Yes, Occasionally",0.06024,109,11508,0.06009,0.06039
