year,rentown,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,Owner,"Yes, Regularly",0.07712,143,2313,0.06624,0.08799
1991,Owner,"Yes, Occasionally",0.04932,80,2313,0.04050,0.05815
1991,Owner,No,0.87356,2090,2313,0.86001,0.88711
1991,Tenant,"Yes, Regularly",0.04663,103,4240,0.04029,0.05298
1991,Tenant,"Yes, Occasionally",0.03564,88,4240,0.03006,0.04122
1991,Tenant,No,0.91773,4049,4240,0.90946,0.92600
1994,Owner,"Yes, Regularly",0.09055,148,2278,0.07877,0.10234
1994,Owner,"Yes, Occasionally",0.05778,93,2278,0.04819,0.06736
1994,Owner,No,0.85167,2037,2278,0.83707,0.86627
1994,Tenant,"Yes, Regularly",0.04642,104,4074,0.03996,0.05289
1994,Tenant,"Yes, Occasionally",0.03469,76,4074,0.02907,0.04031
1994,Tenant,No,0.91888,3894,4074,0.91050,0.92727
1999,Owner,"Yes, Regularly",0.09752,185,2842,0.08661,0.10843
1999,Owner,"Yes, Occasionally",0.05271,110,2842,0.04450,0.06093
1999,Owner,No,0.84977,2547,2842,0.83663,0.86291
1999,Tenant,"Yes, Regularly",0.04605,122,4255,0.03975,0.05235
1999,Tenant,"Yes, Occasionally",0.02925,77,4255,0.02418,0.03431
1999,Tenant,No,0.92470,4056,4255,0.91677,0.93263
2000,Owner,"Yes, Regularly",0.09098,408,5770,0.08356,0.09840
2000,Owner,"Yes, Occasionally",0.04386,204,5770,0.03857,0.04914
2000,Owner,No,0.86516,5158,5770,0.85635,0.87398
2000,Tenant,"Yes, Regularly",0.03973,216,7059,0.03517,0.04429
2000,Tenant,"Yes, Occasionally",0.02344,125,7059,0.01991,0.02697
2000,Tenant,No,0.93683,6718,7059,0.93115,0.94251
2001,Owner,"Yes, Regularly",0.10284,418,5250,0.09462,0.11106
2001,Owner,"Yes, Occasionally",0.04832,206,5250,0.04252,0.05413
2001,Owner,No,0.84884,4626,5250,0.83915,0.85853
2001,Tenant,"Yes, Regularly",0.04493,213,6393,0.03985,0.05001
2001,Tenant,"Yes, Occasionally",0.03097,149,6393,0.02672,0.03522
2001,Tenant,No,0.92410,6031,6393,0.91761,0.93059
2002,Owner,"Yes, Regularly",0.07971,554,5821,0.07275,0.08667
2002,Owner,"Yes, Occasionally",0.04186,249,5821,0.03671,0.04700
2002,Owner,No,0.87844,5018,5821,0.87004,0.88683
2002,Tenant,"Yes, Regularly",0.04380,259,6346,0.03877,0.04884
2002,Tenant,"Yes, Occasionally",0.02838,142,6346,0.02429,0.03246
2002,Tenant,No,0.92782,5945,6346,0.92145,0.93419
2003,Owner,"Yes, Regularly",0.09030,580,5636,0.08282,0.09778
2003,Owner,"Yes, Occasionally",0.04696,250,5636,0.04143,0.05248
2003,Owner,No,0.86274,4806,5636,0.85376,0.87173
2003,Tenant,"Yes, Regularly",0.04644,245,6117,0.04117,0.05172
2003,Tenant,"Yes, Occasionally",0.02757,143,6117,0.02347,0.03168
2003,Tenant,No,0.92598,5729,6117,0.91942,0.93254
2004,Owner,"Yes, Regularly",0.06823,438,5546,0.06160,0.07487
2004,Owner,"Yes, Occasionally",0.04988,260,5546,0.04415,0.05561
2004,Owner,No,0.88189,4848,5546,0.87339,0.89038
2004,Tenant,"Yes, Regularly",0.03771,191,5960,0.03288,0.04255
2004,Tenant,"Yes, Occasionally",0.02758,126,5960,0.02342,0.03174
2004,Tenant,No,0.93471,5643,5960,0.92844,0.94098
2005,Owner,"Yes, Regularly",0.08231,516,5367,0.07496,0.08967
2005,Owner,"Yes, Occasionally",0.05052,258,5367,0.04466,0.05638
2005,Owner,No,0.86717,4593,5367,0.85809,0.87625
2005,Tenant,"Yes, Regularly",0.04932,243,5796,0.04375,0.05490
2005,Tenant,"Yes, Occasionally",0.03064,137,5796,0.02620,0.03508
2005,Tenant,No,0.92004,5416,5796,0.91305,0.92702
2006,Owner,"Yes, Regularly",0.07806,525,5982,0.07126,0.08486
2006,Owner,"Yes, Occasionally",0.05387,315,5982,0.04815,0.05959
2006,Owner,No,0.86806,5142,5982,0.85949,0.87664
2006,Tenant,"Yes, Regularly",0.04875,261,6246,0.04341,0.05409
2006,Tenant,"Yes, Occasionally",0.02790,127,6246,0.02382,0.03199
2006,Tenant,No,0.92335,5858,6246,0.91675,0.92995
2007,Owner,"Yes, Regularly",0.09081,551,5592,0.08328,0.09834
2007,Owner,"Yes, Occasionally",0.04902,279,5592,0.04336,0.05468
2007,Owner,No,0.86017,4762,5592,0.85108,0.86926
2007,Tenant,"Yes, Regularly",0.05233,251,5819,0.04661,0.05805
2007,Tenant,"Yes, Occasionally",0.02866,128,5819,0.02437,0.03295
2007,Tenant,No,0.91901,5440,5819,0.91200,0.92602
2008,Owner,"Yes, Regularly",0.08206,490,5354,0.07471,0.08942
