year,hhtyp,rentown,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,Single-person household,Owner,No,0.78599,210,210,0.73038,0.84159
1991,Single-person household,Tenant,"Yes, Regularly",0.08107,64,1016,0.06428,0.09786
1991,Single-person household,Tenant,"Yes, Occasionally",0.06259,54,1016,0.04769,0.07749
1991,Single-person household,Tenant,No,0.85635,898,1016,0.83477,0.87792
1991,Couple without children,Owner,"Yes, Regularly",0.07907,45,601,0.05748,0.10067
1991,Couple without children,Owner,"Yes, Occasionally",0.06055,31,601,0.04147,0.07964
1991,Couple without children,Owner,No,0.86037,525,601,0.83264,0.88811
1991,Couple without children,Tenant,No,0.94451,980,980,0.93017,0.95885
1991,Single parent,Owner,No,0.89257,105,105,0.83306,0.95209
1991,Single parent,Tenant,No,0.96179,254,254,0.93817,0.98541
1991,Couple with children,Owner,"Yes, Regularly",0.05804,50,1169,0.04463,0.07145
1991,Couple with children,Owner,No,0.91350,1119,1169,0.89738,0.92962
1991,Couple with children,Tenant,No,0.98053,1759,1759,0.97407,0.98699
1991,Multi-generational household,Owner,No,0.93963,74,74,0.88500,0.99427
1991,Multi-generational household,Tenant,No,0.97789,73,73,0.94392,1.01185
1991,Other Combinations,Owner,No,0.93432,57,57,0.86943,0.99920
1991,Other Combinations,Tenant,No,0.94158,85,85,0.89143,0.99174
1994,Single-person household,Owner,No,0.75212,220,220,0.69494,0.80931
1994,Single-person household,Tenant,"Yes, Regularly",0.07444,52,1044,0.05851,0.09037
1994,Single-person household,Tenant,"Yes, Occasionally",0.05569,41,1044,0.04177,0.06961
1994,Single-person household,Tenant,No,0.86988,951,1044,0.84946,0.89029
1994,Couple without children,Owner,"Yes, Regularly",0.09168,46,623,0.06900,0.11436
1994,Couple without children,Owner,No,0.86660,577,623,0.83988,0.89332
1994,Couple without children,Tenant,No,0.93643,1044,1044,0.92162,0.95124
1994,Single parent,Owner,No,0.81649,78,78,0.73003,0.90295
1994,Single parent,Tenant,No,0.97196,253,253,0.95158,0.99235
1994,Couple with children,Owner,"Yes, Regularly",0.06612,53,1118,0.05155,0.08069
1994,Couple with children,Owner,"Yes, Occasionally",0.03983,32,1118,0.02836,0.05130
1994,Couple with children,Owner,No,0.89405,1033,1118,0.87600,0.91210
1994,Couple with children,Tenant,No,0.97343,1499,1499,0.96529,0.98158
1994,Multi-generational household,Owner,No,0.85882,72,72,0.77783,0.93982
1994,Multi-generational household,Tenant,No,0.88181,48,48,0.78952,0.97411
1994,Other Combinations,Owner,No,0.88160,57,57,0.79698,0.96622
1994,Other Combinations,Tenant,No,0.98302,99,99,0.95744,1.00860
1999,Single-person household,Owner,"Yes, Regularly",0.13825,42,368,0.10293,0.17356
