year,sampreg,hlf0261,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
1991,West,"Yes, Regularly",0.06718,226,6510,0,0.06267,0,0.07080
1991,West,"Yes, Occasionally",0.04618,144,6510,0,0.04322,0,0.04921
1991,West,No,0.88664,4205,6510,0,0.86806,0,0.90232
1991,East,No,1.00000,1935,6510,0,0.97190,0,1.02302
1994,West,"Yes, Regularly",0.07593,237,6323,0,0.07037,0,0.08134
1994,West,"Yes, Occasionally",0.05097,154,6323,0,0.04647,0,0.05519
1994,West,No,0.87310,4122,6323,0,0.85448,0,0.89045
1994,East,No,1.00000,1810,6323,0,0.97400,0,1.02773
1999,West,"Yes, Regularly",0.07817,281,7053,0,0.07406,0,0.08317
1999,West,"Yes, Occasionally",0.04502,169,7053,0,0.04141,0,0.04969
1999,West,No,0.87681,4721,7053,0,0.85945,0,0.89609
1999,East,No,1.00000,1882,7053,0,0.96930,0,1.02529
2000,West,"Yes, Regularly",0.07074,582,12804,0,0.06764,0,0.07421
2000,West,"Yes, Occasionally",0.03654,304,12804,0,0.03459,0,0.03829
2000,West,No,0.89272,8880,12804,0,0.88287,0,0.90218
2000,East,"Yes, Regularly",0.01962,42,12804,0,0.01645,0,0.02249
2000,East,No,0.98038,2996,12804,0,0.96300,0,0.99995
2001,West,"Yes, Regularly",0.07966,586,11643,0,0.07610,0,0.08270
2001,West,"Yes, Occasionally",0.04315,317,11643,0,0.04044,0,0.04585
2001,West,No,0.87719,7905,11643,0,0.86415,0,0.89036
2001,East,"Yes, Regularly",0.02424,45,11643,0,0.02090,0,0.02766
2001,East,"Yes, Occasionally",0.01697,38,11643,0,0.01537,0,0.01900
2001,East,No,0.95880,2752,11643,0,0.94087,0,0.98030
2002,West,"Yes, Regularly",0.06774,762,12167,0,0.06372,0,0.07239
2002,West,"Yes, Occasionally",0.03839,353,12167,0,0.03484,0,0.04172
2002,West,No,0.89387,8218,12167,0,0.87987,0,0.90780
2002,East,"Yes, Regularly",0.02135,51,12167,0,0.01716,0,0.02561
2002,East,"Yes, Occasionally",0.01545,38,12167,0,0.01241,0,0.01876
2002,East,No,0.96320,2745,12167,0,0.93948,0,0.98377
2003,West,"Yes, Regularly",0.07512,765,11753,0,0.07074,0,0.08059
2003,West,"Yes, Occasionally",0.03885,345,11753,0,0.03525,0,0.04174
2003,West,No,0.88603,7846,11753,0,0.87312,0,0.90059
2003,East,"Yes, Regularly",0.02088,60,11753,0,0.01642,0,0.02423
2003,East,"Yes, Occasionally",0.02233,48,11753,0,0.01784,0,0.02669
2003,East,No,0.95679,2689,11753,0,0.93118,0,0.98271
2004,West,"Yes, Regularly",0.05844,589,11478,0,0.05418,0,0.06316
2004,West,"Yes, Occasionally",0.04272,358,11478,0,0.03961,0,0.04634
2004,West,No,0.89885,7805,11478,0,0.88281,0,0.91365
2004,East,"Yes, Regularly",0.01631,40,11478,0,0.01226,0,0.02016
2004,East,No,0.98369,2686,11478,0,0.95686,0,1.00793
2005,West,"Yes, Regularly",0.07340,708,11164,0,0.06857,0,0.07836
2005,West,"Yes, Occasionally",0.04401,358,11164,0,0.04020,0,0.04821
