year,quintil_oecd_hh,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,1st Quintile,No,0.95434,1995,1995,0.94518,0.96350
1991,2nd Quintile,No,0.91489,1081,1081,0.89825,0.93153
1991,3rd Quintile,No,0.93136,1121,1121,0.91655,0.94617
1991,4th Quintile,"Yes, Regularly",0.06276,48,1169,0.04885,0.07667
1991,4th Quintile,"Yes, Occasionally",0.04443,34,1169,0.03261,0.05624
1991,4th Quintile,No,0.87802,1087,1169,0.85926,0.89679
1991,5th Quintile,"Yes, Regularly",0.14189,135,1058,0.12085,0.16292
1991,5th Quintile,"Yes, Occasionally",0.07639,67,1058,0.06038,0.09241
1991,5th Quintile,No,0.77026,856,1058,0.74490,0.79562
1994,1st Quintile,No,0.91401,1265,1265,0.89856,0.92947
1994,2nd Quintile,No,0.90708,1336,1336,0.89150,0.92265
1994,3rd Quintile,"Yes, Regularly",0.05399,39,1316,0.04178,0.06621
1994,3rd Quintile,No,0.88757,1277,1316,0.87049,0.90464
1994,4th Quintile,"Yes, Regularly",0.04103,36,1211,0.02985,0.05220
1994,4th Quintile,"Yes, Occasionally",0.04941,38,1211,0.03720,0.06162
1994,4th Quintile,No,0.87390,1137,1211,0.85519,0.89260
1994,5th Quintile,"Yes, Regularly",0.15389,134,1115,0.13270,0.17508
1994,5th Quintile,"Yes, Occasionally",0.07532,69,1115,0.05983,0.09082
1994,5th Quintile,No,0.75006,912,1115,0.72463,0.77548
1999,1st Quintile,No,0.93919,1448,1448,0.92688,0.95151
1999,2nd Quintile,"Yes, Regularly",0.04542,33,1491,0.03484,0.05599
1999,2nd Quintile,No,0.92187,1458,1491,0.90824,0.93550
1999,3rd Quintile,No,0.93591,1433,1433,0.92323,0.94860
1999,4th Quintile,"Yes, Regularly",0.06514,59,1376,0.05210,0.07818
1999,4th Quintile,"Yes, Occasionally",0.03803,43,1376,0.02792,0.04814
1999,4th Quintile,No,0.88936,1274,1376,0.87278,0.90594
1999,5th Quintile,"Yes, Regularly",0.16900,166,1231,0.14806,0.18995
1999,5th Quintile,"Yes, Occasionally",0.07520,75,1231,0.06046,0.08994
1999,5th Quintile,No,0.75017,990,1231,0.72597,0.77436
2000,1st Quintile,"Yes, Regularly",0.02963,55,2495,0.02297,0.03628
2000,1st Quintile,No,0.94239,2440,2495,0.93324,0.95153
2000,2nd Quintile,"Yes, Regularly",0.03234,57,2685,0.02564,0.03903
2000,2nd Quintile,"Yes, Occasionally",0.02126,38,2685,0.01580,0.02671
2000,2nd Quintile,No,0.93689,2590,2685,0.92769,0.94609
2000,3rd Quintile,"Yes, Regularly",0.03379,67,2628,0.02688,0.04070
2000,3rd Quintile,"Yes, Occasionally",0.02650,50,2628,0.02036,0.03264
2000,3rd Quintile,No,0.93266,2511,2628,0.92308,0.94225
2000,4th Quintile,"Yes, Regularly",0.04883,109,2583,0.04052,0.05715
2000,4th Quintile,"Yes, Occasionally",0.02986,69,2583,0.02330,0.03643
2000,4th Quintile,No,0.91390,2405,2583,0.90308,0.92472
2000,5th Quintile,"Yes, Regularly",0.15796,335,2403,0.14337,0.17254
2000,5th Quintile,"Yes, Occasionally",0.06536,143,2403,0.05548,0.07525
2000,5th Quintile,No,0.76752,1925,2403,0.75063,0.78442
2001,1st Quintile,"Yes, Regularly",0.02496,33,2201,0.01844,0.03148
2001,1st Quintile,No,0.95712,2168,2201,0.94866,0.96559
