year,regtyp,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,No answer / don't know,No,0.89646,43,43,0.80432,0.98860
1991,Urban regions,"Yes, Regularly",0.06772,196,4308,0.06021,0.07522
1991,Urban regions,"Yes, Occasionally",0.04383,119,4308,0.03771,0.04994
1991,Urban regions,No,0.88846,3993,4308,0.87905,0.89786
1991,Rural regions,"Yes, Regularly",0.03657,50,2201,0.02873,0.04441
1991,Rural regions,"Yes, Occasionally",0.03288,47,2201,0.02543,0.04033
1991,Rural regions,No,0.93055,2104,2201,0.91992,0.94117
1994,Urban regions,"Yes, Regularly",0.07604,205,4217,0.06804,0.08404
1994,Urban regions,"Yes, Occasionally",0.04344,122,4217,0.03729,0.04959
1994,Urban regions,No,0.88052,3890,4217,0.87073,0.89031
1994,Rural regions,"Yes, Regularly",0.03727,48,2137,0.02924,0.04530
1994,Rural regions,"Yes, Occasionally",0.04441,47,2137,0.03568,0.05315
1994,Rural regions,No,0.91832,2042,2137,0.90670,0.92993
1999,Urban regions,"Yes, Regularly",0.07621,239,4677,0.06860,0.08381
1999,Urban regions,"Yes, Occasionally",0.04410,144,4677,0.03822,0.04999
1999,Urban regions,No,0.87969,4294,4677,0.87037,0.88902
1999,Rural regions,"Yes, Regularly",0.04683,68,2420,0.03841,0.05525
1999,Rural regions,"Yes, Occasionally",0.02705,43,2420,0.02058,0.03351
1999,Rural regions,No,0.92612,2309,2420,0.91569,0.93654
2000,Urban regions,"Yes, Regularly",0.07043,495,8512,0.06499,0.07587
2000,Urban regions,"Yes, Occasionally",0.03593,255,8512,0.03198,0.03989
2000,Urban regions,No,0.89364,7762,8512,0.88709,0.90019
2000,Rural regions,"Yes, Regularly",0.03994,129,4317,0.03410,0.04579
2000,Rural regions,"Yes, Occasionally",0.02293,74,4317,0.01846,0.02739
2000,Rural regions,No,0.93713,4114,4317,0.92989,0.94437
2001,Urban regions,"Yes, Regularly",0.08010,503,7754,0.07406,0.08614
2001,Urban regions,"Yes, Occasionally",0.04335,278,7754,0.03881,0.04788
2001,Urban regions,No,0.87655,6973,7754,0.86923,0.88388
2001,Rural regions,"Yes, Regularly",0.04460,128,3889,0.03811,0.05109
2001,Rural regions,"Yes, Occasionally",0.02666,77,3889,0.02160,0.03173
2001,Rural regions,No,0.92873,3684,3889,0.92065,0.93682
2002,Urban regions,"Yes, Regularly",0.06904,655,8220,0.06356,0.07452
2002,Urban regions,"Yes, Occasionally",0.03864,304,8220,0.03448,0.04281
2002,Urban regions,No,0.89231,7261,8220,0.88561,0.89902
2002,Rural regions,"Yes, Regularly",0.03624,158,3947,0.03041,0.04207
2002,Rural regions,"Yes, Occasionally",0.02372,87,3947,0.01897,0.02847
2002,Rural regions,No,0.94004,3702,3947,0.93263,0.94745
2003,Urban regions,"Yes, Regularly",0.07532,663,7939,0.06951,0.08113
2003,Urban regions,"Yes, Occasionally",0.03997,299,7939,0.03566,0.04428
2003,Urban regions,No,0.88471,6977,7939,0.87769,0.89174
2003,Rural regions,"Yes, Regularly",0.04133,162,3814,0.03501,0.04764
2003,Rural regions,"Yes, Occasionally",0.02616,94,3814,0.02109,0.03123
2003,Rural regions,No,0.93251,3558,3814,0.92455,0.94048
2004,Urban regions,"Yes, Regularly",0.05646,495,7765,0.05133,0.06159
2004,Urban regions,"Yes, Occasionally",0.04334,307,7765,0.03881,0.04787
2004,Urban regions,No,0.90020,6963,7765,0.89354,0.90687
2004,Rural regions,"Yes, Regularly",0.03708,134,3741,0.03102,0.04313
2004,Rural regions,"Yes, Occasionally",0.02239,79,3741,0.01765,0.02713
2004,Rural regions,No,0.94053,3528,3741,0.93295,0.94811
2005,Urban regions,"Yes, Regularly",0.07691,622,7532,0.07090,0.08293
2005,Urban regions,"Yes, Occasionally",0.04242,301,7532,0.03787,0.04698
2005,Urban regions,No,0.88066,6609,7532,0.87334,0.88798
2005,Rural regions,"Yes, Regularly",0.03163,137,3632,0.02594,0.03732
2005,Rural regions,"Yes, Occasionally",0.03102,94,3632,0.02538,0.03666
2005,Rural regions,No,0.93735,3401,3632,0.92947,0.94523
2006,Urban regions,"Yes, Regularly",0.07213,637,8144,0.06651,0.07775
