year,age_gr,quintil_oecd,ple0008,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,17-29 y.,1st Quintile,Very good,0.32536,236,671,0.28989,0.36084
1992,17-29 y.,1st Quintile,Good,0.48971,333,671,0.45186,0.52756
1992,17-29 y.,1st Quintile,Satisfactory,0.14324,102,671,0.11671,0.16977
1992,17-29 y.,2nd Quintile,Very good,0.27876,264,777,0.24721,0.31031
1992,17-29 y.,2nd Quintile,Good,0.52099,413,777,0.48584,0.55614
1992,17-29 y.,2nd Quintile,Satisfactory,0.15640,100,777,0.13085,0.18196
1992,17-29 y.,3rd Quintile,Very good,0.33064,254,728,0.29644,0.36484
1992,17-29 y.,3rd Quintile,Good,0.46045,366,728,0.42421,0.49668
1992,17-29 y.,3rd Quintile,Satisfactory,0.15191,108,728,0.12581,0.17800
1992,17-29 y.,4th Quintile,Very good,0.33878,259,708,0.30389,0.37367
1992,17-29 y.,4th Quintile,Good,0.46762,341,708,0.43084,0.50440
1992,17-29 y.,4th Quintile,Satisfactory,0.15854,108,708,0.13162,0.18547
1992,17-29 y.,5th Quintile,Very good,0.25294,165,535,0.21607,0.28981
1992,17-29 y.,5th Quintile,Good,0.54548,279,535,0.50325,0.58772
1992,17-29 y.,5th Quintile,Satisfactory,0.15430,91,535,0.12366,0.18493
1992,30-45 y.,1st Quintile,Very good,0.12996,112,804,0.10670,0.15322
1992,30-45 y.,1st Quintile,Good,0.51588,428,804,0.48132,0.55045
1992,30-45 y.,1st Quintile,Satisfactory,0.23757,201,804,0.20813,0.26701
1992,30-45 y.,1st Quintile,Poor,0.08049,63,804,0.06167,0.09931
1992,30-45 y.,2nd Quintile,Very good,0.14493,149,1009,0.12320,0.16666
1992,30-45 y.,2nd Quintile,Good,0.53952,568,1009,0.50875,0.57029
1992,30-45 y.,2nd Quintile,Satisfactory,0.23327,217,1009,0.20716,0.25938
1992,30-45 y.,2nd Quintile,Poor,0.06990,75,1009,0.05416,0.08564
1992,30-45 y.,3rd Quintile,Very good,0.15780,140,873,0.13360,0.18200
1992,30-45 y.,3rd Quintile,Good,0.48299,449,873,0.44982,0.51616
1992,30-45 y.,3rd Quintile,Satisfactory,0.25904,220,873,0.22996,0.28812
1992,30-45 y.,3rd Quintile,Poor,0.07077,64,873,0.05374,0.08779
1992,30-45 y.,4th Quintile,Very good,0.17768,137,760,0.15049,0.20488
1992,30-45 y.,4th Quintile,Good,0.47883,364,760,0.44329,0.51437
1992,30-45 y.,4th Quintile,Satisfactory,0.24445,189,760,0.21387,0.27502
1992,30-45 y.,4th Quintile,Poor,0.07758,70,760,0.05855,0.09661
1992,30-45 y.,5th Quintile,Very good,0.17704,132,733,0.14939,0.20469
1992,30-45 y.,5th Quintile,Good,0.50259,369,733,0.46637,0.53881
1992,30-45 y.,5th Quintile,Satisfactory,0.24486,177,733,0.21371,0.27601
1992,30-45 y.,5th Quintile,Poor,0.06912,55,733,0.05074,0.08750
1992,46-65 y.,1st Quintile,Very good,0.04810,35,751,0.03278,0.06341
1992,46-65 y.,1st Quintile,Good,0.21182,185,751,0.18257,0.24106
1992,46-65 y.,1st Quintile,Satisfactory,0.43932,299,751,0.40380,0.47484
1992,46-65 y.,1st Quintile,Poor,0.20284,166,751,0.17406,0.23162
1992,46-65 y.,1st Quintile,Bad,0.09647,66,751,0.07534,0.11760
1992,46-65 y.,2nd Quintile,Very good,0.05659,37,721,0.03971,0.07347
1992,46-65 y.,2nd Quintile,Good,0.28607,229,721,0.25306,0.31908
1992,46-65 y.,2nd Quintile,Satisfactory,0.43711,306,721,0.40088,0.47334
1992,46-65 y.,2nd Quintile,Poor,0.16332,109,721,0.13632,0.19032
1992,46-65 y.,2nd Quintile,Bad,0.05691,40,721,0.03998,0.07383
1992,46-65 y.,3rd Quintile,Very good,0.07809,51,770,0.05913,0.09706
1992,46-65 y.,3rd Quintile,Good,0.31409,252,770,0.28129,0.34690
1992,46-65 y.,3rd Quintile,Satisfactory,0.39148,304,770,0.35698,0.42598
1992,46-65 y.,3rd Quintile,Poor,0.15752,126,770,0.13177,0.18327
1992,46-65 y.,3rd Quintile,Bad,0.04889,37,770,0.03365,0.06414
1992,46-65 y.,4th Quintile,Very good,0.06431,52,900,0.04828,0.08035
1992,46-65 y.,4th Quintile,Good,0.37002,336,900,0.33846,0.40158
1992,46-65 y.,4th Quintile,Satisfactory,0.36620,334,900,0.33470,0.39769
1992,46-65 y.,4th Quintile,Poor,0.15218,129,900,0.12870,0.17566
1992,46-65 y.,4th Quintile,Bad,0.04729,49,900,0.03342,0.06117
1992,46-65 y.,5th Quintile,Very good,0.08112,70,858,0.06284,0.09939
1992,46-65 y.,5th Quintile,Good,0.37996,336,858,0.34746,0.41246
1992,46-65 y.,5th Quintile,Satisfactory,0.38740,340,858,0.35478,0.42001
1992,46-65 y.,5th Quintile,Poor,0.12295,112,858,0.10096,0.14493
1992,66 and older,1st Quintile,Good,0.11933,65,498,0.09083,0.14783
1992,66 and older,1st Quintile,Satisfactory,0.41270,230,498,0.36942,0.45598
1992,66 and older,1st Quintile,Poor,0.26698,127,498,0.22809,0.30587
1992,66 and older,1st Quintile,Bad,0.17514,76,498,0.14172,0.20855
1992,66 and older,2nd Quintile,Good,0.15334,48,292,0.11194,0.19474
