year,quintil_oecd_hh,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,1st Quintile,Yes,0.29161,629,1945,0.27141,0.31182
2005,1st Quintile,No,0.70839,1316,1945,0.68818,0.72859
2005,2nd Quintile,Yes,0.36546,808,2048,0.34460,0.38632
2005,2nd Quintile,No,0.63454,1240,2048,0.61368,0.65540
2005,3rd Quintile,Yes,0.45206,1040,2082,0.43068,0.47344
2005,3rd Quintile,No,0.54794,1042,2082,0.52656,0.56932
2005,4th Quintile,Yes,0.52143,1296,2198,0.50055,0.54232
2005,4th Quintile,No,0.47857,902,2198,0.45768,0.49945
2005,5th Quintile,Yes,0.69854,2186,2825,0.68161,0.71546
2005,5th Quintile,No,0.30146,639,2825,0.28454,0.31839
2007,1st Quintile,Yes,0.36375,787,1942,0.34235,0.38515
2007,1st Quintile,No,0.63625,1155,1942,0.61485,0.65765
2007,2nd Quintile,Yes,0.42786,987,2093,0.40666,0.44906
2007,2nd Quintile,No,0.57214,1106,2093,0.55094,0.59334
2007,3rd Quintile,Yes,0.52781,1257,2191,0.50690,0.54872
2007,3rd Quintile,No,0.47219,934,2191,0.45128,0.49310
2007,4th Quintile,Yes,0.63367,1608,2316,0.61405,0.65330
2007,4th Quintile,No,0.36633,708,2316,0.34670,0.38595
2007,5th Quintile,Yes,0.76382,2333,2821,0.74814,0.77949
2007,5th Quintile,No,0.23618,488,2821,0.22051,0.25186
2011,1st Quintile,Yes,0.44904,1254,2239,0.42844,0.46965
2011,1st Quintile,No,0.55096,985,2239,0.53035,0.57156
2011,2nd Quintile,Yes,0.54388,1340,2225,0.52318,0.56458
2011,2nd Quintile,No,0.45612,885,2225,0.43542,0.47682
2011,3rd Quintile,Yes,0.65564,1675,2363,0.63647,0.67480
2011,3rd Quintile,No,0.34436,688,2363,0.32520,0.36353
2011,4th Quintile,Yes,0.78845,2008,2425,0.77219,0.80470
2011,4th Quintile,No,0.21155,417,2425,0.19530,0.22781
2011,5th Quintile,Yes,0.87099,2490,2767,0.85850,0.88348
2011,5th Quintile,No,0.12901,277,2767,0.11652,0.14150
2013,1st Quintile,Yes,0.55148,2099,3027,0.53376,0.56920
2013,1st Quintile,No,0.44852,928,3027,0.43080,0.46624
2013,2nd Quintile,Yes,0.61490,1975,2783,0.59682,0.63298
2013,2nd Quintile,No,0.38510,808,2783,0.36702,0.40318
2013,3rd Quintile,Yes,0.71784,2065,2618,0.70060,0.73509
2013,3rd Quintile,No,0.28216,553,2618,0.26491,0.29940
2013,4th Quintile,Yes,0.82062,2250,2577,0.80581,0.83544
2013,4th Quintile,No,0.17938,327,2577,0.16456,0.19419
2013,5th Quintile,Yes,0.91094,2682,2860,0.90050,0.92138
2013,5th Quintile,No,0.08906,178,2860,0.07862,0.09950
2014,1st Quintile,Yes,0.59366,2545,3439,0.57724,0.61007
2014,1st Quintile,No,0.40634,894,3439,0.38993,0.42276
2014,2nd Quintile,Yes,0.63970,2528,3301,0.62332,0.65608
2014,2nd Quintile,No,0.36030,773,3301,0.34392,0.37668
2014,3rd Quintile,Yes,0.71929,2531,3099,0.70346,0.73511
2014,3rd Quintile,No,0.28071,568,3099,0.26489,0.29654
2014,4th Quintile,Yes,0.82912,2599,2920,0.81546,0.84277
2014,4th Quintile,No,0.17088,321,2920,0.15723,0.18454
2014,5th Quintile,Yes,0.91440,2844,3012,0.90440,0.92439
2014,5th Quintile,No,0.08560,168,3012,0.07561,0.09560
2015,1st Quintile,Yes,0.63561,2727,3542,0.61975,0.65146
2015,1st Quintile,No,0.36439,815,3542,0.34854,0.38025
2015,2nd Quintile,Yes,0.66240,2648,3368,0.64643,0.67837
2015,2nd Quintile,No,0.33760,720,3368,0.32163,0.35357
2015,3rd Quintile,Yes,0.75927,2545,3010,0.74399,0.77454
2015,3rd Quintile,No,0.24073,465,3010,0.22546,0.25601
2015,4th Quintile,Yes,0.85263,2555,2822,0.83955,0.86571
2015,4th Quintile,No,0.14737,267,2822,0.13429,0.16045
2015,5th Quintile,Yes,0.92199,2822,2973,0.91235,0.93163
2015,5th Quintile,No,0.07801,151,2973,0.06837,0.08765
2016,1st Quintile,Yes,0.66670,3993,5187,0.65387,0.67953
2016,1st Quintile,No,0.33330,1194,5187,0.32047,0.34613
2016,2nd Quintile,Yes,0.69111,2426,3035,0.67467,0.70755
2016,2nd Quintile,No,0.30889,609,3035,0.29245,0.32533
2016,3rd Quintile,Yes,0.79261,2357,2743,0.77744,0.80779
2016,3rd Quintile,No,0.20739,386,2743,0.19221,0.22256
2016,4th Quintile,Yes,0.86535,2435,2658,0.85237,0.87833
2016,4th Quintile,No,0.13465,223,2658,0.12167,0.14763
2016,5th Quintile,Yes,0.92902,2634,2754,0.91942,0.93861
2016,5th Quintile,No,0.07098,120,2754,0.06139,0.08058
2017,Not included in this version of the questionnaire,Yes,0.40776,41,41,0.25547,0.56005
2017,1st Quintile,Yes,0.69657,4680,5637,0.68457,0.70857
2017,1st Quintile,No,0.30343,957,5637,0.29143,0.31543
2017,2nd Quintile,Yes,0.72312,2759,3326,0.70791,0.73833
2017,2nd Quintile,No,0.27688,567,3326,0.26167,0.29209
2017,3rd Quintile,Yes,0.82300,2762,3103,0.80957,0.83643
2017,3rd Quintile,No,0.17700,341,3103,0.16357,0.19043
2017,4th Quintile,Yes,0.87097,2824,3045,0.85907,0.88288
2017,4th Quintile,No,0.12903,221,3045,0.11712,0.14093
2017,5th Quintile,Yes,0.94220,2990,3093,0.93397,0.95042
2017,5th Quintile,No,0.05780,103,3093,0.04958,0.06603
2018,Not included in this version of the questionnaire,Yes,0.78991,127,127,0.71878,0.86105
2018,1st Quintile,Yes,0.71021,4578,5362,0.69806,0.72235
2018,1st Quintile,No,0.28979,784,5362,0.27765,0.30194
2018,2nd Quintile,Yes,0.74379,2949,3446,0.72922,0.75837
2018,2nd Quintile,No,0.25621,497,3446,0.24163,0.27078
2018,3rd Quintile,Yes,0.83063,2677,2997,0.81720,0.84406
2018,3rd Quintile,No,0.16937,320,2997,0.15594,0.18280
2018,4th Quintile,Yes,0.87846,2701,2899,0.86656,0.89035
2018,4th Quintile,No,0.12154,198,2899,0.10965,0.13344
2018,5th Quintile,Yes,0.95301,2925,3016,0.94545,0.96056
2018,5th Quintile,No,0.04699,91,3016,0.03944,0.05455
2019,Not included in this version of the questionnaire,Yes,0.89744,33,33,0.79232,1.00256
2019,1st Quintile,Yes,0.74711,4451,5044,0.73511,0.75911
2019,1st Quintile,No,0.25289,593,5044,0.24089,0.26489
2019,2nd Quintile,Yes,0.78576,2743,3156,0.77144,0.80008
2019,2nd Quintile,No,0.21424,413,3156,0.19992,0.22856
2019,3rd Quintile,Yes,0.85258,2654,2893,0.83965,0.86550
2019,3rd Quintile,No,0.14742,239,2893,0.13450,0.16035
2019,4th Quintile,Yes,0.91065,2776,2929,0.90032,0.92099
2019,4th Quintile,No,0.08935,153,2929,0.07901,0.09968
2019,5th Quintile,Yes,0.94789,4243,4356,0.94129,0.95449
2019,5th Quintile,No,0.05211,113,4356,0.04551,0.05871
2020,Not included in this version of the questionnaire,Yes,0.91507,150,150,0.87030,0.95983
2020,1st Quintile,Yes,0.91881,2495,2639,0.90839,0.92923
2020,1st Quintile,No,0.08119,144,2639,0.07077,0.09161
2020,2nd Quintile,Yes,0.92140,155,155,0.87889,0.96390
2021,Not included in this version of the questionnaire,Yes,0.79751,41,41,0.67297,0.92205
2021,1st Quintile,Yes,0.84036,2976,3240,0.82775,0.85297
2021,1st Quintile,No,0.15964,264,3240,0.14703,0.17225
2021,2nd Quintile,Yes,0.83264,2146,2373,0.81761,0.84766
2021,2nd Quintile,No,0.16736,227,2373,0.15234,0.18239
2021,3rd Quintile,Yes,0.87203,1943,2074,0.85765,0.88641
2021,3rd Quintile,No,0.12797,131,2074,0.11359,0.14235
2021,4th Quintile,Yes,0.92311,2016,2099,0.91171,0.93451
2021,4th Quintile,No,0.07689,83,2099,0.06549,0.08829
2021,5th Quintile,Yes,0.96966,2682,2727,0.96322,0.97610
2021,5th Quintile,No,0.03034,45,2727,0.02390,0.03678
